aX,aY,aZ,gX,gY,gZ
0.513,0.192,0.505,0.433,0.495,0.354
0.508,0.075,0.513,0.449,0.484,0.377
0.533,0.046,0.536,0.46,0.478,0.412
0.546,0.072,0.563,0.469,0.476,0.451
0.545,0.143,0.585,0.481,0.479,0.486
0.549,0.218,0.599,0.494,0.486,0.511
0.547,0.276,0.599,0.505,0.495,0.525
0.547,0.322,0.59,0.512,0.504,0.53
0.546,0.357,0.572,0.515,0.512,0.53
0.546,0.376,0.553,0.515,0.518,0.525
0.548,0.381,0.533,0.514,0.521,0.519
0.548,0.379,0.515,0.511,0.521,0.513
0.548,0.378,0.501,0.506,0.519,0.508
0.548,0.377,0.49,0.501,0.515,0.504
0.547,0.378,0.482,0.497,0.51,0.502

0.463,0.171,0.523,0.411,0.486,0.353
0.487,0.109,0.553,0.416,0.478,0.381
0.495,0.095,0.571,0.432,0.475,0.42
0.503,0.149,0.584,0.454,0.478,0.461
0.503,0.213,0.593,0.48,0.485,0.495
0.506,0.255,0.597,0.506,0.494,0.519
0.51,0.29,0.594,0.523,0.502,0.533
0.517,0.32,0.586,0.531,0.51,0.539
0.521,0.345,0.574,0.531,0.515,0.539
0.523,0.362,0.559,0.527,0.519,0.535
0.526,0.372,0.541,0.521,0.521,0.528
0.529,0.378,0.524,0.513,0.521,0.521
0.531,0.385,0.509,0.505,0.518,0.513
0.532,0.388,0.499,0.5,0.515,0.506
0.533,0.382,0.495,0.496,0.511,0.501

0.503,0.231,0.489,0.404,0.506,0.339
0.495,0.23,0.486,0.404,0.49,0.347
0.47,0.162,0.512,0.423,0.474,0.369
0.487,0.136,0.547,0.442,0.465,0.399
0.503,0.163,0.58,0.457,0.465,0.43
0.501,0.182,0.606,0.475,0.471,0.458
0.504,0.21,0.62,0.491,0.48,0.48
0.506,0.239,0.623,0.503,0.491,0.498
0.508,0.264,0.617,0.51,0.501,0.51
0.508,0.287,0.605,0.514,0.51,0.517
0.509,0.308,0.589,0.514,0.516,0.521
0.511,0.325,0.57,0.512,0.52,0.522
0.514,0.34,0.551,0.508,0.522,0.52
0.517,0.354,0.535,0.503,0.521,0.518
0.519,0.366,0.52,0.499,0.519,0.514

0.481,0.217,0.499,0.41,0.501,0.324
0.477,0.145,0.496,0.416,0.482,0.333
0.477,0.021,0.531,0.432,0.463,0.362
0.505,0.009,0.582,0.442,0.453,0.403
0.504,0.078,0.631,0.454,0.452,0.446
0.499,0.149,0.668,0.477,0.46,0.482
0.506,0.201,0.688,0.502,0.474,0.505
0.516,0.24,0.69,0.519,0.492,0.518
0.522,0.272,0.672,0.525,0.508,0.523
0.525,0.301,0.638,0.524,0.522,0.523
0.53,0.322,0.597,0.519,0.53,0.52
0.533,0.338,0.558,0.514,0.532,0.516
0.537,0.349,0.526,0.51,0.531,0.512
0.541,0.359,0.501,0.506,0.527,0.51
0.544,0.368,0.485,0.503,0.521,0.509

0.524,0.285,0.524,0.441,0.516,0.348
0.505,0.264,0.519,0.431,0.505,0.347
0.489,0.174,0.52,0.44,0.492,0.356
0.497,0.113,0.534,0.446,0.483,0.375
0.512,0.115,0.553,0.447,0.477,0.401
0.514,0.139,0.573,0.455,0.475,0.431
0.516,0.174,0.591,0.469,0.478,0.459
0.513,0.205,0.605,0.487,0.486,0.482
0.514,0.233,0.611,0.504,0.496,0.501
0.521,0.26,0.606,0.516,0.506,0.515
0.526,0.287,0.593,0.522,0.514,0.523
0.531,0.313,0.575,0.523,0.521,0.527
0.534,0.333,0.553,0.521,0.524,0.527
0.538,0.348,0.532,0.516,0.525,0.524
0.539,0.359,0.514,0.511,0.523,0.52

0.486,0.231,0.504,0.42,0.5,0.343
0.476,0.149,0.514,0.428,0.486,0.354
0.498,0.109,0.531,0.433,0.476,0.375
0.512,0.113,0.55,0.438,0.472,0.404
