aX,aY,aZ,gX,gY,gZ
0.515,0.302,0.291,0.542,0.417,0.493
0.464,0.316,0.313,0.515,0.39,0.49
0.43,0.359,0.352,0.491,0.368,0.486
0.409,0.425,0.399,0.474,0.352,0.485
0.391,0.479,0.465,0.47,0.345,0.484
0.388,0.489,0.544,0.477,0.346,0.481
0.386,0.454,0.629,0.488,0.358,0.477
0.388,0.41,0.709,0.493,0.378,0.473
0.39,0.366,0.758,0.493,0.405,0.47
0.392,0.343,0.773,0.491,0.435,0.47
0.397,0.335,0.762,0.489,0.465,0.473
0.409,0.323,0.738,0.489,0.492,0.477
0.423,0.307,0.703,0.49,0.513,0.483
0.433,0.311,0.658,0.49,0.527,0.49
0.441,0.332,0.614,0.49,0.535,0.497

0.618,0.369,0.261,0.556,0.459,0.522
0.581,0.344,0.26,0.55,0.428,0.519
0.506,0.333,0.272,0.529,0.396,0.511
0.427,0.335,0.301,0.5,0.366,0.502
0.362,0.369,0.35,0.47,0.339,0.495
0.321,0.406,0.427,0.452,0.321,0.494
0.326,0.429,0.51,0.45,0.314,0.496
0.335,0.437,0.574,0.455,0.319,0.497
0.34,0.471,0.662,0.463,0.336,0.497
0.352,0.438,0.746,0.48,0.361,0.497
0.362,0.387,0.799,0.495,0.391,0.495
0.372,0.343,0.822,0.499,0.426,0.495
0.392,0.34,0.814,0.496,0.461,0.497
0.411,0.353,0.781,0.494,0.49,0.5
0.426,0.364,0.734,0.497,0.513,0.504

0.616,0.319,0.262,0.546,0.446,0.511
0.553,0.299,0.266,0.537,0.415,0.512
0.466,0.297,0.279,0.517,0.385,0.511
0.4,0.327,0.297,0.492,0.358,0.509
0.349,0.376,0.343,0.472,0.337,0.508
0.312,0.423,0.418,0.465,0.324,0.51
0.308,0.439,0.517,0.472,0.32,0.512
0.334,0.452,0.61,0.482,0.329,0.513
0.347,0.453,0.677,0.492,0.349,0.511
0.366,0.447,0.736,0.501,0.377,0.507
0.388,0.397,0.771,0.512,0.407,0.501
0.404,0.352,0.777,0.516,0.438,0.497
0.418,0.334,0.761,0.513,0.466,0.495
0.439,0.341,0.733,0.507,0.49,0.495
0.453,0.345,0.695,0.504,0.507,0.498

0.537,0.346,0.263,0.551,0.418,0.512
0.463,0.329,0.276,0.54,0.39,0.507
0.411,0.344,0.307,0.518,0.365,0.501
0.372,0.371,0.349,0.498,0.344,0.496
0.345,0.396,0.392,0.485,0.33,0.494
0.34,0.407,0.454,0.48,0.324,0.493
0.344,0.425,0.536,0.48,0.327,0.493
0.366,0.436,0.626,0.486,0.337,0.493
0.38,0.406,0.701,0.499,0.357,0.493
0.387,0.362,0.756,0.508,0.384,0.493
0.4,0.332,0.786,0.509,0.416,0.493
0.415,0.322,0.791,0.505,0.449,0.495
0.427,0.324,0.771,0.5,0.479,0.498
0.433,0.335,0.728,0.498,0.503,0.502
0.441,0.342,0.681,0.5,0.52,0.506

0.47,0.316,0.299,0.527,0.39,0.514
0.423,0.319,0.336,0.511,0.368,0.511
0.394,0.345,0.383,0.492,0.351,0.508
0.373,0.4,0.438,0.477,0.339,0.506
0.37,0.445,0.519,0.473,0.334,0.505
0.385,0.488,0.599,0.477,0.339,0.502
0.392,0.465,0.66,0.491,0.354,0.498
0.392,0.439,0.716,0.502,0.381,0.492
0.402,0.396,0.761,0.509,0.413,0.487
0.413,0.355,0.784,0.511,0.445,0.485
0.426,0.34,0.77,0.507,0.475,0.486
0.436,0.342,0.729,0.502,0.499,0.49
0.445,0.342,0.681,0.5,0.517,0.495
0.458,0.342,0.633,0.501,0.528,0.499
0.471,0.347,0.596,0.504,0.534,0.503

0.51,0.341,0.27,0.541,0.415,0.511
0.455,0.305,0.292,0.529,0.388,0.505
0.413,0.308,0.326,0.506,0.365,0.5
0.384,0.334,0.366,0.485,0.347,0.498
0.366,0.382,0.416,0.472,0.334,0.5
0.362,0.449,0.479,0.469,0.329,0.502
0.365,0.494,0.554,0.478,0.334,0.502
0.372,0.459,0.622,0.499,0.348,0.5
0.376,0.392,0.7,0.517,0.371,0.497
0.385,0.327,0.759,0.523,0.399,0.495
0.393,0.303,0.778,0.516,0.427,0.497
0.407,0.314,0.76,0.506,0.454,0.501
0.422,0.32,0.727,0.502,0.478,0.504
0.436,0.323,0.685,0.502,0.496,0.507
0.447,0.331,0.648,0.503,0.508,0.51

0.453,0.328,0.272,0.522,0.38,0.501
