aX,aY,aZ,gX,gY,gZ
0.337,0.574,0.691,0.415,0.366,0.54
0.319,0.618,0.744,0.429,0.38,0.54
0.307,0.638,0.796,0.447,0.398,0.537
0.303,0.65,0.836,0.466,0.421,0.531
0.306,0.638,0.855,0.483,0.447,0.522
0.318,0.636,0.854,0.494,0.474,0.512
0.338,0.622,0.83,0.503,0.5,0.502
0.362,0.599,0.792,0.511,0.521,0.493
0.389,0.576,0.75,0.515,0.537,0.486
0.416,0.552,0.71,0.518,0.546,0.481
0.445,0.53,0.675,0.518,0.55,0.478
0.469,0.514,0.647,0.516,0.549,0.477
0.488,0.504,0.626,0.512,0.545,0.476
0.502,0.499,0.611,0.509,0.539,0.477
0.511,0.495,0.603,0.507,0.533,0.478

0.351,0.521,0.682,0.409,0.36,0.515
0.321,0.559,0.748,0.422,0.372,0.523
0.306,0.595,0.815,0.439,0.39,0.529
0.306,0.618,0.862,0.458,0.413,0.529
0.309,0.64,0.889,0.475,0.441,0.523
0.319,0.642,0.891,0.49,0.47,0.513
0.333,0.634,0.869,0.502,0.498,0.502
0.354,0.609,0.831,0.512,0.523,0.491
0.379,0.58,0.787,0.519,0.541,0.482
0.407,0.548,0.742,0.523,0.551,0.477
0.436,0.52,0.699,0.524,0.555,0.474
0.463,0.499,0.664,0.522,0.554,0.474
0.484,0.491,0.637,0.519,0.55,0.475
0.498,0.487,0.619,0.516,0.543,0.477
0.507,0.484,0.609,0.515,0.537,0.479

0.412,0.372,0.65,0.433,0.373,0.498
0.378,0.414,0.691,0.419,0.371,0.508
0.347,0.475,0.734,0.417,0.377,0.52
0.328,0.546,0.776,0.426,0.389,0.531
0.328,0.605,0.813,0.443,0.407,0.536
0.334,0.613,0.853,0.465,0.429,0.534
0.342,0.606,0.871,0.483,0.452,0.527
0.35,0.596,0.87,0.492,0.475,0.516
0.36,0.586,0.848,0.498,0.496,0.505
0.376,0.569,0.812,0.502,0.514,0.495
0.395,0.548,0.771,0.506,0.527,0.489
0.418,0.527,0.73,0.508,0.535,0.485
0.441,0.511,0.693,0.509,0.54,0.483
0.463,0.5,0.661,0.509,0.54,0.483
0.48,0.493,0.636,0.508,0.539,0.484

0.4,0.393,0.696,0.41,0.374,0.514
0.341,0.552,0.764,0.413,0.385,0.526
0.331,0.617,0.808,0.432,0.402,0.533
0.327,0.627,0.855,0.461,0.425,0.534
