aX,aY,aZ,gX,gY,gZ
0.38,0.362,0.782,0.451,0.553,0.48
0.345,0.383,0.752,0.449,0.589,0.477
0.307,0.399,0.691,0.455,0.624,0.475
0.287,0.413,0.613,0.469,0.654,0.475
0.29,0.414,0.531,0.492,0.674,0.479
0.32,0.405,0.448,0.521,0.684,0.486
0.382,0.39,0.375,0.55,0.686,0.498
0.437,0.384,0.322,0.567,0.68,0.514
0.501,0.367,0.282,0.571,0.662,0.526
0.564,0.371,0.246,0.561,0.634,0.527
0.612,0.398,0.208,0.537,0.6,0.52
0.633,0.433,0.181,0.507,0.564,0.509
0.623,0.464,0.179,0.481,0.529,0.498
0.607,0.457,0.211,0.471,0.499,0.49
0.578,0.44,0.252,0.472,0.475,0.487

0.408,0.349,0.797,0.458,0.514,0.495
0.384,0.371,0.811,0.444,0.546,0.489
0.345,0.419,0.793,0.435,0.583,0.481
0.303,0.459,0.744,0.437,0.62,0.471
0.267,0.458,0.672,0.452,0.651,0.462
0.25,0.448,0.593,0.474,0.673,0.457
0.273,0.435,0.502,0.502,0.687,0.456
0.331,0.437,0.402,0.536,0.693,0.461
0.399,0.433,0.31,0.571,0.693,0.476
0.475,0.396,0.257,0.598,0.683,0.496
0.543,0.35,0.236,0.605,0.659,0.511
0.592,0.333,0.218,0.586,0.626,0.513
0.613,0.366,0.186,0.547,0.59,0.507
0.613,0.41,0.164,0.505,0.554,0.498
0.606,0.439,0.174,0.479,0.522,0.49

0.36,0.42,0.729,0.444,0.585,0.483
0.319,0.452,0.689,0.453,0.617,0.476
0.296,0.449,0.633,0.471,0.645,0.47
0.305,0.429,0.574,0.493,0.667,0.467
0.32,0.417,0.499,0.518,0.68,0.469
0.366,0.387,0.419,0.544,0.685,0.476
0.441,0.364,0.345,0.564,0.68,0.49
0.509,0.325,0.303,0.572,0.664,0.503
0.556,0.308,0.275,0.563,0.637,0.511
0.608,0.328,0.244,0.537,0.605,0.513
0.629,0.376,0.213,0.505,0.571,0.509
0.619,0.421,0.203,0.482,0.539,0.503
0.598,0.435,0.222,0.473,0.511,0.499
0.568,0.431,0.264,0.473,0.488,0.497
0.539,0.419,0.315,0.477,0.472,0.497

0.444,0.319,0.725,0.471,0.5,0.491
0.418,0.328,0.75,0.453,0.521,0.491
0.399,0.356,0.757,0.44,0.548,0.487
0.362,0.406,0.737,0.434,0.581,0.481
0.323,0.446,0.693,0.438,0.614,0.474
0.305,0.446,0.631,0.456,0.643,0.467
0.314,0.445,0.556,0.482,0.664,0.464
0.335,0.462,0.466,0.517,0.677,0.468
0.378,0.432,0.375,0.561,0.682,0.482
