aX,aY,aZ,gX,gY,gZ
0.408,0.528,0.533,0.639,0.654,0.594
0.383,0.53,0.533,0.638,0.668,0.598
0.345,0.559,0.523,0.629,0.681,0.599
0.315,0.582,0.501,0.617,0.691,0.597
0.302,0.604,0.464,0.604,0.7,0.59
0.291,0.616,0.421,0.588,0.705,0.578
0.288,0.609,0.372,0.569,0.705,0.562
0.296,0.575,0.307,0.547,0.7,0.543
0.316,0.56,0.231,0.52,0.689,0.523
0.351,0.541,0.175,0.497,0.671,0.505
0.387,0.524,0.129,0.484,0.646,0.495
0.421,0.51,0.106,0.485,0.616,0.492
0.453,0.47,0.104,0.497,0.583,0.497
0.468,0.434,0.123,0.504,0.55,0.506
0.464,0.441,0.151,0.499,0.52,0.515

0.362,0.611,0.487,0.593,0.657,0.566
0.34,0.579,0.459,0.579,0.664,0.554
0.337,0.547,0.408,0.556,0.668,0.54
0.332,0.528,0.352,0.527,0.668,0.525
0.349,0.525,0.282,0.498,0.661,0.511
0.384,0.534,0.211,0.478,0.647,0.5
0.422,0.553,0.151,0.475,0.626,0.495
0.452,0.517,0.117,0.491,0.597,0.498
0.473,0.469,0.113,0.508,0.566,0.507
0.476,0.449,0.135,0.512,0.535,0.517
0.468,0.47,0.164,0.503,0.506,0.523
0.45,0.509,0.194,0.489,0.483,0.524
0.431,0.545,0.222,0.478,0.465,0.52
0.419,0.566,0.252,0.473,0.452,0.514
0.412,0.569,0.28,0.472,0.445,0.507

0.417,0.576,0.528,0.596,0.626,0.59
0.402,0.598,0.514,0.581,0.631,0.579
0.384,0.604,0.49,0.566,0.637,0.565
0.369,0.599,0.44,0.549,0.642,0.549
0.369,0.585,0.38,0.53,0.645,0.532
0.377,0.572,0.322,0.515,0.646,0.515
0.396,0.567,0.271,0.502,0.64,0.502
0.428,0.553,0.239,0.496,0.627,0.495
0.455,0.52,0.215,0.499,0.605,0.493
0.473,0.476,0.202,0.502,0.579,0.497
0.481,0.46,0.203,0.499,0.551,0.504
0.475,0.474,0.208,0.491,0.526,0.51
0.46,0.506,0.217,0.484,0.506,0.514
0.449,0.53,0.234,0.481,0.491,0.515
0.441,0.543,0.254,0.483,0.481,0.513

0.367,0.56,0.425,0.566,0.662,0.545
0.356,0.538,0.382,0.553,0.667,0.534
0.354,0.525,0.331,0.533,0.667,0.521
0.362,0.514,0.27,0.512,0.661,0.509
0.383,0.528,0.223,0.494,0.648,0.499
0.42,0.536,0.185,0.486,0.626,0.493
0.452,0.517,0.16,0.492,0.599,0.493
0.474,0.495,0.156,0.499,0.57,0.496
0.478,0.476,0.17,0.502,0.541,0.501
0.47,0.473,0.193,0.498,0.516,0.505
0.458,0.493,0.218,0.489,0.496,0.507
0.445,0.514,0.242,0.481,0.48,0.506
0.434,0.532,0.264,0.478,0.468,0.503
0.428,0.541,0.289,0.478,0.461,0.5
0.426,0.539,0.313,0.48,0.457,0.497

0.396,0.531,0.318,0.525,0.645,0.52
0.418,0.512,0.244,0.502,0.632,0.507
0.441,0.53,0.189,0.482,0.612,0.499
0.473,0.519,0.154,0.478,0.584,0.497
0.491,0.5,0.143,0.483,0.553,0.501
0.486,0.504,0.153,0.485,0.524,0.507
0.473,0.527,0.178,0.486,0.501,0.511
0.461,0.549,0.215,0.488,0.484,0.512
0.455,0.556,0.258,0.491,0.473,0.509
0.452,0.552,0.299,0.493,0.467,0.505
0.451,0.547,0.334,0.492,0.466,0.5
0.453,0.549,0.355,0.489,0.467,0.497
0.456,0.555,0.365,0.488,0.471,0.495
0.459,0.556,0.368,0.49,0.477,0.494
0.465,0.551,0.369,0.495,0.483,0.494

0.379,0.607,0.459,0.583,0.644,0.559
0.365,0.585,0.417,0.566,0.647,0.547
0.373,0.547,0.362,0.546,0.646,0.533
0.387,0.546,0.306,0.518,0.643,0.519
0.399,0.54,0.246,0.493,0.633,0.507
0.415,0.531,0.2,0.477,0.615,0.5
0.45,0.522,0.178,0.47,0.59,0.498
0.474,0.5,0.171,0.473,0.562,0.5
0.475,0.492,0.175,0.478,0.535,0.505
0.471,0.502,0.192,0.479,0.51,0.51
0.458,0.532,0.214,0.478,0.491,0.513
0.444,0.555,0.239,0.479,0.476,0.513
0.433,0.568,0.266,0.483,0.467,0.51
0.427,0.564,0.294,0.487,0.461,0.506
0.425,0.552,0.32,0.489,0.46,0.501

0.399,0.605,0.446,0.57,0.645,0.562
0.386,0.587,0.407,0.562,0.653,0.553
0.384,0.562,0.351,0.55,0.656,0.542
0.385,0.559,0.303,0.534,0.653,0.531
0.387,0.55,0.256,0.518,0.644,0.521
0.414,0.535,0.216,0.502,0.626,0.514
0.449,0.545,0.182,0.489,0.602,0.509
0.471,0.546,0.162,0.486,0.575,0.506
0.48,0.542,0.162,0.487,0.547,0.506
0.48,0.53,0.179,0.49,0.52,0.506
0.473,0.535,0.204,0.489,0.498,0.505
0.46,0.555,0.231,0.485,0.48,0.504
0.446,0.569,0.259,0.482,0.467,0.501
0.439,0.574,0.289,0.482,0.46,0.497
0.438,0.57,0.318,0.483,0.456,0.493

0.379,0.585,0.463,0.599,0.653,0.562
0.365,0.575,0.421,0.581,0.656,0.55
0.364,0.552,0.365,0.557,0.655,0.537
0.375,0.529,0.305,0.527,0.648,0.523
0.401,0.532,0.24,0.495,0.634,0.51
0.433,0.562,0.188,0.471,0.613,0.5
0.457,0.561,0.157,0.468,0.584,0.496
0.47,0.525,0.152,0.48,0.552,0.498
0.469,0.508,0.17,0.488,0.523,0.502
0.459,0.526,0.199,0.486,0.499,0.507
0.444,0.551,0.23,0.484,0.481,0.508
0.431,0.569,0.262,0.484,0.468,0.507
0.427,0.575,0.292,0.486,0.46,0.503
0.423,0.573,0.318,0.486,0.457,0.499
0.425,0.569,0.337,0.486,0.458,0.495

0.394,0.607,0.451,0.562,0.641,0.557
0.387,0.594,0.418,0.565,0.651,0.549
0.376,0.579,0.387,0.564,0.658,0.541
0.373,0.563,0.356,0.557,0.659,0.534
0.376,0.541,0.308,0.546,0.655,0.526
0.393,0.541,0.26,0.535,0.644,0.519
0.414,0.54,0.219,0.525,0.627,0.514
0.442,0.529,0.189,0.52,0.603,0.511
0.463,0.514,0.174,0.515,0.577,0.51
0.475,0.508,0.175,0.507,0.549,0.51
0.469,0.508,0.186,0.499,0.523,0.509
0.458,0.515,0.206,0.491,0.501,0.509
0.442,0.534,0.23,0.483,0.483,0.507
0.429,0.549,0.255,0.479,0.47,0.506
0.422,0.559,0.283,0.479,0.461,0.503

0.384,0.596,0.47,0.569,0.646,0.57
0.369,0.624,0.442,0.572,0.658,0.565
0.359,0.608,0.41,0.576,0.665,0.559
0.364,0.56,0.37,0.573,0.667,0.551
0.372,0.551,0.327,0.556,0.663,0.54
0.387,0.565,0.277,0.534,0.652,0.529
0.416,0.563,0.223,0.517,0.632,0.519
0.449,0.548,0.189,0.508,0.604,0.512
0.472,0.527,0.174,0.502,0.573,0.509
0.475,0.511,0.177,0.496,0.542,0.508
0.465,0.509,0.193,0.488,0.515,0.509
