aX,aY,aZ,gX,gY,gZ
0.531,0.085,0.557,0.484,0.5,0.515
0.518,0.057,0.543,0.47,0.499,0.538
0.494,0.096,0.533,0.46,0.497,0.564
0.473,0.131,0.556,0.46,0.494,0.593
0.427,0.166,0.589,0.465,0.494,0.619
0.379,0.203,0.614,0.464,0.501,0.643
0.332,0.261,0.619,0.457,0.515,0.662
0.297,0.332,0.596,0.448,0.533,0.674
0.283,0.432,0.553,0.442,0.552,0.678
0.315,0.563,0.495,0.443,0.567,0.671
0.364,0.785,0.414,0.457,0.576,0.656
0.436,0.894,0.377,0.493,0.574,0.634
0.461,0.847,0.373,0.543,0.563,0.606
0.486,0.774,0.397,0.566,0.548,0.576
0.497,0.723,0.415,0.555,0.536,0.546

0.429,0.168,0.593,0.516,0.5,0.63
0.367,0.235,0.589,0.49,0.511,0.647
0.336,0.279,0.569,0.477,0.518,0.659
0.309,0.344,0.555,0.468,0.526,0.667
0.304,0.412,0.546,0.465,0.535,0.672
0.295,0.488,0.531,0.465,0.544,0.674
0.315,0.587,0.505,0.469,0.553,0.669
0.37,0.731,0.481,0.477,0.56,0.657
0.418,0.913,0.443,0.5,0.561,0.638
0.472,0.9,0.436,0.544,0.555,0.611
0.496,0.807,0.45,0.577,0.546,0.579
0.516,0.728,0.461,0.57,0.539,0.546
0.525,0.683,0.455,0.537,0.534,0.514
0.542,0.616,0.439,0.506,0.528,0.487
0.557,0.55,0.425,0.485,0.52,0.467

0.416,0.199,0.606,0.507,0.501,0.615
0.387,0.22,0.62,0.506,0.509,0.638
0.343,0.237,0.622,0.498,0.518,0.658
0.303,0.256,0.603,0.486,0.528,0.673
0.284,0.304,0.585,0.469,0.538,0.682
0.276,0.397,0.561,0.454,0.548,0.685
0.28,0.508,0.521,0.448,0.556,0.68
0.333,0.703,0.459,0.453,0.562,0.667
0.4,0.994,0.4,0.481,0.564,0.647
0.494,0.982,0.409,0.551,0.558,0.62
0.518,0.754,0.444,0.616,0.546,0.591
0.528,0.649,0.482,0.61,0.538,0.563
0.556,0.623,0.49,0.565,0.534,0.534
0.564,0.582,0.468,0.521,0.53,0.509
0.577,0.538,0.449,0.49,0.522,0.488

0.472,0.114,0.566,0.493,0.504,0.549
0.469,0.093,0.56,0.483,0.504,0.564
0.458,0.096,0.55,0.474,0.504,0.581
0.435,0.14,0.55,0.47,0.503,0.601
0.408,0.178,0.556,0.473,0.503,0.624
0.366,0.202,0.562,0.478,0.505,0.648
0.314,0.222,0.564,0.48,0.51,0.67
0.269,0.25,0.563,0.479,0.519,0.688
0.248,0.335,0.562,0.472,0.53,0.7
0.243,0.476,0.539,0.465,0.543,0.705
0.282,0.674,0.5,0.471,0.553,0.7
0.353,0.925,0.462,0.499,0.556,0.683
0.436,0.924,0.451,0.56,0.55,0.657
0.464,0.855,0.463,0.611,0.54,0.627
0.472,0.736,0.512,0.614,0.533,0.594

0.454,0.114,0.603,0.503,0.507,0.577
0.438,0.101,0.609,0.503,0.509,0.598
0.416,0.102,0.603,0.498,0.514,0.619
0.374,0.127,0.592,0.489,0.518,0.64
0.33,0.138,0.58,0.483,0.521,0.66
0.287,0.167,0.569,0.474,0.525,0.678
0.26,0.249,0.549,0.463,0.53,0.692
0.238,0.372,0.536,0.457,0.538,0.7
0.264,0.515,0.514,0.461,0.548,0.698
0.305,0.747,0.48,0.476,0.555,0.689
0.364,0.875,0.455,0.511,0.557,0.671
0.42,0.854,0.439,0.561,0.553,0.644
0.445,0.794,0.455,0.586,0.548,0.614
0.461,0.732,0.475,0.577,0.545,0.583
0.479,0.678,0.468,0.551,0.542,0.552

0.451,0.158,0.472,0.487,0.485,0.609
0.421,0.209,0.476,0.48,0.48,0.625
0.388,0.22,0.486,0.482,0.476,0.642
0.353,0.249,0.51,0.487,0.476,0.659
0.333,0.295,0.546,0.491,0.479,0.675
0.336,0.351,0.573,0.495,0.486,0.687
0.329,0.415,0.583,0.494,0.496,0.692
0.34,0.49,0.578,0.492,0.506,0.688
0.372,0.586,0.558,0.491,0.516,0.676
0.39,0.758,0.543,0.495,0.524,0.659
0.436,0.837,0.533,0.518,0.528,0.637
0.451,0.808,0.526,0.549,0.527,0.611
0.472,0.732,0.525,0.56,0.526,0.582
0.496,0.673,0.513,0.545,0.526,0.552
0.52,0.633,0.494,0.516,0.527,0.525

0.402,0.132,0.511,0.458,0.495,0.617
0.357,0.173,0.525,0.456,0.495,0.639
0.325,0.193,0.547,0.465,0.497,0.662
0.287,0.217,0.567,0.472,0.503,0.683
0.263,0.283,0.585,0.471,0.513,0.699
0.255,0.392,0.583,0.463,0.527,0.707
0.266,0.518,0.553,0.458,0.542,0.703
0.294,0.746,0.499,0.462,0.555,0.689
0.389,0.932,0.46,0.49,0.562,0.666
0.439,0.916,0.452,0.546,0.561,0.636
