aX,aY,aZ,gX,gY,gZ
0.337,0.676,0.555,0.601,0.517,0.367
0.282,0.37,0.534,0.52,0.565,0.319
0.293,0.175,0.436,0.464,0.581,0.278
0.358,0.002,0.344,0.411,0.579,0.251
0.45,0,0.312,0.358,0.553,0.246
0.425,0.001,0.351,0.336,0.503,0.271
0.433,0,0.466,0.373,0.455,0.322
0.448,0,0.586,0.422,0.434,0.379
0.429,0.048,0.667,0.468,0.438,0.431
0.44,0.067,0.701,0.511,0.459,0.474
0.45,0.099,0.7,0.535,0.487,0.506
0.454,0.159,0.659,0.541,0.512,0.528
0.464,0.225,0.6,0.539,0.528,0.537
0.479,0.271,0.546,0.534,0.534,0.537
0.499,0.297,0.503,0.527,0.533,0.531

0.38,0.969,0.53,0.597,0.486,0.495
0.351,0.683,0.566,0.644,0.487,0.447
0.335,0.504,0.609,0.602,0.509,0.39
0.308,0.5,0.586,0.511,0.539,0.335
0.29,0.371,0.518,0.452,0.555,0.286
0.291,0.116,0.402,0.417,0.557,0.251
0.355,0.026,0.355,0.37,0.545,0.233
0.382,0.109,0.404,0.337,0.512,0.235
0.384,0,0.424,0.361,0.467,0.266
0.43,0,0.521,0.408,0.436,0.329
0.444,0,0.619,0.439,0.427,0.397
0.418,0.041,0.691,0.485,0.437,0.454
0.431,0.058,0.729,0.527,0.459,0.495
0.442,0.099,0.726,0.543,0.486,0.521
0.45,0.178,0.685,0.539,0.508,0.533

0.422,0.886,0.459,0.472,0.506,0.511
0.427,1,0.476,0.489,0.507,0.49
0.371,0.974,0.484,0.552,0.502,0.456
0.323,0.657,0.534,0.601,0.503,0.409
0.312,0.486,0.58,0.566,0.521,0.359
0.276,0.415,0.569,0.497,0.541,0.312
0.26,0.199,0.489,0.453,0.55,0.275
0.324,0.001,0.423,0.413,0.55,0.253
0.395,0.057,0.424,0.376,0.533,0.251
0.383,0,0.373,0.385,0.498,0.284
0.476,0,0.423,0.433,0.466,0.344
0.485,0,0.501,0.464,0.451,0.41
0.457,0,0.596,0.507,0.449,0.468
0.464,0.004,0.667,0.546,0.46,0.507
0.468,0.06,0.695,0.554,0.478,0.526

0.272,0.22,0.457,0.431,0.54,0.265
0.322,0.009,0.407,0.392,0.533,0.247
0.378,0.097,0.427,0.345,0.514,0.248
0.35,0.032,0.467,0.36,0.477,0.281
0.403,0,0.579,0.429,0.453,0.341
0.448,0,0.643,0.467,0.456,0.405
0.437,0,0.674,0.507,0.474,0.461
0.461,0.042,0.668,0.541,0.497,0.501
0.483,0.112,0.634,0.551,0.515,0.523
0.494,0.183,0.583,0.544,0.526,0.529
0.501,0.233,0.532,0.529,0.528,0.523
0.507,0.274,0.492,0.511,0.524,0.512
0.51,0.297,0.468,0.495,0.517,0.501
0.514,0.312,0.464,0.483,0.509,0.494
0.517,0.326,0.467,0.477,0.502,0.491

0.389,0.898,0.584,0.623,0.511,0.427
0.34,0.508,0.631,0.57,0.532,0.377
0.297,0.471,0.588,0.483,0.554,0.325
0.243,0.358,0.506,0.428,0.566,0.278
0.221,0.152,0.408,0.394,0.566,0.243
0.271,0,0.374,0.359,0.557,0.223
0.331,0.067,0.424,0.33,0.53,0.228
0.354,0,0.427,0.376,0.487,0.274
0.466,0,0.541,0.438,0.463,0.358
0.453,0,0.612,0.464,0.463,0.44
0.439,0.013,0.654,0.513,0.475,0.5
0.473,0.084,0.662,0.554,0.494,0.534
0.488,0.149,0.636,0.561,0.513,0.545
0.489,0.224,0.579,0.547,0.526,0.542
0.498,0.28,0.515,0.527,0.53,0.53

0.428,0.999,0.496,0.538,0.505,0.46
0.344,0.692,0.519,0.594,0.509,0.413
0.333,0.477,0.554,0.564,0.527,0.362
0.324,0.393,0.53,0.488,0.543,0.313
0.326,0.282,0.479,0.424,0.544,0.272
0.323,0.163,0.439,0.38,0.529,0.249
0.325,0.109,0.452,0.353,0.504,0.246
0.335,0.049,0.492,0.361,0.472,0.269
0.375,0,0.571,0.401,0.449,0.317
0.422,0,0.647,0.441,0.444,0.379
0.426,0,0.697,0.482,0.455,0.443
0.437,0.028,0.714,0.522,0.476,0.495
0.455,0.104,0.697,0.547,0.5,0.528
0.474,0.179,0.653,0.551,0.519,0.542
0.489,0.247,0.594,0.54,0.53,0.541

0.432,0.78,0.576,0.532,0.524,0.428
0.387,0.624,0.571,0.526,0.538,0.378
0.357,0.536,0.546,0.483,0.552,0.329
0.317,0.429,0.492,0.447,0.556,0.289
0.285,0.328,0.462,0.427,0.551,0.262
0.286,0.152,0.45,0.418,0.538,0.251
0.32,0,0.44,0.409,0.522,0.26
0.394,0,0.431,0.401,0.499,0.295
0.481,0,0.47,0.409,0.475,0.354
0.458,0.035,0.523,0.43,0.461,0.417
0.439,0.126,0.597,0.484,0.462,0.468
0.458,0.092,0.663,0.546,0.475,0.504
0.467,0.085,0.687,0.572,0.496,0.526
0.477,0.165,0.649,0.559,0.515,0.537
0.494,0.243,0.584,0.534,0.527,0.534

0.41,0.846,0.522,0.547,0.515,0.448
0.373,0.653,0.547,0.561,0.523,0.405
0.346,0.532,0.576,0.528,0.538,0.358
0.338,0.442,0.547,0.468,0.55,0.311
0.318,0.307,0.482,0.414,0.549,0.271
0.296,0.216,0.435,0.372,0.535,0.245
0.257,0.183,0.437,0.359,0.51,0.239
0.297,0,0.451,0.394,0.483,0.257
0.381,0,0.505,0.438,0.466,0.309
0.468,0,0.603,0.468,0.46,0.387
0.453,0,0.666,0.487,0.466,0.462
0.448,0.07,0.678,0.511,0.483,0.515
0.485,0.181,0.664,0.539,0.503,0.54
0.5,0.24,0.627,0.55,0.523,0.544
0.504,0.286,0.565,0.54,0.536,0.536

0.394,1,0.51,0.478,0.502,0.523
0.456,1,0.538,0.522,0.506,0.49
0.361,0.837,0.571,0.589,0.509,0.44
0.342,0.621,0.635,0.576,0.528,0.379
0.325,0.564,0.591,0.495,0.553,0.319
0.266,0.426,0.505,0.438,0.562,0.27
0.206,0.279,0.46,0.416,0.555,0.239
0.176,0.066,0.453,0.416,0.542,0.229
0.224,0,0.459,0.418,0.527,0.24
0.364,0,0.449,0.419,0.51,0.278
0.48,0,0.468,0.43,0.492,0.346
0.503,0,0.505,0.443,0.479,0.426
0.471,0.002,0.551,0.472,0.476,0.493
0.481,0.109,0.597,0.518,0.482,0.535
0.503,0.156,0.616,0.55,0.493,0.552

0.385,0.949,0.526,0.539,0.507,0.498
0.344,0.775,0.54,0.586,0.508,0.459
0.355,0.561,0.6,0.59,0.518,0.408
0.363,0.481,0.616,0.527,0.539,0.356
0.338,0.403,0.552,0.458,0.555,0.309
0.308,0.263,0.488,0.424,0.559,0.273
0.301,0.114,0.447,0.41,0.552,0.254
0.323,0,0.42,0.408,0.534,0.256
0.401,0,0.394,0.414,0.51,0.287
0.492,0,0.452,0.435,0.485,0.346
0.511,0,0.529,0.457,0.469,0.412
0.487,0,0.598,0.486,0.468,0.467
0.495,0.069,0.642,0.52,0.478,0.505
0.507,0.124,0.656,0.543,0.494,0.526
0.51,0.191,0.629,0.545,0.512,0.536

0.385,0.898,0.508,0.496,0.503,0.521
0.395,1,0.521,0.529,0.511,0.496
0.377,0.877,0.561,0.576,0.521,0.459
0.371,0.643,0.624,0.591,0.54,0.41
0.37,0.523,0.608,0.537,0.563,0.358
0.362,0.426,0.513,0.465,0.575,0.309
0.34,0.244,0.401,0.417,0.567,0.272
0.343,0.091,0.335,0.39,0.543,0.253
0.341,0.002,0.338,0.391,0.507,0.26
0.402,0,0.415,0.419,0.472,0.296
0.472,0,0.518,0.444,0.453,0.35
0.484,0,0.611,0.469,0.451,0.413
0.492,0,0.674,0.499,0.463,0.471
0.5,0.045,0.698,0.524,0.483,0.512
0.506,0.14,0.68,0.536,0.506,0.535

0.405,0.64,0.607,0.552,0.525,0.396
0.377,0.569,0.62,0.516,0.541,0.352
0.323,0.495,0.593,0.474,0.552,0.312
0.277,0.286,0.52,0.448,0.556,0.278
0.294,0.09,0.432,0.414,0.556,0.254
0.333,0.097,0.379,0.375,0.542,0.246
0.351,0.002,0.36,0.385,0.511,0.269
0.442,0,0.431,0.431,0.48,0.325
0.482,0,0.511,0.46,0.466,0.395
0.454,0,0.584,0.5,0.469,0.459
0.469,0.051,0.632,0.538,0.483,0.505
0.484,0.115,0.642,0.557,0.502,0.53
0.499,0.189,0.616,0.553,0.518,0.537
0.512,0.254,0.561,0.534,0.528,0.531
0.518,0.301,0.502,0.512,0.53,0.518

0.359,0.613,0.613,0.492,0.537,0.348
0.311,0.513,0.546,0.451,0.543,0.304
0.268,0.33,0.467,0.427,0.543,0.268
0.264,0.166,0.421,0.405,0.536,0.245
0.281,0.105,0.422,0.391,0.52,0.243
0.349,0,0.434,0.41,0.496,0.271
0.456,0,0.474,0.437,0.478,0.331
0.494,0,0.523,0.452,0.47,0.403
0.464,0,0.572,0.48,0.471,0.467
0.475,0.076,0.617,0.515,0.479,0.509
0.488,0.136,0.638,0.537,0.491,0.529
0.498,0.212,0.622,0.537,0.504,0.532
0.506,0.265,0.583,0.526,0.514,0.526
0.516,0.29,0.54,0.514,0.519,0.515
0.522,0.291,0.509,0.504,0.518,0.504

0.428,0.888,0.543,0.552,0.515,0.452
0.398,0.715,0.594,0.567,0.525,0.403
0.365,0.612,0.608,0.531,0.538,0.35
0.29,0.545,0.557,0.474,0.546,0.3
0.222,0.374,0.493,0.44,0.543,0.257
0.207,0.127,0.441,0.414,0.535,0.228
0.222,0.062,0.438,0.389,0.519,0.223
0.3,0,0.458,0.405,0.493,0.255
0.462,0,0.493,0.429,0.474,0.324
0.471,0,0.519,0.436,0.464,0.411
0.448,0.063,0.567,0.472,0.462,0.483
0.483,0.151,0.628,0.527,0.47,0.523
0.492,0.139,0.666,0.559,0.484,0.537
0.484,0.196,0.646,0.547,0.499,0.536
0.494,0.272,0.58,0.517,0.509,0.526

0.392,0.588,0.621,0.531,0.542,0.373
0.352,0.563,0.602,0.487,0.555,0.33
0.293,0.432,0.523,0.454,0.56,0.291
0.273,0.219,0.43,0.429,0.558,0.26
0.3,0.137,0.386,0.394,0.547,0.242
0.31,0.073,0.387,0.384,0.52,0.25
0.381,0,0.429,0.416,0.488,0.288
0.484,0,0.483,0.434,0.469,0.351
0.47,0,0.55,0.457,0.462,0.424
0.469,0.058,0.604,0.502,0.469,0.483
0.483,0.114,0.634,0.543,0.486,0.52
0.497,0.162,0.625,0.556,0.503,0.536
0.5,0.224,0.582,0.541,0.516,0.536
0.509,0.287,0.521,0.516,0.519,0.525
0.512,0.328,0.474,0.494,0.516,0.509

0.431,0.874,0.511,0.526,0.511,0.48
0.405,0.805,0.544,0.555,0.52,0.446
0.384,0.634,0.595,0.566,0.532,0.405
0.368,0.576,0.617,0.53,0.547,0.363
0.322,0.526,0.571,0.477,0.557,0.32
0.287,0.32,0.473,0.441,0.559,0.281
0.32,0.144,0.388,0.401,0.553,0.251
0.323,0.183,0.349,0.369,0.531,0.245
0.317,0,0.377,0.399,0.493,0.274
0.447,0,0.462,0.435,0.465,0.329
0.46,0,0.543,0.447,0.455,0.396
0.453,0.031,0.608,0.479,0.459,0.456
0.466,0.104,0.645,0.518,0.474,0.496
0.476,0.13,0.653,0.542,0.495,0.518
0.485,0.177,0.626,0.541,0.512,0.525

0.401,0.563,0.609,0.487,0.554,0.351
0.356,0.503,0.566,0.46,0.561,0.316
0.309,0.33,0.478,0.446,0.564,0.288
0.307,0.173,0.381,0.423,0.563,0.267
0.375,0.14,0.348,0.398,0.552,0.259
0.389,0.041,0.318,0.408,0.524,0.279
0.462,0,0.376,0.453,0.49,0.333
0.513,0,0.45,0.465,0.472,0.397
0.477,0,0.525,0.486,0.467,0.455
0.489,0.056,0.58,0.516,0.475,0.497
0.496,0.124,0.609,0.534,0.49,0.519
0.509,0.195,0.599,0.532,0.505,0.526
0.516,0.254,0.557,0.519,0.517,0.522
0.522,0.303,0.504,0.503,0.522,0.512
0.525,0.32,0.466,0.492,0.52,0.502

0.375,0.157,0.357,0.387,0.545,0.254
0.381,0.126,0.312,0.368,0.51,0.256
0.409,0,0.36,0.396,0.468,0.291
0.465,0,0.497,0.434,0.441,0.349
0.447,0,0.615,0.472,0.438,0.412
0.444,0,0.692,0.513,0.455,0.467
0.451,0.039,0.716,0.541,0.484,0.507
0.469,0.124,0.682,0.549,0.513,0.529
0.495,0.206,0.614,0.543,0.532,0.536
0.516,0.258,0.543,0.53,0.54,0.53
0.525,0.282,0.482,0.514,0.536,0.519
0.536,0.313,0.446,0.496,0.526,0.508
0.54,0.331,0.437,0.483,0.513,0.5
0.541,0.345,0.447,0.479,0.503,0.497
0.534,0.358,0.465,0.479,0.497,0.498

0.369,0.708,0.615,0.555,0.525,0.399
0.351,0.609,0.622,0.511,0.541,0.343
0.307,0.531,0.564,0.456,0.551,0.292
0.25,0.402,0.495,0.424,0.549,0.251
0.21,0.212,0.441,0.414,0.539,0.227
0.234,0.001,0.408,0.412,0.523,0.224
0.324,0,0.382,0.415,0.498,0.256
0.458,0,0.455,0.436,0.468,0.325
0.469,0,0.541,0.441,0.449,0.401
0.43,0.012,0.63,0.471,0.447,0.465
0.459,0.082,0.706,0.517,0.46,0.505
0.478,0.122,0.734,0.542,0.484,0.525
0.485,0.191,0.697,0.537,0.509,0.53
0.503,0.257,0.619,0.521,0.526,0.526
0.516,0.286,0.549,0.51,0.532,0.517

0.389,0.906,0.554,0.556,0.515,0.47
0.368,0.685,0.609,0.584,0.529,0.427
0.344,0.537,0.641,0.557,0.551,0.378
0.318,0.487,0.603,0.492,0.572,0.33
0.298,0.315,0.489,0.44,0.579,0.286
0.312,0.127,0.386,0.394,0.572,0.254
0.365,0.12,0.321,0.35,0.546,0.24
0.384,0.045,0.284,0.355,0.499,0.26
0.43,0,0.376,0.411,0.452,0.314
0.463,0,0.534,0.445,0.428,0.381
0.431,0,0.678,0.491,0.429,0.443
0.447,0,0.75,0.537,0.453,0.49
0.455,0.052,0.752,0.552,0.489,0.522
0.469,0.149,0.689,0.549,0.521,0.539
0.488,0.229,0.6,0.54,0.54,0.542
