aX,aY,aZ,gX,gY,gZ
0.666,0.473,0.162,0.524,0.489,0.503
0.687,0.405,0.113,0.55,0.458,0.512
0.604,0.417,0.069,0.55,0.421,0.513
0.479,0.375,0.056,0.55,0.378,0.501
0.383,0.326,0.055,0.538,0.333,0.485
0.222,0.353,0.081,0.507,0.292,0.473
0.094,0.43,0.157,0.48,0.262,0.467
0.069,0.463,0.299,0.475,0.244,0.467
0.101,0.479,0.475,0.486,0.242,0.468
0.136,0.402,0.62,0.506,0.256,0.469
0.18,0.362,0.747,0.515,0.285,0.471
0.226,0.366,0.853,0.511,0.323,0.474
0.265,0.323,0.908,0.512,0.364,0.476
0.278,0.29,0.905,0.509,0.406,0.478
0.304,0.285,0.867,0.5,0.448,0.48

0.65,0.503,0.161,0.556,0.48,0.504
0.641,0.48,0.112,0.583,0.451,0.505
0.594,0.437,0.08,0.596,0.416,0.498
0.49,0.379,0.064,0.589,0.378,0.484
0.355,0.314,0.069,0.564,0.339,0.469
0.221,0.297,0.096,0.529,0.303,0.458
0.123,0.331,0.152,0.5,0.273,0.455
0.074,0.387,0.261,0.484,0.253,0.457
0.078,0.432,0.402,0.482,0.245,0.46
0.122,0.441,0.57,0.493,0.253,0.461
0.184,0.371,0.711,0.512,0.277,0.46
0.228,0.335,0.849,0.517,0.313,0.462
0.262,0.269,0.929,0.517,0.356,0.466
0.284,0.227,0.937,0.511,0.403,0.47
0.318,0.243,0.906,0.5,0.451,0.475

0.591,0.45,0.032,0.549,0.356,0.497
0.277,0.391,0.028,0.531,0.312,0.482
0.107,0.361,0.089,0.513,0.272,0.471
0.001,0.349,0.209,0.502,0.244,0.466
0,0.369,0.357,0.497,0.23,0.465
0.037,0.416,0.526,0.495,0.233,0.466
0.101,0.391,0.671,0.504,0.252,0.466
0.159,0.371,0.798,0.509,0.286,0.465
0.213,0.339,0.893,0.513,0.329,0.465
0.26,0.274,0.945,0.517,0.374,0.467
0.309,0.259,0.94,0.515,0.419,0.472
0.29,0.231,0.893,0.512,0.46,0.478
0.317,0.218,0.829,0.508,0.498,0.488
0.35,0.247,0.76,0.5,0.53,0.497
0.361,0.274,0.685,0.498,0.553,0.506

0.574,0.467,0.069,0.56,0.396,0.506
0.451,0.455,0.042,0.553,0.356,0.492
0.296,0.424,0.039,0.539,0.317,0.475
0.136,0.388,0.068,0.528,0.281,0.463
0.015,0.35,0.159,0.52,0.252,0.456
0,0.339,0.287,0.511,0.236,0.454
0.012,0.361,0.45,0.505,0.232,0.456
0.064,0.354,0.604,0.506,0.242,0.459
0.126,0.342,0.749,0.511,0.266,0.463
0.185,0.333,0.886,0.511,0.302,0.467
0.223,0.286,0.969,0.514,0.348,0.47
0.254,0.246,0.985,0.511,0.398,0.473
0.281,0.248,0.955,0.504,0.451,0.478
0.313,0.238,0.886,0.501,0.5,0.485
0.337,0.231,0.792,0.502,0.538,0.492

0.557,0.48,0.131,0.564,0.408,0.502
0.437,0.444,0.109,0.566,0.372,0.488
0.301,0.398,0.121,0.553,0.337,0.47
0.204,0.368,0.181,0.528,0.307,0.455
0.159,0.363,0.265,0.503,0.284,0.448
0.14,0.375,0.372,0.485,0.27,0.449
0.141,0.432,0.501,0.476,0.268,0.454
0.163,0.436,0.626,0.484,0.278,0.457
0.199,0.401,0.741,0.501,0.302,0.458
