aX,aY,aZ,gX,gY,gZ
0.358,0.282,0.772,0.476,0.549,0.487
0.302,0.309,0.793,0.453,0.592,0.486
0.243,0.364,0.776,0.433,0.642,0.482
0.191,0.44,0.703,0.424,0.69,0.475
0.128,0.476,0.591,0.434,0.723,0.468
0.074,0.427,0.473,0.462,0.741,0.462
0.13,0.37,0.372,0.488,0.749,0.458
0.253,0.389,0.266,0.507,0.75,0.459
0.339,0.426,0.165,0.539,0.739,0.472
0.455,0.381,0.083,0.581,0.713,0.495
0.567,0.359,0.069,0.594,0.676,0.512
0.625,0.351,0.067,0.574,0.632,0.512
0.638,0.371,0.061,0.532,0.587,0.504
0.639,0.411,0.083,0.486,0.547,0.493
0.617,0.426,0.136,0.462,0.512,0.486

0.368,0.346,0.751,0.491,0.528,0.488
0.326,0.307,0.773,0.488,0.554,0.487
0.279,0.304,0.787,0.478,0.589,0.485
0.238,0.322,0.782,0.46,0.633,0.481
0.171,0.394,0.729,0.445,0.677,0.476
0.108,0.444,0.658,0.441,0.716,0.471
0.06,0.401,0.562,0.457,0.743,0.466
0.033,0.352,0.465,0.476,0.756,0.46
0.109,0.336,0.359,0.492,0.761,0.457
0.191,0.375,0.249,0.518,0.758,0.464
0.288,0.377,0.167,0.555,0.746,0.484
0.42,0.339,0.082,0.579,0.721,0.503
0.518,0.374,0.037,0.57,0.687,0.51
0.592,0.374,0.019,0.545,0.645,0.508
0.58,0.43,0.012,0.51,0.605,0.503

0.383,0.297,0.78,0.487,0.525,0.493
0.325,0.309,0.819,0.467,0.554,0.492
0.257,0.36,0.831,0.444,0.596,0.484
0.211,0.448,0.795,0.429,0.645,0.47
0.149,0.51,0.711,0.43,0.689,0.452
0.088,0.467,0.586,0.452,0.719,0.435
0.076,0.419,0.476,0.48,0.736,0.424
0.145,0.371,0.36,0.508,0.741,0.424
0.281,0.289,0.234,0.543,0.733,0.437
0.395,0.252,0.127,0.57,0.714,0.463
0.456,0.222,0.117,0.579,0.683,0.491
0.503,0.26,0.14,0.557,0.651,0.508
0.544,0.299,0.128,0.523,0.618,0.512
0.571,0.348,0.1,0.49,0.586,0.509
0.575,0.406,0.105,0.468,0.555,0.507

0.323,0.327,0.744,0.471,0.611,0.496
0.25,0.411,0.697,0.461,0.657,0.487
0.24,0.434,0.657,0.458,0.698,0.475
0.202,0.449,0.594,0.457,0.723,0.463
0.143,0.422,0.478,0.464,0.732,0.453
0.185,0.371,0.382,0.481,0.731,0.446
0.283,0.38,0.284,0.498,0.724,0.445
0.362,0.376,0.233,0.525,0.708,0.453
0.471,0.327,0.161,0.551,0.685,0.466
0.546,0.325,0.133,0.559,0.656,0.481
0.573,0.324,0.128,0.555,0.624,0.493
0.601,0.34,0.14,0.542,0.593,0.501
0.601,0.359,0.156,0.526,0.563,0.504
0.587,0.372,0.181,0.509,0.535,0.503
0.567,0.382,0.225,0.495,0.51,0.5

0.392,0.296,0.752,0.493,0.537,0.493
0.352,0.297,0.768,0.474,0.565,0.493
0.304,0.311,0.758,0.452,0.6,0.49
0.259,0.357,0.726,0.436,0.638,0.481
0.22,0.433,0.671,0.429,0.675,0.471
0.187,0.479,0.595,0.44,0.703,0.462
0.165,0.432,0.495,0.469,0.72,0.456
0.198,0.396,0.392,0.503,0.729,0.457
0.269,0.398,0.287,0.539,0.731,0.467
0.343,0.372,0.214,0.579,0.723,0.489
0.429,0.34,0.18,0.605,0.704,0.515
0.5,0.334,0.151,0.598,0.676,0.53
0.553,0.362,0.126,0.566,0.64,0.529
0.575,0.386,0.1,0.526,0.603,0.517
0.58,0.423,0.103,0.485,0.567,0.506

0.375,0.306,0.72,0.489,0.554,0.5
0.341,0.302,0.711,0.469,0.583,0.497
0.295,0.296,0.691,0.45,0.618,0.49
0.257,0.325,0.663,0.432,0.654,0.478
0.228,0.387,0.617,0.419,0.687,0.464
0.199,0.442,0.578,0.421,0.709,0.452
0.174,0.438,0.51,0.443,0.719,0.445
0.18,0.365,0.432,0.48,0.721,0.447
0.254,0.346,0.348,0.515,0.721,0.455
0.32,0.372,0.269,0.549,0.719,0.474
0.394,0.391,0.212,0.581,0.711,0.5
0.476,0.353,0.164,0.598,0.691,0.521
0.544,0.352,0.127,0.587,0.661,0.526
0.602,0.363,0.106,0.548,0.624,0.519
0.569,0.418,0.087,0.497,0.587,0.508

0.333,0.296,0.778,0.467,0.554,0.49
0.278,0.302,0.783,0.45,0.591,0.485
0.216,0.341,0.753,0.435,0.635,0.477
0.16,0.418,0.689,0.426,0.681,0.465
0.132,0.446,0.62,0.433,0.719,0.454
0.131,0.449,0.523,0.454,0.743,0.448
0.136,0.437,0.396,0.494,0.75,0.45
0.167,0.393,0.31,0.549,0.746,0.467
0.274,0.344,0.273,0.591,0.738,0.491
0.368,0.37,0.236,0.603,0.726,0.513
0.415,0.384,0.179,0.599,0.706,0.526
0.498,0.37,0.123,0.585,0.675,0.527
0.559,0.415,0.076,0.548,0.639,0.52
0.56,0.438,0.069,0.511,0.602,0.511
0.553,0.467,0.077,0.483,0.568,0.504

0.399,0.327,0.756,0.476,0.546,0.479
0.295,0.304,0.813,0.463,0.578,0.474
0.245,0.314,0.812,0.449,0.62,0.465
0.192,0.354,0.771,0.432,0.668,0.453
0.141,0.395,0.701,0.424,0.71,0.441
0.077,0.407,0.609,0.432,0.736,0.434
0.002,0.359,0.502,0.459,0.747,0.433
0.011,0.346,0.421,0.491,0.75,0.439
0.116,0.361,0.324,0.523,0.753,0.45
0.208,0.385,0.218,0.565,0.753,0.472
0.315,0.407,0.156,0.605,0.744,0.504
0.424,0.367,0.101,0.625,0.72,0.528
0.516,0.38,0.067,0.61,0.684,0.533
0.574,0.404,0.025,0.566,0.64,0.523
0.579,0.434,0.01,0.511,0.597,0.509

0.321,0.327,0.786,0.463,0.57,0.497
0.271,0.371,0.784,0.453,0.604,0.488
0.212,0.428,0.753,0.45,0.644,0.476
0.172,0.449,0.716,0.456,0.685,0.463
0.132,0.447,0.645,0.468,0.719,0.454
0.1,0.398,0.529,0.484,0.738,0.449
0.118,0.356,0.426,0.505,0.744,0.449
0.205,0.336,0.321,0.525,0.742,0.456
0.314,0.329,0.224,0.546,0.731,0.472
0.405,0.321,0.149,0.564,0.711,0.493
0.494,0.311,0.099,0.567,0.681,0.512
0.554,0.33,0.068,0.55,0.643,0.52
0.576,0.378,0.053,0.517,0.603,0.518
0.58,0.425,0.064,0.488,0.564,0.512
0.576,0.437,0.113,0.474,0.53,0.506

0.39,0.295,0.75,0.512,0.518,0.5
0.33,0.301,0.785,0.48,0.569,0.498
0.279,0.307,0.788,0.463,0.604,0.492
0.236,0.377,0.766,0.445,0.642,0.481
0.195,0.47,0.709,0.437,0.678,0.468
0.152,0.494,0.631,0.452,0.706,0.458
0.11,0.427,0.545,0.482,0.723,0.453
0.124,0.375,0.471,0.507,0.733,0.452
0.187,0.351,0.393,0.525,0.736,0.456
0.249,0.323,0.316,0.545,0.731,0.467
0.344,0.329,0.259,0.559,0.718,0.485
0.433,0.339,0.194,0.563,0.698,0.501
0.503,0.346,0.134,0.557,0.671,0.511
0.557,0.397,0.09,0.536,0.637,0.513
0.58,0.436,0.08,0.514,0.601,0.51

0.407,0.282,0.776,0.492,0.512,0.491
0.371,0.284,0.804,0.473,0.537,0.492
0.339,0.312,0.817,0.453,0.568,0.489
0.295,0.36,0.807,0.439,0.604,0.481
0.245,0.418,0.759,0.434,0.641,0.47
