aX,aY,aZ,gX,gY,gZ
0.461,0.131,0.469,0.454,0.488,0.604
0.417,0.171,0.496,0.457,0.485,0.63
0.371,0.216,0.522,0.465,0.485,0.655
0.336,0.284,0.548,0.472,0.491,0.675
0.327,0.385,0.566,0.478,0.502,0.688
0.326,0.536,0.557,0.486,0.513,0.693
0.367,0.694,0.52,0.505,0.522,0.688
0.446,0.808,0.516,0.54,0.523,0.67
0.516,0.845,0.52,0.576,0.515,0.644
0.531,0.82,0.533,0.594,0.506,0.616
0.529,0.684,0.553,0.59,0.501,0.584
0.537,0.604,0.521,0.55,0.502,0.553
0.556,0.571,0.506,0.501,0.506,0.523
0.57,0.564,0.489,0.461,0.508,0.5
0.582,0.568,0.482,0.437,0.504,0.486

0.468,0.02,0.478,0.503,0.496,0.595
0.414,0.059,0.482,0.478,0.493,0.621
0.361,0.099,0.483,0.456,0.492,0.644
0.309,0.166,0.487,0.443,0.493,0.666
0.272,0.239,0.5,0.441,0.495,0.683
0.243,0.31,0.514,0.445,0.501,0.696
0.234,0.413,0.526,0.447,0.51,0.702
0.263,0.548,0.516,0.452,0.521,0.7
0.291,0.765,0.492,0.464,0.53,0.688
0.326,0.842,0.472,0.493,0.534,0.668
0.479,0.953,0.454,0.525,0.533,0.646
0.551,0.915,0.465,0.551,0.528,0.615
0.514,0.869,0.491,0.565,0.521,0.583
0.534,0.709,0.496,0.561,0.516,0.548
0.556,0.6,0.473,0.533,0.515,0.517

0.565,0.179,0.448,0.506,0.514,0.526
0.559,0.146,0.436,0.492,0.509,0.536
0.531,0.14,0.421,0.476,0.501,0.55
0.51,0.127,0.416,0.468,0.49,0.568
0.489,0.119,0.437,0.466,0.479,0.589
0.45,0.122,0.469,0.467,0.471,0.612
0.396,0.127,0.505,0.47,0.468,0.637
0.337,0.148,0.525,0.472,0.47,0.66
0.295,0.203,0.538,0.467,0.477,0.68
0.275,0.326,0.543,0.457,0.487,0.692
0.286,0.501,0.531,0.454,0.499,0.695
0.321,0.778,0.505,0.471,0.508,0.688
0.458,0.965,0.522,0.52,0.509,0.672
0.53,0.939,0.554,0.588,0.502,0.647
0.521,0.786,0.607,0.62,0.495,0.62

0.492,0.049,0.471,0.517,0.487,0.588
0.429,0,0.446,0.479,0.483,0.611
0.35,0.019,0.422,0.452,0.479,0.637
0.294,0.096,0.437,0.438,0.477,0.664
0.253,0.175,0.482,0.442,0.478,0.689
0.197,0.258,0.533,0.45,0.483,0.709
0.169,0.382,0.569,0.457,0.495,0.721
0.204,0.579,0.568,0.462,0.51,0.724
0.234,0.812,0.54,0.477,0.523,0.715
0.353,0.988,0.499,0.516,0.53,0.696
