aX,aY,aZ,gX,gY,gZ
0.536,0.656,0.1,0.484,0.435,0.484
0.482,0.612,0.141,0.502,0.409,0.478
0.4,0.561,0.261,0.502,0.382,0.471
0.309,0.51,0.46,0.49,0.36,0.467
0.241,0.381,0.721,0.488,0.347,0.469
0.231,0.272,0.982,0.482,0.348,0.477
0.265,0.276,1,0.47,0.363,0.489
0.34,0.331,1,0.47,0.391,0.502
0.407,0.403,1,0.482,0.425,0.513
0.464,0.498,1,0.492,0.459,0.519
0.506,0.601,1,0.494,0.49,0.519
0.533,0.667,0.965,0.497,0.512,0.514
0.545,0.684,0.811,0.503,0.525,0.505
0.551,0.658,0.688,0.509,0.532,0.495
0.549,0.598,0.605,0.512,0.532,0.487
0.545,0.523,0.561,0.514,0.528,0.482
0.541,0.461,0.543,0.511,0.522,0.48
0.538,0.425,0.543,0.506,0.516,0.482
0.533,0.407,0.556,0.502,0.51,0.486
0.53,0.402,0.571,0.499,0.506,0.491
0.528,0.409,0.583,0.497,0.504,0.495
0.524,0.436,0.589,0.495,0.503,0.499
0.52,0.458,0.59,0.496,0.503,0.502
0.517,0.479,0.59,0.497,0.503,0.503
0.516,0.494,0.59,0.498,0.503,0.503
0.516,0.507,0.59,0.498,0.503,0.503
0.516,0.509,0.591,0.499,0.502,0.502
0.516,0.511,0.593,0.499,0.502,0.5
0.515,0.503,0.594,0.5,0.501,0.499
0.514,0.496,0.598,0.501,0.501,0.498

0.586,0.659,0.119,0.457,0.506,0.496
0.608,0.716,0.013,0.478,0.484,0.49
0.589,0.722,0,0.506,0.455,0.48
0.526,0.678,0.003,0.522,0.422,0.468
0.426,0.609,0.121,0.518,0.39,0.457
0.309,0.553,0.288,0.499,0.364,0.451
0.206,0.51,0.475,0.478,0.345,0.449
0.137,0.454,0.695,0.466,0.333,0.451
0.124,0.34,0.969,0.464,0.332,0.456
0.17,0.238,1,0.466,0.345,0.466
0.265,0.185,1,0.47,0.375,0.481
0.351,0.235,1,0.472,0.415,0.497
0.423,0.325,1,0.479,0.458,0.512
0.471,0.48,1,0.484,0.497,0.522
0.508,0.596,0.999,0.492,0.525,0.523
0.529,0.662,0.833,0.5,0.542,0.517
0.538,0.665,0.697,0.506,0.55,0.508
0.54,0.634,0.601,0.507,0.55,0.498
0.543,0.576,0.537,0.508,0.545,0.49
0.546,0.506,0.503,0.509,0.537,0.485
0.548,0.445,0.491,0.507,0.527,0.483
0.546,0.423,0.494,0.503,0.518,0.485
0.545,0.408,0.507,0.5,0.51,0.489
0.54,0.408,0.526,0.498,0.504,0.493
0.532,0.415,0.548,0.496,0.499,0.496
0.525,0.427,0.568,0.494,0.497,0.499
0.517,0.443,0.583,0.493,0.496,0.502
0.512,0.457,0.595,0.494,0.496,0.504
0.511,0.471,0.602,0.494,0.496,0.505
0.509,0.489,0.605,0.495,0.497,0.505

0.591,0.667,0.142,0.464,0.505,0.491
0.605,0.691,0.062,0.48,0.485,0.484
0.591,0.675,0.01,0.501,0.46,0.476
0.542,0.642,0.008,0.513,0.431,0.467
0.458,0.587,0.084,0.509,0.401,0.459
0.348,0.53,0.221,0.493,0.373,0.454
0.244,0.492,0.404,0.473,0.351,0.453
0.164,0.418,0.642,0.465,0.336,0.456
0.144,0.294,0.922,0.469,0.333,0.464
0.19,0.197,1,0.472,0.345,0.477
0.281,0.194,1,0.469,0.371,0.492
0.357,0.265,1,0.462,0.407,0.508
0.422,0.385,1,0.461,0.446,0.522
0.47,0.542,1,0.465,0.482,0.529
0.506,0.659,1,0.479,0.51,0.528
0.528,0.718,0.87,0.495,0.528,0.52
0.538,0.722,0.74,0.506,0.538,0.508
0.542,0.675,0.645,0.513,0.541,0.495
0.543,0.601,0.586,0.515,0.538,0.486
0.543,0.522,0.555,0.514,0.533,0.48
0.546,0.452,0.538,0.51,0.526,0.478
0.547,0.421,0.532,0.504,0.518,0.48
0.545,0.4,0.535,0.501,0.512,0.484
0.542,0.399,0.546,0.499,0.506,0.489
0.537,0.41,0.559,0.497,0.503,0.494
0.532,0.425,0.57,0.496,0.501,0.498
0.529,0.443,0.579,0.496,0.499,0.501
0.526,0.461,0.584,0.496,0.499,0.503
0.524,0.475,0.588,0.497,0.499,0.504
0.523,0.485,0.589,0.497,0.499,0.504

0.552,0.534,0.046,0.498,0.465,0.486
0.526,0.52,0.041,0.503,0.439,0.485
0.473,0.538,0.065,0.495,0.413,0.483
0.392,0.565,0.135,0.481,0.387,0.481
0.302,0.553,0.279,0.47,0.362,0.48
0.221,0.502,0.504,0.464,0.343,0.479
0.181,0.389,0.811,0.463,0.334,0.483
0.184,0.291,1,0.461,0.342,0.492
0.258,0.318,1,0.457,0.366,0.505
0.355,0.427,1,0.46,0.399,0.518
0.42,0.521,1,0.474,0.433,0.526
0.475,0.621,1,0.483,0.464,0.527
0.514,0.7,1,0.488,0.49,0.522
0.537,0.724,0.924,0.493,0.508,0.512
0.547,0.7,0.803,0.5,0.519,0.501
0.547,0.65,0.713,0.503,0.523,0.492
0.545,0.594,0.656,0.503,0.523,0.485
0.543,0.526,0.624,0.505,0.52,0.481
0.543,0.47,0.61,0.505,0.516,0.481
0.542,0.432,0.604,0.503,0.512,0.483
0.54,0.414,0.601,0.501,0.509,0.487
0.537,0.416,0.598,0.498,0.507,0.492
0.535,0.423,0.593,0.497,0.506,0.497
0.532,0.446,0.585,0.496,0.506,0.5
0.528,0.46,0.579,0.497,0.505,0.503
0.525,0.477,0.574,0.498,0.504,0.505
0.523,0.493,0.572,0.498,0.503,0.505
0.523,0.505,0.572,0.499,0.502,0.505
0.521,0.515,0.58,0.5,0.5,0.504
0.519,0.516,0.591,0.501,0.499,0.503

0.586,0.616,0.107,0.498,0.508,0.489
0.599,0.619,0.049,0.517,0.486,0.484
0.582,0.591,0.028,0.531,0.46,0.479
0.535,0.575,0.043,0.527,0.432,0.472
0.459,0.578,0.081,0.508,0.404,0.466
0.357,0.569,0.169,0.487,0.377,0.463
0.244,0.524,0.341,0.471,0.352,0.46
