aX,aY,aZ,gX,gY,gZ
0.592,0.183,0.647,0.556,0.503,0.489
0.586,0.037,0.636,0.59,0.507,0.504
0.576,0,0.617,0.612,0.511,0.526
0.536,0,0.626,0.604,0.51,0.553
0.46,0,0.66,0.576,0.506,0.583
0.352,0,0.664,0.534,0.502,0.613
0.227,0,0.615,0.489,0.503,0.641
0.14,0.193,0.541,0.456,0.505,0.663
0.13,0.482,0.472,0.447,0.508,0.677
0.19,0.742,0.417,0.46,0.508,0.68
0.292,0.978,0.386,0.481,0.503,0.67
0.402,1,0.408,0.497,0.495,0.647
0.485,1,0.481,0.501,0.487,0.613
0.518,1,0.576,0.502,0.481,0.574
0.512,1,0.658,0.506,0.481,0.537
0.497,0.985,0.713,0.512,0.486,0.505
0.48,0.835,0.747,0.513,0.493,0.482
0.47,0.701,0.755,0.513,0.501,0.467
0.473,0.582,0.746,0.512,0.51,0.46
0.484,0.512,0.715,0.508,0.517,0.458
0.504,0.477,0.661,0.506,0.523,0.459
0.532,0.447,0.597,0.509,0.527,0.462
0.558,0.428,0.538,0.511,0.528,0.466
0.579,0.419,0.49,0.509,0.526,0.469
0.594,0.411,0.46,0.505,0.521,0.472
0.603,0.398,0.45,0.503,0.515,0.475
0.605,0.385,0.457,0.499,0.508,0.478
0.604,0.378,0.476,0.496,0.502,0.482
0.602,0.378,0.5,0.492,0.497,0.486
0.597,0.384,0.527,0.49,0.493,0.491

0.57,0.229,0.604,0.52,0.495,0.494
0.589,0.156,0.599,0.536,0.498,0.503
0.593,0.012,0.57,0.561,0.501,0.517
0.576,0,0.525,0.581,0.502,0.537
0.518,0,0.518,0.578,0.498,0.563
0.425,0,0.571,0.561,0.49,0.594
0.301,0,0.649,0.538,0.483,0.625
0.152,0,0.688,0.506,0.481,0.655
0.043,0.097,0.668,0.471,0.486,0.679
0.019,0.41,0.601,0.446,0.495,0.694
0.084,0.719,0.5,0.441,0.503,0.696
0.208,0.992,0.422,0.457,0.507,0.683
0.355,1,0.414,0.49,0.502,0.658
0.462,1,0.475,0.512,0.492,0.624
0.51,1,0.565,0.516,0.485,0.583
0.517,1,0.645,0.521,0.483,0.543
0.504,1,0.715,0.525,0.486,0.509
0.485,0.846,0.764,0.523,0.492,0.483
0.478,0.679,0.774,0.519,0.5,0.469
0.488,0.553,0.744,0.516,0.508,0.463
0.51,0.472,0.689,0.514,0.516,0.464
0.537,0.436,0.619,0.509,0.521,0.468
0.564,0.429,0.545,0.505,0.522,0.472
0.585,0.424,0.482,0.503,0.52,0.476
0.602,0.407,0.447,0.502,0.516,0.479
0.61,0.385,0.443,0.5,0.509,0.482
0.61,0.366,0.462,0.496,0.502,0.485
0.605,0.354,0.494,0.492,0.496,0.489
0.599,0.356,0.534,0.49,0.492,0.494
0.594,0.364,0.573,0.49,0.49,0.499

0.622,0.12,0.592,0.548,0.493,0.494
0.601,0,0.538,0.58,0.498,0.511
0.582,0,0.477,0.593,0.498,0.537
0.502,0,0.469,0.565,0.491,0.568
0.39,0,0.505,0.525,0.48,0.603
0.205,0,0.553,0.492,0.472,0.64
0.021,0,0.556,0.463,0.471,0.674
0,0.233,0.542,0.443,0.475,0.7
0,0.565,0.523,0.445,0.481,0.714
0.018,0.881,0.502,0.466,0.483,0.712
0.216,1,0.479,0.489,0.481,0.693
0.355,1,0.511,0.511,0.476,0.658
0.445,1,0.593,0.522,0.469,0.616
0.483,1,0.666,0.516,0.467,0.576
0.487,1,0.716,0.508,0.47,0.541
0.469,0.985,0.776,0.509,0.476,0.511
0.449,0.802,0.837,0.514,0.484,0.49
0.441,0.656,0.868,0.516,0.495,0.478
0.454,0.566,0.849,0.515,0.507,0.474
0.482,0.538,0.784,0.514,0.518,0.475
0.517,0.533,0.692,0.515,0.527,0.477
0.548,0.524,0.602,0.516,0.531,0.477
0.573,0.513,0.527,0.513,0.531,0.477
0.59,0.495,0.479,0.509,0.527,0.476
0.598,0.466,0.46,0.506,0.52,0.476
0.599,0.432,0.467,0.502,0.513,0.477
0.596,0.398,0.494,0.499,0.506,0.479
0.59,0.373,0.528,0.497,0.501,0.482
0.586,0.357,0.561,0.495,0.498,0.487
0.583,0.352,0.586,0.496,0.497,0.493

0.542,0,0.552,0.571,0.505,0.549
0.496,0,0.532,0.56,0.501,0.573
0.41,0,0.541,0.537,0.495,0.601
0.289,0,0.559,0.515,0.489,0.63
0.151,0.009,0.578,0.496,0.486,0.657
0.023,0.174,0.617,0.488,0.484,0.679
0.027,0.442,0.633,0.486,0.485,0.693
0.118,0.702,0.6,0.485,0.487,0.694
0.241,0.973,0.559,0.488,0.49,0.681
0.376,1,0.55,0.5,0.489,0.655
0.47,1,0.578,0.506,0.487,0.621
0.505,1,0.625,0.503,0.486,0.584
0.505,1,0.675,0.507,0.487,0.549
0.489,0.964,0.728,0.516,0.491,0.521
0.469,0.819,0.775,0.519,0.496,0.5
0.463,0.692,0.785,0.518,0.503,0.488
0.476,0.614,0.748,0.516,0.511,0.483
0.499,0.579,0.685,0.512,0.518,0.482
0.523,0.563,0.617,0.509,0.521,0.482
0.545,0.558,0.556,0.505,0.521,0.482
0.562,0.549,0.512,0.503,0.519,0.481
0.574,0.527,0.488,0.502,0.514,0.479
0.581,0.494,0.483,0.502,0.509,0.478
0.583,0.456,0.492,0.501,0.503,0.478
0.584,0.422,0.512,0.499,0.499,0.479
0.583,0.391,0.543,0.498,0.495,0.482
0.582,0.371,0.575,0.496,0.493,0.486
0.582,0.37,0.6,0.494,0.492,0.492
0.584,0.386,0.613,0.493,0.493,0.497
0.587,0.411,0.615,0.493,0.496,0.501

0.572,0,0.604,0.603,0.501,0.531
0.532,0,0.567,0.606,0.501,0.553
0.47,0,0.565,0.582,0.495,0.579
0.376,0,0.583,0.54,0.487,0.607
0.244,0,0.597,0.498,0.482,0.635
0.108,0.039,0.594,0.472,0.482,0.661
0.038,0.284,0.572,0.461,0.486,0.681
0.09,0.56,0.54,0.473,0.49,0.691
0.164,0.755,0.522,0.5,0.489,0.689
0.258,0.923,0.548,0.519,0.484,0.673
0.367,1,0.602,0.526,0.478,0.65
0.459,1,0.658,0.512,0.475,0.618
0.508,1,0.703,0.5,0.477,0.582
0.512,1,0.729,0.499,0.482,0.546
0.494,0.995,0.752,0.506,0.489,0.515
0.473,0.815,0.785,0.516,0.496,0.492
0.46,0.646,0.805,0.52,0.504,0.478
0.466,0.545,0.79,0.518,0.513,0.474
0.486,0.5,0.741,0.516,0.521,0.476
0.514,0.492,0.671,0.514,0.527,0.48
0.542,0.502,0.598,0.511,0.53,0.483
0.564,0.512,0.538,0.508,0.529,0.484
0.58,0.508,0.5,0.506,0.525,0.484
0.59,0.495,0.483,0.503,0.52,0.484
0.594,0.474,0.484,0.502,0.514,0.484
0.594,0.449,0.496,0.501,0.509,0.484
0.591,0.426,0.516,0.5,0.504,0.486
0.587,0.407,0.537,0.499,0.501,0.488
0.584,0.395,0.558,0.497,0.499,0.492
0.581,0.396,0.576,0.496,0.498,0.496

0.587,0.065,0.581,0.573,0.503,0.521
0.569,0,0.548,0.573,0.502,0.539
0.52,0,0.529,0.559,0.498,0.561
0.449,0,0.533,0.535,0.49,0.586
0.357,0,0.558,0.509,0.483,0.611
0.259,0.053,0.585,0.489,0.479,0.634
0.184,0.212,0.595,0.477,0.48,0.653
0.184,0.441,0.583,0.474,0.483,0.664
0.242,0.687,0.552,0.477,0.485,0.666
0.334,0.937,0.533,0.478,0.486,0.655
0.432,1,0.553,0.489,0.485,0.632
0.496,1,0.614,0.499,0.483,0.6
0.517,1,0.683,0.503,0.483,0.567
0.515,0.98,0.727,0.504,0.487,0.537
