aX,aY,aZ,gX,gY,gZ
0.506,1,0.519,0.412,0.483,0.543
0.55,1,0.432,0.391,0.48,0.52
0.527,1,0.363,0.387,0.469,0.48
0.392,1,0.374,0.401,0.453,0.43
0.181,1,0.471,0.435,0.438,0.38
0,1,0.609,0.482,0.43,0.337
0,1,0.775,0.537,0.434,0.302
0,0.762,0.864,0.61,0.456,0.277
0,0.301,0.729,0.663,0.496,0.262
0,0,0.428,0.658,0.534,0.269
0.239,0,0.185,0.611,0.543,0.302
0.452,0,0.16,0.532,0.523,0.352
0.533,0,0.33,0.474,0.495,0.405
0.546,0,0.526,0.471,0.479,0.454
0.546,0,0.646,0.48,0.479,0.493
0.527,0,0.7,0.479,0.485,0.521
0.493,0.117,0.717,0.471,0.492,0.54
0.475,0.267,0.706,0.464,0.499,0.552
0.469,0.42,0.683,0.46,0.504,0.558
0.481,0.542,0.656,0.46,0.509,0.558
0.505,0.633,0.628,0.462,0.511,0.553
0.515,0.711,0.614,0.468,0.512,0.545
0.533,0.709,0.61,0.479,0.511,0.534
0.548,0.694,0.607,0.489,0.511,0.523
0.556,0.679,0.604,0.494,0.51,0.513
0.56,0.637,0.599,0.5,0.509,0.505
0.562,0.604,0.594,0.504,0.508,0.5
0.559,0.567,0.589,0.507,0.508,0.497
0.556,0.545,0.585,0.508,0.507,0.495
0.552,0.526,0.581,0.507,0.506,0.494

0.552,0.94,0.586,0.429,0.488,0.483
0.53,1,0.554,0.411,0.484,0.461
0.461,1,0.544,0.406,0.476,0.434
0.357,1,0.574,0.408,0.466,0.404
0.223,1,0.662,0.424,0.458,0.376
0.08,1,0.784,0.463,0.455,0.351
0,0.93,0.879,0.515,0.464,0.328
0,0.642,0.853,0.57,0.485,0.307
0.01,0.237,0.666,0.601,0.514,0.295
0.207,0,0.38,0.599,0.533,0.307
0.451,0,0.198,0.562,0.529,0.344
0.567,0,0.267,0.495,0.504,0.394
0.574,0,0.496,0.452,0.481,0.445
0.551,0,0.681,0.45,0.474,0.489
0.527,0.07,0.749,0.459,0.482,0.518
0.513,0.231,0.745,0.467,0.493,0.535
0.495,0.346,0.714,0.475,0.501,0.543
0.496,0.453,0.68,0.477,0.506,0.546
0.507,0.556,0.652,0.474,0.509,0.544
0.52,0.639,0.629,0.472,0.51,0.538
0.533,0.687,0.614,0.475,0.509,0.529
0.544,0.691,0.605,0.484,0.508,0.519
0.553,0.669,0.597,0.494,0.508,0.509
0.558,0.628,0.588,0.503,0.507,0.501
0.562,0.587,0.578,0.51,0.506,0.496
0.562,0.545,0.572,0.515,0.505,0.492
0.559,0.51,0.571,0.516,0.504,0.491
0.556,0.483,0.574,0.515,0.502,0.492
0.552,0.471,0.579,0.512,0.501,0.493
0.548,0.469,0.582,0.509,0.5,0.495

0.467,1,0.497,0.396,0.464,0.443
0.37,1,0.558,0.404,0.452,0.416
0.237,1,0.69,0.429,0.444,0.388
0.09,1,0.859,0.472,0.446,0.36
0,0.991,0.982,0.531,0.461,0.332
0,0.624,0.921,0.592,0.492,0.307
0.054,0.181,0.686,0.613,0.526,0.297
0.275,0,0.37,0.592,0.544,0.313
0.493,0,0.209,0.534,0.534,0.352
0.577,0,0.314,0.472,0.507,0.401
0.571,0,0.528,0.448,0.487,0.448
0.549,0,0.669,0.458,0.484,0.486
0.538,0.067,0.707,0.469,0.491,0.511
0.532,0.192,0.699,0.475,0.5,0.526
0.52,0.278,0.67,0.481,0.506,0.535
0.515,0.371,0.641,0.48,0.509,0.539
0.525,0.486,0.623,0.474,0.51,0.541
0.533,0.58,0.613,0.471,0.51,0.538
0.544,0.635,0.606,0.475,0.509,0.532
0.553,0.654,0.602,0.484,0.509,0.524
0.562,0.643,0.6,0.493,0.508,0.516
0.568,0.618,0.596,0.5,0.508,0.508
0.571,0.585,0.592,0.505,0.507,0.503
0.572,0.556,0.59,0.509,0.507,0.5
0.567,0.532,0.589,0.51,0.506,0.498
0.562,0.515,0.589,0.509,0.506,0.498
0.558,0.509,0.586,0.506,0.505,0.497
0.554,0.51,0.579,0.503,0.504,0.498
0.552,0.513,0.571,0.501,0.504,0.497
0.552,0.515,0.565,0.5,0.503,0.497

0.542,0.999,0.524,0.416,0.473,0.463
0.442,1,0.521,0.43,0.463,0.435
0.335,1,0.591,0.45,0.454,0.403
0.2,1,0.691,0.474,0.45,0.373
0.086,0.943,0.802,0.497,0.453,0.348
0.002,0.842,0.902,0.522,0.464,0.329
0,0.623,0.895,0.548,0.484,0.312
0.053,0.352,0.755,0.562,0.509,0.302
0.17,0.004,0.527,0.573,0.527,0.31
0.394,0,0.296,0.566,0.532,0.339
0.536,0,0.234,0.522,0.517,0.382
0.578,0,0.363,0.48,0.494,0.428
0.564,0,0.547,0.461,0.479,0.469
0.54,0.018,0.671,0.462,0.478,0.501
0.515,0.17,0.71,0.468,0.485,0.521
0.501,0.304,0.706,0.471,0.493,0.533
0.504,0.425,0.679,0.471,0.499,0.538
0.514,0.529,0.647,0.47,0.503,0.537
0.523,0.599,0.624,0.472,0.505,0.533
0.532,0.639,0.611,0.476,0.505,0.525
0.541,0.647,0.609,0.483,0.504,0.516
0.548,0.623,0.61,0.492,0.503,0.508
0.555,0.586,0.612,0.5,0.502,0.501
0.559,0.549,0.611,0.506,0.502,0.496
0.56,0.516,0.611,0.509,0.502,0.494
0.559,0.494,0.614,0.51,0.501,0.494
0.557,0.481,0.618,0.508,0.501,0.494
0.553,0.481,0.622,0.506,0.501,0.496
0.549,0.483,0.625,0.503,0.501,0.497
0.545,0.491,0.623,0.501,0.501,0.498

0.455,1,0.557,0.421,0.476,0.433
0.339,1,0.578,0.422,0.468,0.403
0.204,1,0.64,0.435,0.46,0.372
0.05,1,0.772,0.456,0.456,0.343
0,0.977,0.958,0.489,0.459,0.317
0,0.753,1,0.535,0.477,0.297
0,0.398,0.871,0.568,0.508,0.283
0.048,0.004,0.543,0.577,0.535,0.286
0.327,0,0.199,0.571,0.542,0.317
0.516,0,0.103,0.527,0.523,0.364
0.562,0,0.257,0.477,0.495,0.414
0.554,0,0.471,0.462,0.476,0.458
0.528,0.002,0.62,0.473,0.472,0.492
0.509,0.16,0.692,0.482,0.477,0.512
0.496,0.302,0.722,0.487,0.485,0.524
0.495,0.422,0.724,0.488,0.491,0.528
0.502,0.523,0.706,0.488,0.497,0.527
0.518,0.582,0.675,0.491,0.501,0.522
0.533,0.604,0.642,0.494,0.504,0.515
0.545,0.597,0.618,0.498,0.504,0.507
0.553,0.576,0.605,0.502,0.503,0.501
0.56,0.552,0.599,0.507,0.502,0.496
0.565,0.523,0.6,0.512,0.5,0.493
0.564,0.504,0.607,0.515,0.499,0.492
0.562,0.484,0.619,0.515,0.499,0.492
0.555,0.467,0.627,0.513,0.499,0.492
0.549,0.466,0.631,0.506,0.499,0.493
0.545,0.468,0.628,0.5,0.5,0.495
0.544,0.479,0.618,0.493,0.501,0.496
0.544,0.496,0.605,0.488,0.501,0.496

0.529,0.896,0.646,0.465,0.482,0.5
0.532,1,0.611,0.436,0.482,0.481
0.492,1,0.576,0.418,0.48,0.454
0.407,1,0.576,0.418,0.474,0.424
0.281,1,0.624,0.436,0.467,0.392
0.141,1,0.702,0.47,0.464,0.362
0.009,0.978,0.792,0.514,0.47,0.334
0,0.856,0.838,0.56,0.486,0.312
0,0.48,0.713,0.603,0.513,0.294
0.032,0.195,0.48,0.595,0.538,0.287
0.202,0,0.212,0.576,0.542,0.304
0.443,0,0.094,0.544,0.524,0.344
0.52,0,0.23,0.485,0.493,0.39
0.532,0,0.467,0.461,0.47,0.434
0.525,0,0.655,0.469,0.464,0.472
0.506,0.043,0.752,0.479,0.471,0.498
0.503,0.156,0.779,0.483,0.482,0.515
0.495,0.252,0.773,0.482,0.492,0.526
0.496,0.347,0.75,0.474,0.499,0.532
0.504,0.433,0.717,0.467,0.505,0.535
0.518,0.508,0.676,0.463,0.51,0.534
0.533,0.569,0.636,0.465,0.512,0.53
0.545,0.603,0.606,0.473,0.512,0.525
0.554,0.609,0.59,0.484,0.511,0.518
0.56,0.603,0.586,0.495,0.508,0.511
0.56,0.584,0.594,0.503,0.506,0.505
0.558,0.555,0.604,0.51,0.504,0.5
0.555,0.527,0.612,0.514,0.503,0.497
0.551,0.506,0.615,0.514,0.503,0.495
0.548,0.491,0.614,0.513,0.504,0.495

0.539,0.832,0.624,0.463,0.491,0.49
0.526,0.961,0.583,0.433,0.49,0.473
0.498,1,0.559,0.421,0.485,0.452
0.429,1,0.568,0.429,0.477,0.428
0.339,1,0.604,0.446,0.47,0.403
0.238,0.992,0.66,0.467,0.467,0.379
0.141,0.923,0.726,0.49,0.467,0.357
0.061,0.86,0.782,0.511,0.474,0.337
0.044,0.671,0.767,0.536,0.486,0.32
0.084,0.44,0.686,0.547,0.502,0.308
0.144,0.149,0.547,0.553,0.514,0.31
0.314,0,0.382,0.563,0.517,0.332
0.461,0,0.309,0.545,0.509,0.367
0.534,0,0.37,0.511,0.494,0.406
0.548,0,0.494,0.487,0.482,0.445
0.536,0,0.602,0.477,0.478,0.478
0.518,0.071,0.67,0.476,0.481,0.502
0.509,0.195,0.699,0.476,0.486,0.518
0.502,0.31,0.71,0.475,0.492,0.529
0.497,0.414,0.714,0.473,0.497,0.534
0.498,0.491,0.704,0.474,0.502,0.534
0.511,0.552,0.68,0.475,0.506,0.531
0.525,0.587,0.649,0.479,0.509,0.526
0.535,0.596,0.619,0.486,0.51,0.519
0.546,0.59,0.595,0.493,0.509,0.513
0.554,0.579,0.581,0.5,0.507,0.508
0.556,0.562,0.576,0.505,0.505,0.504
0.556,0.541,0.579,0.51,0.502,0.501
0.554,0.522,0.587,0.512,0.5,0.499
0.549,0.508,0.598,0.511,0.499,0.498

0.545,0.995,0.559,0.437,0.485,0.46
0.459,1,0.543,0.425,0.477,0.434
0.36,1,0.558,0.425,0.468,0.407
0.237,1,0.614,0.443,0.461,0.38
0.101,1,0.717,0.477,0.457,0.354
0,0.92,0.848,0.524,0.463,0.329
0,0.643,0.875,0.575,0.482,0.309
0.033,0.27,0.73,0.598,0.51,0.298
0.164,0,0.499,0.588,0.53,0.308
0.405,0,0.313,0.558,0.53,0.342
0.532,0,0.321,0.502,0.513,0.385
0.573,0,0.468,0.469,0.493,0.431
0.563,0,0.598,0.468,0.485,0.469
0.536,0.045,0.657,0.479,0.488,0.498
0.517,0.174,0.666,0.485,0.494,0.516
0.501,0.282,0.664,0.485,0.499,0.528
0.496,0.382,0.659,0.48,0.503,0.534
0.5,0.471,0.651,0.476,0.505,0.536
0.51,0.539,0.637,0.473,0.507,0.534
0.522,0.59,0.622,0.473,0.509,0.53
0.532,0.611,0.606,0.478,0.509,0.523
0.542,0.611,0.592,0.486,0.509,0.517
0.551,0.596,0.581,0.495,0.508,0.51
0.557,0.574,0.577,0.503,0.506,0.505
0.559,0.55,0.58,0.508,0.504,0.501
0.557,0.526,0.588,0.512,0.503,0.499
0.555,0.506,0.598,0.513,0.502,0.498
0.553,0.495,0.609,0.511,0.501,0.498
0.551,0.49,0.619,0.507,0.501,0.498
0.55,0.487,0.623,0.504,0.501,0.498

0.511,0.751,0.622,0.468,0.488,0.523
0.522,0.882,0.604,0.451,0.488,0.513
0.536,1,0.572,0.433,0.487,0.497
0.508,1,0.549,0.424,0.482,0.471
0.418,1,0.564,0.433,0.475,0.436
0.288,1,0.625,0.453,0.468,0.397
0.132,1,0.723,0.477,0.465,0.361
0.001,1,0.831,0.502,0.47,0.332
0,0.91,0.926,0.532,0.483,0.31
0,0.6,0.869,0.566,0.507,0.293
0,0.269,0.652,0.573,0.535,0.283
0.143,0,0.332,0.567,0.548,0.298
0.41,0,0.132,0.548,0.538,0.336
0.518,0,0.198,0.503,0.512,0.383
0.542,0,0.407,0.476,0.488,0.429
0.533,0,0.585,0.475,0.479,0.468
0.513,0.003,0.677,0.485,0.482,0.496
0.507,0.13,0.712,0.487,0.49,0.515
0.497,0.235,0.714,0.486,0.497,0.526
0.489,0.323,0.697,0.48,0.503,0.533
0.498,0.409,0.671,0.475,0.508,0.536
0.512,0.487,0.641,0.472,0.51,0.536
0.523,0.544,0.615,0.472,0.512,0.534
0.536,0.583,0.594,0.477,0.512,0.529
0.549,0.598,0.578,0.486,0.511,0.523
0.558,0.601,0.569,0.495,0.509,0.517
0.563,0.587,0.569,0.504,0.506,0.511
0.563,0.573,0.577,0.51,0.504,0.506
0.559,0.557,0.591,0.513,0.502,0.502
0.555,0.535,0.606,0.515,0.5,0.499

0.541,0.847,0.54,0.482,0.488,0.515
0.555,0.96,0.502,0.467,0.485,0.5
0.544,1,0.47,0.451,0.479,0.479
0.49,1,0.469,0.441,0.469,0.452
0.396,1,0.508,0.439,0.459,0.423
0.281,1,0.584,0.451,0.45,0.396
0.168,1,0.674,0.476,0.447,0.372
0.068,0.973,0.766,0.507,0.451,0.35
0.001,0.881,0.838,0.542,0.462,0.33
0.016,0.608,0.809,0.573,0.482,0.312
0.072,0.31,0.699,0.572,0.503,0.301
0.2,0,0.528,0.56,0.515,0.311
0.393,0,0.395,0.539,0.514,0.341
0.503,0,0.406,0.5,0.502,0.381
0.545,0,0.525,0.479,0.488,0.424
0.546,0,0.635,0.474,0.484,0.462
0.53,0,0.683,0.477,0.488,0.491
0.52,0.12,0.688,0.479,0.495,0.512
0.513,0.233,0.674,0.478,0.501,0.525
0.503,0.329,0.661,0.477,0.504,0.533
0.506,0.424,0.652,0.475,0.507,0.537
0.512,0.506,0.64,0.474,0.509,0.537
0.522,0.571,0.624,0.476,0.51,0.534
0.533,0.603,0.607,0.481,0.51,0.528
0.544,0.614,0.591,0.49,0.51,0.522
0.553,0.606,0.58,0.499,0.508,0.515
0.56,0.59,0.576,0.505,0.507,0.51
0.559,0.572,0.579,0.51,0.504,0.506
0.557,0.556,0.586,0.512,0.502,0.503
0.555,0.543,0.593,0.512,0.501,0.5

0.545,1,0.531,0.469,0.489,0.52
0.545,1,0.481,0.448,0.484,0.494
0.489,1,0.462,0.448,0.476,0.458
0.384,1,0.484,0.463,0.467,0.418
0.237,1,0.533,0.482,0.461,0.378
0.089,1,0.592,0.502,0.459,0.345
0,0.863,0.695,0.526,0.46,0.321
0,0.665,0.821,0.546,0.468,0.304
0,0.375,0.867,0.558,0.484,0.296
0.079,0.056,0.775,0.554,0.504,0.303
0.273,0,0.603,0.539,0.517,0.326
0.447,0,0.479,0.52,0.518,0.363
0.556,0,0.463,0.495,0.51,0.406
0.585,0,0.523,0.472,0.501,0.448
0.574,0,0.59,0.465,0.497,0.483
0.545,0.017,0.629,0.465,0.498,0.509
0.526,0.168,0.637,0.466,0.501,0.527
0.514,0.298,0.63,0.467,0.504,0.537
0.517,0.413,0.619,0.468,0.506,0.542
0.523,0.508,0.61,0.468,0.507,0.542
0.532,0.585,0.606,0.468,0.507,0.538
0.543,0.629,0.608,0.474,0.507,0.531
0.55,0.646,0.611,0.483,0.506,0.524
0.557,0.64,0.61,0.493,0.506,0.516
0.56,0.624,0.606,0.5,0.507,0.509
0.562,0.6,0.598,0.506,0.507,0.503
0.561,0.573,0.592,0.509,0.506,0.499
0.56,0.551,0.59,0.509,0.506,0.497
0.556,0.533,0.592,0.507,0.505,0.495
0.555,0.524,0.595,0.504,0.503,0.494

0.543,0.981,0.522,0.486,0.487,0.513
0.547,1,0.476,0.475,0.483,0.492
0.513,1,0.446,0.461,0.476,0.463
0.431,1,0.46,0.457,0.466,0.431
0.317,1,0.503,0.46,0.456,0.4
0.186,1,0.56,0.464,0.449,0.372
0.057,0.993,0.633,0.471,0.445,0.347
0,0.934,0.753,0.487,0.444,0.325
0,0.854,0.913,0.518,0.45,0.308
0,0.576,0.95,0.562,0.47,0.293
0,0.19,0.781,0.588,0.501,0.285
0.136,0,0.519,0.59,0.524,0.299
0.406,0,0.308,0.565,0.528,0.337
0.531,0,0.308,0.505,0.511,0.387
0.559,0,0.466,0.472,0.491,0.436
0.54,0,0.609,0.474,0.483,0.478
0.508,0,0.678,0.484,0.487,0.508
0.488,0.079,0.689,0.488,0.495,0.529
0.471,0.196,0.682,0.487,0.501,0.543
0.466,0.321,0.667,0.478,0.505,0.551
0.48,0.444,0.647,0.469,0.508,0.554
0.498,0.54,0.625,0.466,0.51,0.553
0.513,0.61,0.608,0.469,0.511,0.549
0.528,0.652,0.6,0.476,0.511,0.542
0.54,0.674,0.6,0.485,0.51,0.533
0.549,0.667,0.604,0.494,0.509,0.525
0.556,0.652,0.608,0.499,0.508,0.516
0.558,0.632,0.608,0.502,0.508,0.509
0.56,0.604,0.602,0.504,0.507,0.504
0.561,0.577,0.597,0.504,0.506,0.5

0.532,0.892,0.584,0.457,0.489,0.51
0.533,1,0.563,0.446,0.487,0.494
0.52,1,0.547,0.449,0.483,0.471
0.469,1,0.545,0.451,0.477,0.443
0.382,1,0.566,0.451,0.47,0.413
0.276,1,0.61,0.455,0.464,0.384
0.159,0.98,0.665,0.466,0.461,0.358
0.057,0.911,0.743,0.489,0.461,0.337
0,0.808,0.831,0.529,0.469,0.321
0.005,0.547,0.832,0.575,0.488,0.308
0.084,0.212,0.67,0.601,0.515,0.303
0.227,0,0.421,0.607,0.532,0.319
0.462,0,0.242,0.581,0.532,0.355
0.566,0,0.253,0.514,0.513,0.398
0.578,0,0.42,0.466,0.491,0.442
0.559,0,0.578,0.456,0.48,0.48
0.529,0.061,0.652,0.466,0.482,0.507
0.518,0.204,0.667,0.476,0.489,0.524
0.507,0.319,0.662,0.483,0.496,0.534
0.504,0.415,0.652,0.485,0.5,0.538
0.512,0.502,0.638,0.486,0.502,0.538
0.525,0.569,0.624,0.487,0.504,0.535
0.535,0.611,0.613,0.488,0.504,0.528
0.545,0.629,0.608,0.492,0.504,0.521
0.553,0.62,0.606,0.498,0.503,0.513
0.558,0.593,0.605,0.505,0.502,0.506
0.562,0.557,0.603,0.511,0.502,0.5
0.561,0.523,0.605,0.514,0.502,0.497
0.56,0.492,0.608,0.516,0.501,0.496
0.559,0.468,0.611,0.516,0.501,0.496

0.562,1,0.509,0.452,0.484,0.501
0.548,1,0.458,0.432,0.478,0.476
0.489,1,0.433,0.425,0.468,0.445
0.372,1,0.447,0.434,0.456,0.412
0.229,1,0.496,0.455,0.445,0.38
