aX,aY,aZ,gX,gY,gZ
0.422,0.656,0.673,0.493,0.476,0.533
0.429,0.646,0.681,0.498,0.479,0.527
0.431,0.639,0.685,0.5,0.481,0.521
0.431,0.636,0.685,0.499,0.484,0.515
0.433,0.639,0.683,0.498,0.487,0.509
0.433,0.64,0.682,0.498,0.49,0.504
0.432,0.642,0.684,0.499,0.492,0.499
0.431,0.643,0.686,0.501,0.495,0.493
0.431,0.641,0.685,0.504,0.498,0.488
0.432,0.642,0.683,0.505,0.5,0.482
0.433,0.634,0.678,0.506,0.503,0.477
0.43,0.625,0.672,0.507,0.506,0.471
0.431,0.613,0.665,0.506,0.508,0.466
0.428,0.607,0.66,0.505,0.51,0.461
0.425,0.601,0.656,0.504,0.511,0.457
0.425,0.593,0.655,0.503,0.512,0.453
0.423,0.589,0.655,0.501,0.513,0.449
0.421,0.583,0.654,0.499,0.514,0.445
0.418,0.579,0.653,0.498,0.515,0.441
0.417,0.571,0.652,0.499,0.516,0.437
0.417,0.563,0.651,0.501,0.517,0.435
0.418,0.557,0.649,0.503,0.518,0.432
0.419,0.553,0.646,0.504,0.519,0.43
0.417,0.546,0.642,0.505,0.52,0.427
0.416,0.534,0.639,0.506,0.521,0.424
0.414,0.524,0.637,0.507,0.522,0.422
0.413,0.513,0.634,0.507,0.523,0.42
0.411,0.503,0.631,0.507,0.524,0.419
0.412,0.494,0.628,0.506,0.524,0.418
0.411,0.484,0.625,0.504,0.525,0.416

0.343,0.398,0.642,0.529,0.52,0.398
0.346,0.373,0.641,0.531,0.524,0.4
0.354,0.355,0.634,0.532,0.528,0.404
0.363,0.345,0.623,0.53,0.532,0.408
0.373,0.346,0.609,0.527,0.535,0.412
0.38,0.355,0.595,0.522,0.537,0.416
0.39,0.355,0.584,0.518,0.537,0.419
0.394,0.349,0.575,0.515,0.537,0.421
0.402,0.341,0.565,0.513,0.537,0.423
0.41,0.321,0.552,0.512,0.537,0.425
0.415,0.294,0.533,0.513,0.536,0.428
0.424,0.268,0.518,0.515,0.533,0.432
0.436,0.248,0.509,0.515,0.53,0.437
0.448,0.233,0.505,0.515,0.526,0.443
0.46,0.228,0.502,0.514,0.523,0.449
0.472,0.226,0.501,0.512,0.519,0.457
0.481,0.234,0.502,0.508,0.515,0.464
0.488,0.254,0.507,0.504,0.511,0.471
0.492,0.28,0.517,0.501,0.506,0.477
0.496,0.308,0.53,0.499,0.503,0.483
0.497,0.331,0.546,0.499,0.499,0.488
0.498,0.35,0.561,0.5,0.497,0.492
0.496,0.364,0.576,0.5,0.495,0.495
0.498,0.378,0.589,0.5,0.493,0.497
0.494,0.395,0.599,0.499,0.493,0.5
0.495,0.399,0.608,0.499,0.493,0.501
0.494,0.408,0.616,0.497,0.493,0.503
0.494,0.414,0.625,0.495,0.493,0.504
0.494,0.421,0.633,0.492,0.494,0.505
0.494,0.43,0.638,0.49,0.495,0.505

0.399,0.423,0.666,0.521,0.482,0.418
0.41,0.406,0.675,0.521,0.486,0.422
0.422,0.4,0.674,0.519,0.49,0.427
0.435,0.41,0.666,0.515,0.494,0.432
0.441,0.424,0.654,0.511,0.497,0.435
0.444,0.441,0.64,0.508,0.499,0.438
0.448,0.454,0.626,0.506,0.5,0.44
0.446,0.449,0.615,0.506,0.5,0.441
0.448,0.445,0.607,0.507,0.5,0.442
0.449,0.441,0.6,0.507,0.499,0.443
0.449,0.438,0.596,0.506,0.498,0.444
0.449,0.435,0.595,0.505,0.496,0.445
0.452,0.434,0.599,0.504,0.495,0.446
0.454,0.426,0.608,0.505,0.494,0.447
0.457,0.416,0.618,0.506,0.493,0.449
0.459,0.411,0.626,0.506,0.493,0.452
0.464,0.411,0.63,0.505,0.493,0.455
0.468,0.414,0.633,0.504,0.493,0.458
0.47,0.419,0.634,0.503,0.493,0.461
0.472,0.425,0.634,0.502,0.493,0.464
0.476,0.434,0.634,0.501,0.494,0.467
0.478,0.441,0.635,0.501,0.494,0.469
0.48,0.446,0.637,0.501,0.494,0.472
0.483,0.451,0.64,0.502,0.494,0.474
0.486,0.456,0.642,0.503,0.495,0.477
0.488,0.459,0.645,0.505,0.496,0.479
0.49,0.461,0.646,0.506,0.497,0.481
0.489,0.461,0.647,0.506,0.498,0.483
0.49,0.464,0.644,0.506,0.499,0.485
0.49,0.468,0.639,0.505,0.5,0.487

0.382,0.639,0.586,0.478,0.475,0.439
0.377,0.625,0.612,0.479,0.473,0.437
0.375,0.613,0.634,0.48,0.473,0.436
0.378,0.609,0.645,0.48,0.474,0.436
0.384,0.619,0.644,0.479,0.476,0.435
0.391,0.63,0.632,0.478,0.478,0.435
0.396,0.64,0.616,0.476,0.48,0.434
0.401,0.649,0.597,0.475,0.48,0.432
0.403,0.657,0.581,0.473,0.479,0.43
0.403,0.662,0.57,0.471,0.477,0.428
0.399,0.665,0.566,0.471,0.474,0.425
0.394,0.661,0.57,0.473,0.471,0.423
0.389,0.657,0.578,0.476,0.469,0.422
0.384,0.648,0.586,0.481,0.468,0.42
0.381,0.637,0.591,0.486,0.468,0.418
0.381,0.633,0.591,0.489,0.468,0.417
0.383,0.633,0.588,0.489,0.468,0.415
0.381,0.629,0.587,0.49,0.468,0.413
0.379,0.624,0.59,0.49,0.468,0.412
0.38,0.626,0.592,0.491,0.468,0.411
0.381,0.625,0.593,0.493,0.468,0.409
0.382,0.617,0.589,0.499,0.47,0.408
0.385,0.605,0.583,0.507,0.471,0.407
0.387,0.578,0.579,0.515,0.473,0.406
0.392,0.556,0.571,0.522,0.475,0.405
0.398,0.536,0.563,0.526,0.478,0.405
0.405,0.514,0.554,0.528,0.479,0.406
0.414,0.5,0.546,0.525,0.48,0.407
0.423,0.489,0.544,0.519,0.48,0.409
0.431,0.485,0.554,0.511,0.478,0.411

0.434,0.585,0.707,0.474,0.45,0.517
0.438,0.592,0.716,0.476,0.455,0.514
0.44,0.589,0.722,0.481,0.46,0.511
0.444,0.585,0.722,0.483,0.465,0.508
0.446,0.585,0.713,0.485,0.471,0.506
0.447,0.584,0.7,0.485,0.476,0.503
0.447,0.578,0.691,0.487,0.48,0.5
0.448,0.564,0.688,0.49,0.484,0.498
0.451,0.552,0.686,0.493,0.488,0.496
0.454,0.545,0.683,0.495,0.491,0.494
0.457,0.537,0.679,0.497,0.495,0.493
0.461,0.531,0.671,0.499,0.498,0.493
0.465,0.525,0.659,0.5,0.501,0.493
0.467,0.517,0.644,0.502,0.504,0.493
0.47,0.508,0.63,0.503,0.505,0.493
0.473,0.503,0.62,0.503,0.506,0.494
0.476,0.503,0.612,0.502,0.507,0.495
0.479,0.507,0.607,0.501,0.507,0.495
0.482,0.509,0.605,0.501,0.506,0.496
0.484,0.511,0.605,0.501,0.506,0.497
0.485,0.512,0.605,0.5,0.505,0.497
0.485,0.51,0.605,0.5,0.505,0.497
0.483,0.508,0.608,0.499,0.505,0.498
0.481,0.506,0.613,0.498,0.504,0.498
0.478,0.505,0.621,0.497,0.504,0.499
0.475,0.506,0.632,0.495,0.504,0.5
0.472,0.516,0.64,0.492,0.505,0.5
0.47,0.53,0.642,0.489,0.506,0.501
0.468,0.54,0.641,0.488,0.508,0.501
0.467,0.544,0.64,0.489,0.509,0.5

0.394,0.581,0.627,0.545,0.48,0.579
0.388,0.541,0.643,0.551,0.479,0.576
0.386,0.523,0.658,0.543,0.479,0.573
0.386,0.542,0.674,0.528,0.479,0.571
0.383,0.558,0.687,0.52,0.481,0.57
0.38,0.58,0.692,0.519,0.483,0.569
0.386,0.583,0.692,0.519,0.486,0.568
0.394,0.627,0.691,0.511,0.488,0.566
0.398,0.679,0.683,0.503,0.491,0.563
0.409,0.711,0.675,0.502,0.494,0.557
0.413,0.713,0.674,0.508,0.496,0.55
0.416,0.7,0.671,0.514,0.497,0.541
0.417,0.663,0.676,0.518,0.499,0.532
0.418,0.663,0.677,0.511,0.502,0.524
0.424,0.658,0.667,0.506,0.505,0.517
0.429,0.635,0.658,0.508,0.507,0.511
0.431,0.611,0.651,0.509,0.508,0.506
0.433,0.592,0.644,0.51,0.509,0.502
0.438,0.57,0.636,0.511,0.51,0.499
0.445,0.554,0.628,0.51,0.511,0.498
0.452,0.544,0.622,0.508,0.511,0.497
0.458,0.538,0.616,0.508,0.51,0.496
0.464,0.529,0.61,0.507,0.51,0.496
0.471,0.518,0.604,0.507,0.509,0.496
0.473,0.519,0.599,0.504,0.508,0.496
0.477,0.514,0.596,0.502,0.507,0.497
0.478,0.506,0.593,0.502,0.506,0.498
0.48,0.511,0.592,0.498,0.504,0.498
0.48,0.52,0.595,0.496,0.502,0.499
0.481,0.516,0.599,0.497,0.501,0.5

0.373,0.654,0.609,0.492,0.499,0.56
0.374,0.661,0.613,0.493,0.501,0.557
0.376,0.666,0.614,0.497,0.502,0.553
0.379,0.663,0.614,0.501,0.504,0.549
0.385,0.666,0.609,0.503,0.505,0.545
0.392,0.681,0.599,0.501,0.507,0.54
