aX,aY,aZ,gX,gY,gZ
0.446,0.458,0.996,0.491,0.497,0.503
0.4,0.459,1,0.504,0.512,0.507
0.373,0.471,1,0.517,0.536,0.512
0.344,0.504,1,0.52,0.568,0.515
0.284,0.538,1,0.514,0.602,0.514
0.209,0.545,1,0.51,0.633,0.512
0.147,0.513,0.92,0.505,0.657,0.509
0.091,0.498,0.744,0.49,0.675,0.503
0.093,0.526,0.496,0.473,0.685,0.496
0.2,0.575,0.162,0.474,0.686,0.489
0.329,0.577,0,0.506,0.67,0.486
0.47,0.494,0,0.547,0.635,0.489
0.588,0.471,0,0.541,0.59,0.493
0.601,0.451,0,0.513,0.541,0.495
0.558,0.431,0,0.488,0.497,0.498
0.51,0.418,0.094,0.477,0.464,0.503
0.477,0.413,0.317,0.473,0.443,0.508
0.463,0.417,0.516,0.474,0.433,0.514
0.465,0.423,0.684,0.479,0.432,0.518
0.48,0.434,0.806,0.482,0.438,0.521
0.504,0.475,0.867,0.48,0.45,0.523
0.532,0.531,0.863,0.478,0.466,0.524
0.565,0.583,0.813,0.479,0.481,0.522
0.592,0.623,0.743,0.482,0.493,0.519
0.608,0.64,0.677,0.486,0.5,0.513
0.616,0.645,0.635,0.492,0.503,0.507
0.615,0.623,0.616,0.499,0.504,0.501
0.609,0.596,0.612,0.504,0.503,0.496
0.602,0.566,0.614,0.506,0.503,0.492
0.599,0.536,0.614,0.507,0.503,0.489

0.457,0.362,1,0.482,0.493,0.502
0.407,0.348,1,0.468,0.513,0.508
0.352,0.411,1,0.459,0.541,0.515
0.303,0.515,1,0.465,0.575,0.52
0.243,0.601,1,0.482,0.61,0.521
0.194,0.632,0.995,0.495,0.639,0.516
0.157,0.626,0.817,0.494,0.661,0.506
0.149,0.637,0.611,0.48,0.673,0.494
0.204,0.585,0.336,0.473,0.678,0.479
0.303,0.589,0.027,0.481,0.671,0.469
0.426,0.505,0,0.519,0.647,0.467
0.538,0.4,0,0.555,0.609,0.473
0.585,0.383,0,0.545,0.565,0.481
0.569,0.389,0,0.521,0.524,0.488
0.538,0.385,0.054,0.507,0.491,0.494
0.517,0.392,0.251,0.501,0.469,0.5
0.506,0.4,0.426,0.497,0.456,0.506
0.5,0.395,0.567,0.495,0.45,0.511
0.503,0.412,0.669,0.492,0.451,0.515
0.516,0.458,0.738,0.487,0.457,0.519
0.535,0.499,0.774,0.488,0.466,0.521
0.557,0.535,0.775,0.49,0.476,0.521
0.583,0.576,0.749,0.49,0.486,0.519
0.603,0.609,0.712,0.49,0.493,0.515
0.614,0.618,0.68,0.493,0.498,0.51
0.617,0.613,0.657,0.497,0.501,0.505
0.613,0.603,0.643,0.499,0.503,0.5
0.607,0.582,0.633,0.502,0.504,0.495
0.602,0.559,0.623,0.505,0.506,0.492
0.6,0.536,0.608,0.506,0.507,0.489

0.454,0.496,0.991,0.5,0.515,0.501
0.39,0.471,1,0.517,0.539,0.504
0.32,0.45,1,0.521,0.57,0.507
0.26,0.471,1,0.509,0.603,0.509
0.188,0.519,1,0.489,0.634,0.509
0.134,0.554,0.907,0.472,0.658,0.505
0.112,0.601,0.723,0.459,0.674,0.495
0.137,0.6,0.521,0.459,0.68,0.483
0.249,0.623,0.261,0.474,0.677,0.473
0.34,0.549,0.011,0.513,0.663,0.468
0.472,0.462,0,0.551,0.636,0.472
0.572,0.439,0,0.547,0.601,0.477
0.596,0.413,0,0.525,0.563,0.481
0.58,0.395,0.001,0.507,0.528,0.486
0.556,0.383,0.169,0.498,0.501,0.492
0.54,0.385,0.351,0.497,0.483,0.498
0.532,0.392,0.504,0.498,0.474,0.504
0.53,0.394,0.622,0.498,0.472,0.508
0.536,0.4,0.696,0.497,0.476,0.512
0.549,0.429,0.721,0.493,0.483,0.515
0.566,0.47,0.703,0.488,0.492,0.517
0.584,0.512,0.659,0.486,0.5,0.518
0.599,0.545,0.608,0.487,0.505,0.516
0.608,0.573,0.567,0.489,0.507,0.514
0.612,0.584,0.547,0.494,0.506,0.51
0.612,0.579,0.547,0.499,0.504,0.505
0.608,0.569,0.559,0.502,0.502,0.501
0.602,0.549,0.574,0.504,0.501,0.498
0.597,0.531,0.586,0.505,0.501,0.495
0.594,0.511,0.59,0.506,0.502,0.494

0.442,0.485,1,0.495,0.521,0.496
0.429,0.446,1,0.504,0.54,0.498
0.373,0.374,1,0.509,0.564,0.502
0.301,0.329,1,0.509,0.59,0.51
0.23,0.355,1,0.5,0.616,0.518
0.179,0.423,0.967,0.486,0.639,0.524
0.175,0.527,0.812,0.469,0.658,0.523
0.181,0.614,0.656,0.459,0.668,0.517
0.235,0.668,0.472,0.463,0.669,0.507
0.328,0.756,0.264,0.473,0.664,0.494
0.426,0.726,0.074,0.505,0.65,0.483
0.518,0.66,0,0.538,0.626,0.475
0.568,0.572,0,0.544,0.597,0.47
0.582,0.497,0,0.532,0.565,0.468
0.574,0.425,0.055,0.517,0.536,0.469
0.558,0.367,0.195,0.508,0.513,0.474
0.548,0.328,0.332,0.504,0.496,0.481
0.545,0.313,0.449,0.502,0.487,0.49
0.546,0.321,0.534,0.5,0.482,0.499
0.553,0.353,0.586,0.495,0.483,0.506
0.565,0.397,0.611,0.491,0.485,0.512
0.577,0.446,0.613,0.488,0.489,0.516
0.588,0.488,0.602,0.488,0.492,0.518
0.598,0.52,0.587,0.49,0.495,0.517
0.604,0.543,0.577,0.492,0.496,0.515
0.606,0.557,0.574,0.494,0.497,0.512
0.606,0.559,0.58,0.497,0.497,0.509
0.604,0.551,0.592,0.5,0.497,0.505
0.603,0.534,0.605,0.502,0.497,0.503
0.602,0.52,0.616,0.504,0.499,0.501

0.477,0.415,0.889,0.507,0.516,0.498
0.459,0.392,0.933,0.495,0.528,0.501
0.427,0.392,0.953,0.481,0.544,0.505
0.399,0.415,0.97,0.473,0.561,0.509
0.357,0.431,0.992,0.473,0.579,0.512
0.299,0.451,1,0.477,0.599,0.515
0.25,0.48,0.978,0.478,0.619,0.515
0.206,0.501,0.894,0.476,0.639,0.512
0.208,0.525,0.759,0.469,0.654,0.507
0.253,0.546,0.577,0.453,0.663,0.499
0.332,0.569,0.361,0.433,0.663,0.488
0.423,0.615,0.121,0.431,0.652,0.477
0.534,0.569,0,0.471,0.628,0.472
0.603,0.419,0,0.519,0.595,0.473
0.615,0.4,0,0.514,0.56,0.477
0.593,0.406,0.065,0.498,0.53,0.482
0.561,0.395,0.206,0.495,0.507,0.488
0.54,0.388,0.326,0.498,0.493,0.493
0.535,0.4,0.435,0.498,0.484,0.498
0.537,0.403,0.534,0.496,0.48,0.502
0.54,0.413,0.607,0.495,0.479,0.506
0.55,0.445,0.649,0.492,0.482,0.509
0.563,0.475,0.664,0.492,0.487,0.511
0.577,0.504,0.656,0.493,0.493,0.512
0.591,0.53,0.631,0.494,0.497,0.512
0.601,0.55,0.602,0.496,0.5,0.51
0.608,0.563,0.578,0.497,0.501,0.508
0.609,0.571,0.569,0.499,0.5,0.505
0.606,0.565,0.576,0.502,0.499,0.503
0.6,0.556,0.59,0.503,0.498,0.5

0.477,0.42,0.877,0.493,0.508,0.499
0.462,0.422,0.925,0.487,0.519,0.501
0.454,0.422,0.977,0.483,0.533,0.504
0.428,0.403,1,0.484,0.549,0.507
0.357,0.343,1,0.49,0.569,0.512
0.273,0.314,1,0.491,0.593,0.518
