aX,aY,aZ,gX,gY,gZ
0.639,0.402,0.000,0.502,0.459,0.499
0.337,0.452,0.000,0.487,0.400,0.506
0.045,0.744,1.000,0.493,0.396,0.513
0.248,0.756,1.000,0.516,0.433,0.508
0.423,0.508,0.998,0.509,0.551,0.500
0.478,0.528,0.543,0.481,0.557,0.499
0.511,0.525,0.425,0.490,0.555,0.500
0.537,0.503,0.371,0.500,0.541,0.500
0.534,0.494,0.460,0.485,0.515,0.497
0.531,0.499,0.505,0.486,0.513,0.497
0.535,0.485,0.504,0.499,0.510,0.498
0.520,0.469,0.547,0.506,0.504,0.500
0.532,0.478,0.548,0.510,0.504,0.500
0.525,0.446,0.568,0.513,0.500,0.503
0.528,0.500,0.598,0.492,0.498,0.505
0.518,0.505,0.627,0.491,0.495,0.505
0.522,0.514,0.646,0.508,0.499,0.505
0.525,0.534,0.610,0.495,0.499,0.504
0.531,0.543,0.606,0.494,0.499,0.503
0.530,0.518,0.617,0.499,0.498,0.502

0.628,0.481,0.000,0.463,0.490,0.494
0.246,0.447,0.204,0.504,0.389,0.503
0.138,0.431,0.620,0.495,0.377,0.504
0.144,0.532,1.000,0.464,0.390,0.510
0.330,0.732,1.000,0.515,0.472,0.512
0.371,0.635,1.000,0.547,0.502,0.508
0.481,0.661,0.619,0.481,0.547,0.496
0.534,0.616,0.435,0.501,0.535,0.487
0.536,0.538,0.447,0.514,0.531,0.486
0.527,0.463,0.504,0.517,0.521,0.487
0.525,0.447,0.537,0.517,0.517,0.490
0.525,0.439,0.541,0.518,0.516,0.491
0.525,0.469,0.543,0.502,0.511,0.495
0.538,0.431,0.521,0.518,0.508,0.499
0.536,0.433,0.531,0.507,0.505,0.500
0.533,0.465,0.560,0.490,0.501,0.502
0.522,0.508,0.613,0.488,0.498,0.506
0.523,0.515,0.615,0.492,0.498,0.506
0.526,0.519,0.612,0.496,0.499,0.506
0.532,0.532,0.608,0.493,0.498,0.505

0.692,0.510,0.000,0.459,0.496,0.495
0.683,0.446,0.000,0.488,0.471,0.498
0.394,0.416,0.046,0.503,0.413,0.506
0.248,0.580,1.000,0.470,0.426,0.518
0.307,0.715,1.000,0.461,0.453,0.518
0.399,0.803,1.000,0.498,0.506,0.513
0.535,0.666,0.503,0.511,0.531,0.488
0.540,0.589,0.470,0.520,0.526,0.486
0.540,0.502,0.473,0.515,0.517,0.484
0.529,0.457,0.574,0.504,0.506,0.490
0.511,0.468,0.572,0.506,0.504,0.490
0.523,0.438,0.527,0.519,0.506,0.494
0.531,0.488,0.528,0.494,0.499,0.496
0.531,0.483,0.530,0.500,0.498,0.497
0.511,0.490,0.622,0.493,0.491,0.500
0.503,0.490,0.683,0.498,0.494,0.504
0.502,0.498,0.688,0.494,0.495,0.505
0.507,0.542,0.669,0.485,0.498,0.506
0.513,0.557,0.611,0.489,0.501,0.504
0.518,0.561,0.599,0.495,0.501,0.503

0.692,0.382,0.000,0.515,0.479,0.502
0.440,0.417,0.000,0.492,0.420,0.505
0.191,0.433,0.595,0.484,0.390,0.512
0.226,0.670,1.000,0.468,0.420,0.519
0.293,0.731,1.000,0.478,0.446,0.518
0.393,0.712,1.000,0.505,0.499,0.511
0.533,0.679,0.536,0.493,0.535,0.491
0.544,0.677,0.480,0.490,0.529,0.487
0.535,0.546,0.499,0.517,0.520,0.484
0.516,0.443,0.573,0.513,0.512,0.487
0.521,0.430,0.583,0.508,0.511,0.489
0.528,0.480,0.518,0.500,0.512,0.493
0.540,0.425,0.489,0.511,0.502,0.497
0.535,0.427,0.504,0.504,0.499,0.499
0.525,0.447,0.558,0.497,0.494,0.504
0.501,0.517,0.667,0.486,0.494,0.510
0.503,0.531,0.665,0.489,0.496,0.510
0.503,0.556,0.672,0.489,0.498,0.510
0.515,0.587,0.624,0.494,0.502,0.507
0.516,0.589,0.619,0.494,0.501,0.506

0.574,0.490,0.031,0.443,0.516,0.494
0.324,0.518,0.000,0.472,0.404,0.507
0.142,0.553,0.036,0.477,0.378,0.509
0.000,0.756,0.996,0.465,0.360,0.508
0.228,0.652,1.000,0.570,0.483,0.490
0.394,0.208,1.000,0.581,0.515,0.492
0.433,0.303,0.896,0.481,0.544,0.504
0.478,0.520,0.490,0.470,0.544,0.510
0.499,0.586,0.467,0.463,0.540,0.509
0.492,0.614,0.541,0.471,0.528,0.502
0.503,0.557,0.518,0.504,0.524,0.493
0.520,0.521,0.467,0.523,0.525,0.493
0.528,0.418,0.451,0.518,0.516,0.491
0.544,0.460,0.430,0.506,0.504,0.498
0.532,0.467,0.472,0.500,0.498,0.499
0.516,0.489,0.576,0.496,0.491,0.501
0.491,0.507,0.690,0.512,0.495,0.503
0.495,0.510,0.675,0.515,0.498,0.504
0.509,0.496,0.622,0.520,0.502,0.505
0.518,0.523,0.624,0.503,0.499,0.502

0.641,0.460,0.000,0.472,0.495,0.498
0.395,0.495,0.000,0.484,0.408,0.506
0.203,0.480,0.012,0.494,0.381,0.507
0.128,0.813,1.000,0.463,0.390,0.510
0.294,0.640,1.000,0.555,0.459,0.500
0.353,0.378,1.000,0.587,0.495,0.497
0.399,0.252,1.000,0.519,0.537,0.505
0.486,0.524,0.485,0.452,0.546,0.513
0.524,0.580,0.426,0.457,0.541,0.512
0.538,0.574,0.497,0.498,0.517,0.499
0.531,0.545,0.508,0.502,0.508,0.496
