aX,aY,aZ,gX,gY,gZ
0.544,0.000,0.288,0.627,0.496,0.533
0.484,0.000,0.306,0.586,0.484,0.556
0.167,0.000,0.465,0.485,0.461,0.604
0.021,1.000,0.417,0.335,0.483,0.627
0.239,1.000,0.379,0.372,0.492,0.609
0.410,1.000,0.427,0.474,0.495,0.557
0.394,1.000,0.716,0.543,0.490,0.479
0.391,0.837,0.764,0.547,0.494,0.466
0.425,0.544,0.766,0.552,0.505,0.459
0.502,0.502,0.606,0.512,0.520,0.467
0.486,0.480,0.592,0.510,0.518,0.468
0.501,0.465,0.570,0.499,0.515,0.465
0.548,0.358,0.479,0.535,0.515,0.472
0.556,0.345,0.488,0.532,0.511,0.475
0.557,0.323,0.546,0.529,0.502,0.485
0.548,0.365,0.601,0.501,0.498,0.495
0.528,0.398,0.632,0.485,0.495,0.498
0.532,0.434,0.628,0.490,0.497,0.502
0.536,0.505,0.606,0.501,0.500,0.505
0.540,0.531,0.598,0.501,0.500,0.505

0.602,0.000,0.319,0.574,0.499,0.513
0.235,0.000,0.618,0.522,0.458,0.590
0.143,0.009,0.661,0.444,0.457,0.605
0.134,0.915,0.591,0.321,0.475,0.617
0.389,1.000,0.472,0.443,0.502,0.566
0.429,1.000,0.474,0.471,0.501,0.541
0.434,1.000,0.579,0.526,0.496,0.503
0.449,0.625,0.679,0.530,0.499,0.474
0.456,0.610,0.673,0.520,0.500,0.473
0.471,0.593,0.647,0.517,0.504,0.470
0.474,0.565,0.617,0.513,0.507,0.459
0.480,0.502,0.605,0.530,0.509,0.457
0.481,0.502,0.622,0.510,0.507,0.456
0.504,0.421,0.606,0.518,0.510,0.461
0.516,0.409,0.586,0.514,0.510,0.463
0.523,0.391,0.565,0.515,0.509,0.468
0.535,0.324,0.590,0.517,0.506,0.477
0.534,0.322,0.587,0.518,0.505,0.481
0.537,0.296,0.590,0.515,0.504,0.489
0.539,0.377,0.592,0.494,0.499,0.501

0.579,0.139,0.417,0.569,0.503,0.506
0.222,0.251,0.555,0.398,0.446,0.589
0.192,0.518,0.631,0.362,0.452,0.596
0.249,0.991,0.762,0.373,0.475,0.594
0.401,1.000,0.755,0.463,0.504,0.552
0.433,1.000,0.736,0.481,0.509,0.532
0.440,1.000,0.702,0.518,0.515,0.498
0.449,0.671,0.606,0.532,0.521,0.466
0.453,0.627,0.586,0.527,0.520,0.464
0.466,0.577,0.554,0.515,0.519,0.459
0.475,0.542,0.545,0.505,0.514,0.456
0.480,0.534,0.529,0.510,0.513,0.455
0.486,0.415,0.573,0.513,0.507,0.456
0.506,0.374,0.564,0.528,0.507,0.461
0.517,0.326,0.555,0.538,0.507,0.465
0.525,0.342,0.590,0.519,0.505,0.472
0.543,0.362,0.567,0.496,0.497,0.486
0.544,0.372,0.582,0.491,0.500,0.487
0.538,0.422,0.615,0.494,0.499,0.495
0.539,0.427,0.610,0.497,0.499,0.497

0.538,0.000,0.247,0.568,0.479,0.536
0.318,0.027,0.530,0.471,0.448,0.569
0.266,0.165,0.603,0.430,0.447,0.580
0.232,0.657,0.664,0.354,0.459,0.592
0.396,1.000,0.731,0.448,0.498,0.555
0.422,1.000,0.743,0.475,0.503,0.538
0.430,1.000,0.722,0.505,0.510,0.502
0.444,0.693,0.609,0.546,0.520,0.467
0.450,0.640,0.587,0.540,0.520,0.463
0.461,0.585,0.554,0.526,0.518,0.460
0.468,0.526,0.560,0.514,0.513,0.458
0.473,0.512,0.566,0.513,0.513,0.456
0.480,0.470,0.570,0.506,0.510,0.455
0.493,0.409,0.574,0.513,0.509,0.458
