aX,aY,aZ,gX,gY,gZ
0.491,0.086,0.354,0.388,0.511,0.545
0.462,0.077,0.299,0.371,0.509,0.555
0.374,0.057,0.178,0.372,0.506,0.581
0.170,0.456,0.135,0.365,0.502,0.620
0.148,0.542,0.120,0.369,0.502,0.624
0.126,0.715,0.091,0.366,0.501,0.624
0.217,1.000,0.226,0.404,0.497,0.596
0.266,1.000,0.280,0.431,0.497,0.581
0.360,1.000,0.343,0.473,0.496,0.544
0.377,1.000,0.373,0.536,0.493,0.488
0.357,1.000,0.369,0.557,0.494,0.471
0.325,0.995,0.357,0.595,0.497,0.445
0.316,0.734,0.379,0.603,0.502,0.424
0.322,0.696,0.398,0.601,0.502,0.422
0.341,0.623,0.421,0.615,0.510,0.421
0.392,0.518,0.433,0.655,0.528,0.435
0.409,0.497,0.434,0.648,0.531,0.438
0.460,0.443,0.392,0.610,0.534,0.450
0.510,0.421,0.398,0.578,0.524,0.462
0.520,0.429,0.414,0.571,0.521,0.465

0.466,0.134,0.384,0.418,0.515,0.556
0.444,0.125,0.337,0.409,0.514,0.565
0.338,0.159,0.242,0.384,0.510,0.584
0.229,0.601,0.171,0.381,0.506,0.611
0.221,0.711,0.181,0.391,0.504,0.612
0.222,0.938,0.238,0.399,0.500,0.603
0.325,1.000,0.290,0.409,0.500,0.573
0.334,1.000,0.333,0.444,0.497,0.544
0.408,1.000,0.332,0.505,0.497,0.512
0.382,1.000,0.371,0.561,0.492,0.468
0.371,0.988,0.388,0.569,0.492,0.456
0.354,0.867,0.399,0.585,0.493,0.440
0.358,0.591,0.439,0.616,0.503,0.429
0.377,0.585,0.462,0.606,0.505,0.428
0.395,0.518,0.463,0.600,0.510,0.432
0.453,0.488,0.441,0.597,0.517,0.442
0.478,0.477,0.423,0.599,0.517,0.445
0.484,0.446,0.452,0.592,0.514,0.452
0.515,0.459,0.491,0.553,0.510,0.462
0.520,0.449,0.497,0.548,0.509,0.463

0.466,0.182,0.449,0.406,0.518,0.551
0.417,0.205,0.361,0.375,0.519,0.566
