aX,aY,aZ,gX,gY,gZ
0.435,1.000,0.494,0.487,0.494,0.450
0.390,0.919,0.498,0.499,0.490,0.437
0.307,0.684,0.525,0.515,0.486,0.418
0.403,0.015,0.563,0.576,0.494,0.422
0.467,0.000,0.562,0.562,0.497,0.433
0.556,0.000,0.597,0.517,0.496,0.465
0.508,0.082,0.668,0.466,0.498,0.528
0.491,0.168,0.641,0.465,0.501,0.537
0.458,0.337,0.615,0.459,0.503,0.550
0.443,0.522,0.556,0.465,0.506,0.556
0.447,0.584,0.551,0.465,0.506,0.555
0.489,0.766,0.566,0.468,0.501,0.539
0.500,0.773,0.587,0.477,0.501,0.527
0.505,0.727,0.621,0.499,0.501,0.521
0.509,0.655,0.625,0.514,0.502,0.508
0.511,0.617,0.629,0.516,0.502,0.503
0.511,0.599,0.632,0.516,0.502,0.501
0.516,0.547,0.638,0.516,0.503,0.497
0.521,0.520,0.623,0.507,0.504,0.496
0.525,0.519,0.620,0.506,0.504,0.497

0.484,0.861,0.680,0.482,0.503,0.490
0.469,1.000,0.604,0.478,0.503,0.478
0.412,1.000,0.536,0.494,0.500,0.447
0.294,0.638,0.570,0.537,0.498,0.414
0.292,0.484,0.565,0.554,0.501,0.411
0.373,0.128,0.476,0.583,0.510,0.415
0.592,0.000,0.427,0.508,0.500,0.470
0.590,0.000,0.484,0.480,0.493,0.487
0.544,0.000,0.576,0.460,0.488,0.520
0.457,0.246,0.612,0.448,0.492,0.550
0.441,0.336,0.601,0.443,0.494,0.556
0.430,0.488,0.574,0.442,0.497,0.560
0.464,0.781,0.552,0.464,0.499,0.551
0.474,0.821,0.571,0.472,0.498,0.545
0.492,0.822,0.623,0.492,0.496,0.529
0.502,0.701,0.654,0.513,0.499,0.506
0.504,0.672,0.652,0.516,0.500,0.502
0.510,0.609,0.641,0.519,0.502,0.496
0.520,0.527,0.619,0.523,0.503,0.493
0.522,0.507,0.615,0.521,0.502,0.493

0.422,1.000,0.566,0.478,0.496,0.458
0.229,0.272,0.659,0.579,0.510,0.397
0.309,0.036,0.563,0.594,0.519,0.404
0.511,0.000,0.359,0.559,0.525,0.431
0.608,0.000,0.389,0.479,0.502,0.485
0.576,0.000,0.469,0.466,0.495,0.501
0.491,0.162,0.587,0.467,0.491,0.538
0.444,0.427,0.622,0.459,0.495,0.554
0.444,0.504,0.618,0.456,0.497,0.555
0.463,0.656,0.591,0.462,0.500,0.550
0.483,0.734,0.599,0.471,0.500,0.541
0.491,0.752,0.612,0.481,0.499,0.537
0.502,0.715,0.654,0.509,0.501,0.521
0.527,0.621,0.610,0.520,0.505,0.506
0.522,0.558,0.619,0.527,0.503,0.506
0.521,0.540,0.629,0.512,0.501,0.503
0.510,0.496,0.619,0.513,0.503,0.502
0.531,0.507,0.625,0.507,0.504,0.500
0.520,0.528,0.634,0.500,0.502,0.502
0.535,0.504,0.588,0.504,0.502,0.504

0.467,1.000,0.463,0.418,0.492,0.473
