aX,aY,aZ,gX,gY,gZ
0.417,0.865,0.645,0.575,0.530,0.465
0.387,0.900,0.606,0.596,0.537,0.458
0.244,0.846,0.339,0.654,0.565,0.427
0.213,0.704,0.194,0.651,0.570,0.415
0.217,0.609,0.117,0.643,0.570,0.412
0.274,0.452,0.008,0.610,0.558,0.408
0.356,0.112,0.129,0.570,0.523,0.417
0.397,0.006,0.153,0.573,0.517,0.424
0.472,0.000,0.196,0.558,0.508,0.446
0.518,0.000,0.321,0.502,0.491,0.486
0.507,0.000,0.370,0.483,0.487,0.500
0.458,0.016,0.435,0.444,0.483,0.533
0.422,0.176,0.416,0.417,0.484,0.552
0.413,0.229,0.412,0.404,0.484,0.556
0.405,0.314,0.387,0.385,0.487,0.561
0.415,0.434,0.358,0.370,0.490,0.561
0.426,0.459,0.347,0.374,0.491,0.560
0.469,0.523,0.374,0.393,0.487,0.552
0.474,0.525,0.438,0.409,0.482,0.548
0.471,0.530,0.459,0.411,0.482,0.546

0.423,0.843,0.668,0.570,0.530,0.473
0.396,0.863,0.644,0.598,0.537,0.468
0.322,0.841,0.458,0.665,0.563,0.450
0.275,0.768,0.228,0.661,0.576,0.435
0.274,0.720,0.157,0.643,0.575,0.429
0.325,0.413,0.036,0.590,0.545,0.415
0.363,0.190,0.139,0.592,0.527,0.424
0.413,0.000,0.175,0.578,0.522,0.432
0.502,0.000,0.224,0.560,0.514,0.456
0.529,0.000,0.292,0.494,0.500,0.498
0.439,0.176,0.350,0.419,0.485,0.550
0.430,0.232,0.354,0.410,0.485,0.554
0.419,0.320,0.353,0.398,0.485,0.558
0.439,0.467,0.357,0.386,0.484,0.557
0.453,0.484,0.361,0.388,0.484,0.554
0.467,0.485,0.381,0.398,0.483,0.550
0.479,0.514,0.448,0.402,0.481,0.543
0.480,0.528,0.466,0.408,0.481,0.542
0.483,0.517,0.495,0.425,0.483,0.540
0.489,0.568,0.527,0.426,0.484,0.536

0.469,0.842,0.667,0.538,0.520,0.486
0.455,0.910,0.644,0.547,0.524,0.478
0.408,0.946,0.553,0.581,0.532,0.459
0.300,0.878,0.402,0.600,0.540,0.418
0.220,0.819,0.287,0.607,0.541,0.410
0.148,0.652,0.167,0.621,0.542,0.395
0.241,0.169,0.074,0.607,0.532,0.390
0.275,0.008,0.134,0.587,0.524,0.395
0.404,0.000,0.322,0.544,0.512,0.415
0.543,0.000,0.407,0.537,0.510,0.484
0.536,0.000,0.393,0.522,0.507,0.500
0.491,0.000,0.428,0.480,0.498,0.526
0.385,0.152,0.520,0.419,0.496,0.559
0.372,0.232,0.501,0.408,0.499,0.563
0.379,0.396,0.461,0.393,0.505,0.566
0.450,0.501,0.397,0.417,0.509,0.556
0.468,0.496,0.395,0.420,0.507,0.553
0.482,0.493,0.399,0.431,0.503,0.549
0.497,0.494,0.413,0.441,0.499,0.546
0.497,0.501,0.425,0.443,0.497,0.545

0.381,0.977,0.566,0.592,0.534,0.455
0.335,0.973,0.508,0.619,0.541,0.445
0.251,0.912,0.324,0.653,0.555,0.427
0.187,0.697,0.022,0.649,0.557,0.403
0.202,0.547,0.000,0.639,0.552,0.397
0.295,0.115,0.029,0.573,0.516,0.395
0.369,0.000,0.268,0.566,0.499,0.427
0.464,0.000,0.400,0.561,0.499,0.443
0.502,0.000,0.459,0.478,0.496,0.513
0.441,0.000,0.455,0.432,0.494,0.540
0.411,0.004,0.440,0.414,0.495,0.549
0.375,0.195,0.402,0.391,0.497,0.562
0.392,0.424,0.368,0.390,0.501,0.565
0.407,0.461,0.371,0.401,0.502,0.564
0.438,0.493,0.393,0.420,0.500,0.558
0.474,0.474,0.438,0.392,0.491,0.545
0.477,0.493,0.434,0.383,0.491,0.544
0.485,0.529,0.448,0.386,0.491,0.541
0.483,0.546,0.505,0.421,0.492,0.538
0.487,0.550,0.510,0.432,0.493,0.537

0.462,0.824,0.583,0.558,0.527,0.474
0.260,0.823,0.230,0.646,0.544,0.417
0.235,0.711,0.155,0.647,0.545,0.408
0.256,0.417,0.007,0.626,0.538,0.398
0.397,0.000,0.307,0.555,0.500,0.417
0.528,0.000,0.453,0.539,0.499,0.467
0.503,0.000,0.476,0.476,0.492,0.528
0.456,0.000,0.481,0.438,0.494,0.537
0.426,0.147,0.454,0.414,0.495,0.552
0.426,0.387,0.407,0.399,0.498,0.559
0.437,0.449,0.401,0.405,0.499,0.559
0.454,0.494,0.436,0.426,0.497,0.554
0.485,0.516,0.495,0.426,0.493,0.541
0.492,0.523,0.499,0.419,0.493,0.538
0.505,0.538,0.500,0.411,0.493,0.533
0.512,0.539,0.536,0.419,0.492,0.526
0.513,0.539,0.553,0.424,0.493,0.524
0.515,0.544,0.592,0.458,0.497,0.520
0.522,0.535,0.590,0.472,0.499,0.519
0.524,0.529,0.586,0.475,0.499,0.518

0.479,0.805,0.659,0.548,0.516,0.486
0.374,0.938,0.568,0.613,0.538,0.455
0.298,0.934,0.416,0.638,0.554,0.426
0.233,0.857,0.231,0.645,0.557,0.417
0.195,0.674,0.064,0.644,0.556,0.403
0.259,0.262,0.038,0.592,0.534,0.394
0.279,0.127,0.118,0.571,0.524,0.396
0.367,0.000,0.292,0.566,0.512,0.413
0.522,0.000,0.323,0.551,0.512,0.465
0.547,0.000,0.310,0.533,0.509,0.483
0.491,0.000,0.379,0.460,0.493,0.527
0.401,0.029,0.412,0.407,0.489,0.557
0.362,0.213,0.387,0.381,0.492,0.569
0.401,0.484,0.336,0.402,0.496,0.571
0.422,0.534,0.339,0.412,0.496,0.568
0.466,0.566,0.412,0.420,0.486,0.553
0.483,0.588,0.463,0.416,0.483,0.542
0.486,0.590,0.484,0.418,0.482,0.539
0.493,0.578,0.526,0.428,0.482,0.534
0.499,0.574,0.579,0.443,0.486,0.527

0.461,0.896,0.664,0.527,0.513,0.478
0.439,0.950,0.635,0.541,0.517,0.469
0.370,0.960,0.539,0.592,0.528,0.449
0.234,0.773,0.262,0.650,0.548,0.416
0.219,0.703,0.198,0.653,0.550,0.411
0.221,0.500,0.088,0.648,0.549,0.405
0.332,0.121,0.144,0.579,0.522,0.411
0.361,0.038,0.219,0.573,0.516,0.418
0.433,0.000,0.316,0.575,0.512,0.439
0.491,0.000,0.349,0.553,0.511,0.464
0.501,0.000,0.363,0.534,0.509,0.477
0.492,0.000,0.402,0.481,0.500,0.509
0.457,0.105,0.433,0.446,0.495,0.531
0.447,0.158,0.440,0.437,0.495,0.537
0.443,0.307,0.458,0.429,0.496,0.547
0.444,0.336,0.471,0.432,0.497,0.549
0.445,0.349,0.475,0.432,0.497,0.549
0.447,0.372,0.471,0.432,0.498,0.549
0.481,0.451,0.463,0.419,0.498,0.545
0.478,0.448,0.485,0.419,0.497,0.543

0.438,0.833,0.558,0.594,0.523,0.465
0.413,0.876,0.524,0.596,0.526,0.457
0.304,0.911,0.349,0.658,0.540,0.434
0.239,0.825,0.199,0.699,0.557,0.415
0.213,0.606,0.079,0.684,0.558,0.409
0.303,0.127,0.193,0.541,0.524,0.405
0.376,0.000,0.289,0.569,0.518,0.424
0.436,0.000,0.273,0.587,0.520,0.439
0.518,0.000,0.225,0.568,0.517,0.469
0.462,0.000,0.369,0.455,0.490,0.530
0.409,0.296,0.411,0.420,0.488,0.556
0.413,0.343,0.419,0.419,0.488,0.557
0.426,0.397,0.432,0.419,0.489,0.556
0.460,0.448,0.437,0.403,0.490,0.548
0.469,0.467,0.436,0.399,0.490,0.547
0.479,0.500,0.447,0.398,0.490,0.544
0.494,0.534,0.472,0.413,0.491,0.539
0.495,0.537,0.485,0.420,0.491,0.537
0.501,0.543,0.556,0.438,0.490,0.529
0.508,0.533,0.578,0.449,0.492,0.527

0.463,0.806,0.603,0.551,0.518,0.473
0.441,0.836,0.593,0.561,0.520,0.467
0.379,0.872,0.546,0.592,0.528,0.452
0.257,0.829,0.267,0.675,0.555,0.426
0.235,0.791,0.180,0.688,0.560,0.421
0.229,0.624,0.029,0.681,0.563,0.412
0.314,0.296,0.011,0.588,0.536,0.404
0.333,0.191,0.098,0.560,0.524,0.404
0.462,0.000,0.304,0.575,0.510,0.443
0.523,0.000,0.331,0.514,0.501,0.485
0.520,0.000,0.366,0.492,0.497,0.497
0.487,0.000,0.437,0.459,0.490,0.518
0.446,0.116,0.480,0.427,0.493,0.546
0.432,0.221,0.469,0.414,0.495,0.549
0.430,0.320,0.452,0.406,0.498,0.554
0.449,0.430,0.434,0.412,0.501,0.553
0.459,0.446,0.430,0.416,0.501,0.552
0.467,0.475,0.448,0.415,0.499,0.547
0.494,0.482,0.466,0.421,0.498,0.539
0.498,0.489,0.475,0.421,0.497,0.537

0.387,0.997,0.585,0.590,0.517,0.459
0.313,0.921,0.491,0.634,0.531,0.437
0.272,0.865,0.431,0.645,0.538,0.427
0.166,0.615,0.190,0.661,0.558,0.404
0.283,0.277,0.000,0.628,0.552,0.403
0.334,0.161,0.000,0.604,0.541,0.406
0.400,0.000,0.126,0.555,0.516,0.418
0.494,0.000,0.342,0.538,0.500,0.467
0.520,0.000,0.359,0.526,0.497,0.481
0.508,0.000,0.413,0.491,0.491,0.505
0.476,0.002,0.486,0.462,0.486,0.523
0.463,0.056,0.515,0.449,0.485,0.530
0.436,0.230,0.540,0.426,0.492,0.545
0.446,0.357,0.504,0.426,0.500,0.550
0.451,0.380,0.493,0.428,0.501,0.550
0.472,0.441,0.474,0.428,0.502,0.544
