aX,aY,aZ,gX,gY,gZ
0.424,0.639,1.000,0.469,0.537,0.499
0.396,0.617,1.000,0.474,0.547,0.495
0.350,0.583,0.896,0.483,0.568,0.488
0.343,0.492,0.495,0.530,0.597,0.493
0.385,0.494,0.366,0.520,0.596,0.494
0.508,0.522,0.116,0.511,0.582,0.495
0.629,0.481,0.047,0.509,0.540,0.495
0.646,0.494,0.074,0.496,0.525,0.494
0.615,0.466,0.219,0.501,0.492,0.495
0.565,0.441,0.423,0.491,0.471,0.499
0.559,0.443,0.467,0.494,0.466,0.500
0.542,0.452,0.592,0.490,0.465,0.501
0.546,0.473,0.628,0.494,0.469,0.505
0.548,0.476,0.631,0.497,0.471,0.505
0.552,0.480,0.628,0.505,0.474,0.507
0.556,0.482,0.629,0.496,0.475,0.507
0.555,0.487,0.629,0.492,0.475,0.507
0.553,0.520,0.638,0.484,0.475,0.507
0.545,0.526,0.659,0.501,0.479,0.507
0.546,0.515,0.661,0.506,0.481,0.507

0.480,0.567,0.943,0.480,0.504,0.500
0.443,0.621,1.000,0.490,0.522,0.497
0.368,0.591,0.976,0.500,0.558,0.487
0.354,0.560,0.895,0.499,0.568,0.485
0.345,0.455,0.601,0.515,0.589,0.484
0.462,0.408,0.236,0.503,0.577,0.492
0.576,0.417,0.070,0.500,0.564,0.494
0.641,0.424,0.058,0.486,0.535,0.497
0.627,0.453,0.210,0.477,0.498,0.500
0.612,0.456,0.271,0.480,0.490,0.501
0.583,0.469,0.394,0.487,0.479,0.504
0.552,0.488,0.556,0.498,0.472,0.507
0.552,0.489,0.577,0.499,0.472,0.508
0.552,0.496,0.604,0.499,0.473,0.508
0.552,0.507,0.626,0.502,0.476,0.509
0.552,0.514,0.628,0.501,0.476,0.509
0.556,0.526,0.618,0.499,0.478,0.508
0.555,0.526,0.616,0.501,0.479,0.506
0.554,0.519,0.621,0.502,0.479,0.506
0.549,0.521,0.647,0.498,0.479,0.506

0.460,0.562,0.995,0.511,0.527,0.500
0.350,0.403,0.904,0.489,0.566,0.496
0.330,0.384,0.845,0.494,0.575,0.498
0.325,0.479,0.683,0.490,0.588,0.504
0.467,0.565,0.248,0.484,0.578,0.498
0.593,0.580,0.075,0.492,0.566,0.497
0.651,0.545,0.082,0.503,0.536,0.494
0.629,0.470,0.216,0.500,0.502,0.492
0.613,0.461,0.277,0.495,0.493,0.492
0.585,0.456,0.393,0.491,0.480,0.494
0.561,0.461,0.526,0.500,0.472,0.498
0.560,0.459,0.546,0.501,0.472,0.499
0.561,0.459,0.575,0.501,0.471,0.501
0.557,0.475,0.588,0.500,0.471,0.505
0.554,0.487,0.600,0.500,0.470,0.506
0.548,0.491,0.623,0.502,0.470,0.507
0.545,0.495,0.645,0.494,0.472,0.507
0.545,0.497,0.643,0.492,0.473,0.507
0.543,0.525,0.635,0.489,0.475,0.508
0.537,0.512,0.659,0.509,0.479,0.507

0.423,0.606,1.000,0.493,0.536,0.494
0.402,0.599,0.980,0.503,0.548,0.493
0.372,0.517,0.849,0.533,0.569,0.493
