aX,aY,aZ,gX,gY,gZ
0.497,0.617,0.453,0.488,0.479,0.319
0.343,0.559,0.514,0.473,0.458,0.279
0.234,0.494,0.576,0.46,0.455,0.245
0.14,0.382,0.625,0.456,0.465,0.222
0.059,0.017,0.644,0.46,0.483,0.222
0.238,0,0.558,0.461,0.509,0.256
0.49,0,0.458,0.433,0.519,0.349
0.455,0.095,0.49,0.393,0.504,0.476
0.324,0.485,0.589,0.416,0.481,0.558
0.35,0.477,0.666,0.5,0.475,0.566
0.417,0.298,0.666,0.569,0.492,0.546
0.461,0.185,0.632,0.574,0.51,0.541
0.455,0.212,0.585,0.535,0.514,0.539
0.448,0.3,0.557,0.491,0.505,0.527
0.45,0.382,0.554,0.466,0.497,0.513

0.298,0.005,0.598,0.447,0.473,0.272
0.397,0,0.524,0.42,0.485,0.298
0.476,0.004,0.493,0.39,0.49,0.362
0.495,0.175,0.521,0.391,0.491,0.439
0.446,0.313,0.549,0.432,0.485,0.5
0.421,0.36,0.597,0.486,0.483,0.533
0.439,0.321,0.626,0.531,0.492,0.546
0.465,0.287,0.618,0.547,0.505,0.547
0.488,0.312,0.584,0.533,0.515,0.544
0.512,0.348,0.551,0.507,0.517,0.534
0.519,0.377,0.528,0.484,0.511,0.519
0.505,0.409,0.518,0.47,0.505,0.508
0.491,0.432,0.515,0.469,0.502,0.505
0.494,0.425,0.513,0.481,0.502,0.506
0.494,0.399,0.521,0.497,0.503,0.509

0.393,0,0.443,0.415,0.505,0.305
0.521,0.029,0.422,0.364,0.506,0.384
0.513,0.372,0.502,0.359,0.495,0.467
0.415,0.517,0.58,0.423,0.48,0.514
0.382,0.45,0.628,0.513,0.481,0.525
0.411,0.302,0.639,0.577,0.498,0.527
0.454,0.203,0.618,0.592,0.517,0.533
0.499,0.203,0.59,0.563,0.524,0.532
0.519,0.273,0.558,0.516,0.518,0.519
0.511,0.366,0.529,0.479,0.508,0.505
0.502,0.416,0.519,0.467,0.503,0.498
0.499,0.409,0.514,0.477,0.503,0.498
0.499,0.376,0.512,0.494,0.505,0.504
0.494,0.346,0.516,0.506,0.505,0.511
0.487,0.351,0.52,0.51,0.504,0.516

0.339,0,0.531,0.433,0.5,0.292
0.423,0,0.511,0.421,0.504,0.338
0.484,0.074,0.512,0.416,0.508,0.411
0.463,0.282,0.519,0.432,0.506,0.483
0.428,0.377,0.539,0.475,0.501,0.524
0.434,0.355,0.565,0.526,0.499,0.534
0.459,0.292,0.578,0.554,0.503,0.534
0.479,0.259,0.578,0.551,0.509,0.532
0.486,0.271,0.565,0.524,0.511,0.527
0.483,0.315,0.544,0.494,0.508,0.516
0.479,0.367,0.522,0.473,0.506,0.507
0.485,0.405,0.508,0.469,0.505,0.502
0.491,0.413,0.499,0.479,0.505,0.502
0.492,0.391,0.497,0.496,0.505,0.506
0.486,0.369,0.5,0.511,0.504,0.512

0.703,0.323,0.175,0.519,0.408,0.513
0.628,0.335,0.171,0.512,0.363,0.524
0.475,0.314,0.193,0.507,0.319,0.541
0.296,0.275,0.224,0.507,0.288,0.556
0.155,0.304,0.287,0.5,0.271,0.562
0.075,0.404,0.422,0.484,0.26,0.561
0.062,0.525,0.612,0.474,0.263,0.551
0.128,0.547,0.796,0.482,0.3,0.527
0.199,0.498,0.902,0.492,0.362,0.502
0.261,0.42,0.872,0.496,0.428,0.487
0.347,0.38,0.758,0.497,0.478,0.48
0.424,0.374,0.671,0.501,0.5,0.482
0.454,0.365,0.629,0.509,0.502,0.49
0.453,0.372,0.629,0.515,0.5,0.498
0.458,0.382,0.624,0.517,0.503,0.503

0.674,0.377,0.176,0.517,0.389,0.508
0.583,0.375,0.176,0.519,0.343,0.517
0.434,0.308,0.193,0.527,0.301,0.531
0.281,0.254,0.232,0.532,0.272,0.546
0.17,0.246,0.283,0.528,0.258,0.552
0.089,0.264,0.378,0.512,0.251,0.551
0.089,0.333,0.513,0.489,0.257,0.542
0.161,0.432,0.675,0.468,0.278,0.531
0.2,0.514,0.805,0.46,0.311,0.521
0.216,0.528,0.86,0.466,0.362,0.505
0.265,0.484,0.841,0.482,0.423,0.488
0.335,0.408,0.782,0.499,0.474,0.477
0.395,0.342,0.711,0.514,0.504,0.48
0.435,0.322,0.648,0.52,0.518,0.492
0.465,0.336,0.613,0.522,0.521,0.505

0.649,0.322,0.264,0.515,0.398,0.538
0.561,0.337,0.266,0.51,0.362,0.55
0.47,0.326,0.267,0.512,0.334,0.558
0.368,0.327,0.288,0.513,0.31,0.564
0.27,0.339,0.305,0.516,0.292,0.567
0.149,0.367,0.377,0.513,0.277,0.566
0.107,0.37,0.513,0.511,0.28,0.558
0.149,0.369,0.649,0.506,0.301,0.547
0.197,0.429,0.758,0.492,0.335,0.535
0.223,0.48,0.821,0.479,0.379,0.52
0.243,0.487,0.814,0.476,0.425,0.501
0.298,0.466,0.757,0.481,0.468,0.481
0.374,0.42,0.696,0.49,0.498,0.469
0.429,0.382,0.639,0.499,0.513,0.471
0.467,0.366,0.603,0.507,0.517,0.482

0.598,0.378,0.245,0.509,0.388,0.519
0.516,0.374,0.23,0.511,0.355,0.527
0.414,0.376,0.244,0.516,0.328,0.532
0.342,0.391,0.274,0.523,0.308,0.534
0.226,0.387,0.341,0.53,0.287,0.534
