aX,aY,aZ,gX,gY,gZ
0.316,0.075,0.566,0.467,0.498,0.279
0.397,0,0.499,0.466,0.505,0.29
0.477,0,0.439,0.451,0.502,0.335
0.5,0.091,0.5,0.436,0.494,0.405
0.475,0.224,0.57,0.448,0.487,0.47
0.437,0.284,0.61,0.482,0.484,0.51
0.444,0.276,0.633,0.517,0.49,0.525
0.482,0.251,0.631,0.534,0.503,0.528
0.51,0.261,0.605,0.529,0.514,0.528
0.514,0.311,0.569,0.511,0.517,0.524
0.514,0.362,0.537,0.495,0.515,0.516
0.523,0.387,0.522,0.488,0.51,0.507
0.524,0.386,0.516,0.489,0.504,0.502
0.512,0.375,0.513,0.493,0.5,0.502
0.502,0.368,0.513,0.497,0.499,0.507

0.218,0,0.553,0.45,0.52,0.256
0.354,0,0.458,0.455,0.531,0.297
0.52,0,0.416,0.445,0.538,0.371
0.548,0.11,0.445,0.429,0.528,0.452
0.476,0.297,0.494,0.431,0.501,0.506
0.43,0.388,0.566,0.456,0.479,0.522
0.441,0.374,0.619,0.494,0.475,0.517
0.463,0.325,0.621,0.524,0.488,0.512
0.472,0.287,0.598,0.532,0.502,0.515
0.472,0.275,0.564,0.526,0.51,0.519
0.472,0.288,0.54,0.513,0.509,0.518
0.474,0.314,0.532,0.499,0.505,0.514
0.472,0.344,0.528,0.49,0.501,0.511
0.47,0.372,0.523,0.488,0.499,0.511
0.474,0.385,0.517,0.492,0.5,0.513

0.406,0,0.507,0.471,0.523,0.309
0.5,0,0.403,0.447,0.52,0.344
0.548,0.053,0.393,0.414,0.506,0.405
0.527,0.312,0.496,0.403,0.49,0.47
0.472,0.451,0.592,0.438,0.476,0.513
0.443,0.419,0.627,0.5,0.478,0.526
0.462,0.317,0.622,0.549,0.495,0.526
0.503,0.249,0.595,0.559,0.513,0.527
0.526,0.244,0.566,0.54,0.52,0.525
0.518,0.296,0.539,0.509,0.515,0.517
0.515,0.357,0.528,0.484,0.508,0.506
0.512,0.393,0.528,0.473,0.502,0.497
0.502,0.405,0.521,0.475,0.5,0.496
0.5,0.403,0.513,0.484,0.502,0.5
0.504,0.392,0.507,0.496,0.503,0.505

0.448,0,0.431,0.471,0.544,0.333
0.552,0,0.387,0.452,0.539,0.39
0.553,0.125,0.401,0.432,0.521,0.452
0.502,0.323,0.458,0.432,0.497,0.5
0.48,0.429,0.55,0.461,0.482,0.522
0.479,0.401,0.592,0.505,0.481,0.526
0.481,0.337,0.587,0.536,0.493,0.523
0.501,0.288,0.571,0.54,0.506,0.521
0.511,0.28,0.551,0.525,0.511,0.518
0.502,0.311,0.535,0.503,0.508,0.512
0.493,0.348,0.528,0.487,0.505,0.505
0.487,0.372,0.523,0.481,0.503,0.501
0.485,0.384,0.515,0.483,0.503,0.501
0.491,0.385,0.507,0.49,0.505,0.503
0.496,0.378,0.502,0.498,0.505,0.506

0.277,0.284,0.598,0.464,0.495,0.276
0.283,0.09,0.587,0.463,0.509,0.275
0.365,0,0.542,0.456,0.521,0.294
0.491,0,0.414,0.434,0.528,0.343
0.547,0.053,0.376,0.401,0.524,0.414
0.527,0.338,0.457,0.392,0.505,0.48
0.497,0.502,0.557,0.427,0.482,0.519
0.47,0.501,0.609,0.491,0.472,0.531
0.459,0.392,0.611,0.549,0.481,0.53
0.488,0.287,0.594,0.57,0.499,0.529
0.514,0.243,0.576,0.555,0.509,0.525
0.508,0.267,0.56,0.521,0.507,0.516
0.492,0.333,0.549,0.488,0.502,0.505
0.484,0.39,0.544,0.469,0.499,0.497
0.479,0.424,0.534,0.468,0.5,0.494

0.212,0.005,0.594,0.463,0.536,0.281
0.34,0,0.505,0.456,0.553,0.311
0.505,0,0.416,0.437,0.562,0.364
0.567,0.126,0.395,0.418,0.549,0.428
0.546,0.339,0.456,0.418,0.519,0.484
0.499,0.471,0.542,0.449,0.49,0.519
0.465,0.488,0.585,0.501,0.477,0.533
