aX,aY,aZ,gX,gY,gZ
0.809,0.326,0.122,0.517,0.426,0.495
0.761,0.312,0.081,0.506,0.373,0.501
0.641,0.323,0.035,0.495,0.317,0.513
0.415,0.342,0,0.487,0.263,0.525
0.107,0.388,0.066,0.479,0.215,0.538
0,0.41,0.279,0.484,0.201,0.555
0.002,0.411,0.556,0.506,0.226,0.563
0.147,0.4,0.722,0.529,0.27,0.562
0.234,0.358,0.796,0.542,0.325,0.56
0.258,0.34,0.812,0.539,0.377,0.555
0.298,0.34,0.768,0.526,0.42,0.538
0.355,0.338,0.72,0.513,0.453,0.513
0.414,0.333,0.692,0.503,0.471,0.494
0.454,0.339,0.69,0.498,0.481,0.489
0.462,0.351,0.692,0.497,0.489,0.493

0.731,0.326,0.051,0.499,0.347,0.516
0.573,0.319,0,0.494,0.291,0.532
0.359,0.308,0,0.491,0.237,0.546
0.055,0.341,0.002,0.481,0.189,0.56
0,0.376,0.196,0.472,0.163,0.573
0,0.451,0.561,0.477,0.179,0.575
0.005,0.476,0.765,0.496,0.233,0.559
0.173,0.476,0.892,0.51,0.316,0.536
0.236,0.436,0.91,0.513,0.387,0.523
0.257,0.372,0.831,0.511,0.438,0.508
0.328,0.353,0.738,0.504,0.477,0.487
0.428,0.351,0.683,0.5,0.5,0.473
0.492,0.338,0.66,0.503,0.506,0.474
0.5,0.337,0.659,0.506,0.504,0.487
0.486,0.352,0.652,0.507,0.504,0.5

0.446,0.337,0.075,0.512,0.281,0.528
0.217,0.306,0.114,0.508,0.242,0.536
0.07,0.295,0.243,0.497,0.22,0.543
0.079,0.363,0.465,0.48,0.224,0.545
0.145,0.446,0.647,0.472,0.251,0.539
0.211,0.479,0.768,0.478,0.295,0.53
0.233,0.478,0.837,0.486,0.348,0.523
0.269,0.428,0.823,0.494,0.399,0.51
0.317,0.377,0.763,0.497,0.442,0.494
0.402,0.356,0.71,0.5,0.473,0.486
0.459,0.35,0.678,0.505,0.489,0.492
0.47,0.35,0.665,0.512,0.495,0.507
0.47,0.355,0.663,0.517,0.5,0.519
0.474,0.362,0.654,0.518,0.508,0.524
0.48,0.372,0.632,0.516,0.517,0.524

0.784,0.347,0.215,0.507,0.496,0.475
0.879,0.307,0.111,0.507,0.459,0.484
0.84,0.285,0.057,0.494,0.398,0.499
0.709,0.303,0.033,0.477,0.331,0.518
0.522,0.313,0,0.468,0.276,0.534
0.196,0.395,0,0.456,0.226,0.544
0,0.445,0.153,0.456,0.194,0.565
0,0.428,0.4,0.478,0.193,0.588
0,0.415,0.643,0.51,0.221,0.587
0.102,0.348,0.779,0.536,0.283,0.575
0.212,0.338,0.843,0.538,0.356,0.567
0.265,0.346,0.798,0.525,0.412,0.552
0.32,0.358,0.718,0.508,0.448,0.524
0.406,0.367,0.67,0.495,0.471,0.496
0.475,0.364,0.66,0.488,0.48,0.481

0.751,0.375,0.099,0.513,0.397,0.509
0.679,0.378,0.059,0.511,0.347,0.517
0.514,0.369,0.051,0.515,0.297,0.526
0.344,0.365,0.05,0.52,0.253,0.535
0.12,0.367,0.103,0.525,0.219,0.54
0,0.316,0.255,0.527,0.205,0.541
0,0.285,0.487,0.524,0.22,0.53
0.172,0.311,0.697,0.509,0.263,0.516
0.302,0.382,0.799,0.489,0.32,0.512
0.283,0.405,0.815,0.479,0.369,0.512
0.288,0.403,0.765,0.478,0.415,0.503
0.379,0.398,0.707,0.482,0.457,0.487
0.462,0.374,0.667,0.492,0.481,0.481
0.486,0.349,0.647,0.501,0.489,0.488
0.484,0.344,0.639,0.506,0.492,0.5

0.765,0.309,0.004,0.496,0.337,0.518
0.549,0.304,0,0.489,0.268,0.538
0.209,0.308,0,0.486,0.216,0.551
0,0.338,0.043,0.479,0.186,0.565
0,0.387,0.399,0.482,0.188,0.573
0,0.423,0.648,0.5,0.205,0.56
0.108,0.389,0.782,0.512,0.253,0.541
0.185,0.403,0.88,0.505,0.325,0.535
0.199,0.419,0.875,0.494,0.382,0.532
0.223,0.413,0.803,0.489,0.428,0.512
0.322,0.405,0.74,0.489,0.467,0.492
0.419,0.392,0.704,0.495,0.489,0.486
0.454,0.38,0.688,0.504,0.496,0.495
0.451,0.377,0.679,0.512,0.498,0.51
0.447,0.386,0.667,0.515,0.504,0.519

0.601,0.401,0.076,0.514,0.317,0.511
0.42,0.373,0.054,0.523,0.273,0.526
0.19,0.318,0.104,0.533,0.236,0.539
0.083,0.271,0.245,0.535,0.223,0.547
0.112,0.292,0.448,0.525,0.236,0.537
0.187,0.349,0.601,0.507,0.26,0.52
0.223,0.418,0.685,0.49,0.29,0.506
0.232,0.466,0.755,0.48,0.328,0.498
0.255,0.439,0.767,0.485,0.37,0.491
0.296,0.37,0.735,0.496,0.411,0.484
0.36,0.325,0.706,0.502,0.444,0.482
0.419,0.312,0.691,0.505,0.467,0.491
0.439,0.315,0.681,0.508,0.48,0.505
0.435,0.321,0.666,0.509,0.489,0.519
0.425,0.334,0.648,0.509,0.499,0.527

0.802,0.408,0.13,0.524,0.403,0.502
0.689,0.397,0.138,0.529,0.35,0.521
0.537,0.346,0.136,0.543,0.303,0.543
0.341,0.269,0.143,0.556,0.27,0.558
0.18,0.237,0.189,0.561,0.254,0.56
0.14,0.282,0.333,0.547,0.252,0.547
0.182,0.35,0.459,0.529,0.257,0.531
0.211,0.381,0.534,0.519,0.27,0.514
0.239,0.391,0.618,0.514,0.295,0.507
0.263,0.389,0.705,0.511,0.323,0.508
0.265,0.38,0.762,0.508,0.352,0.507
0.273,0.373,0.784,0.504,0.387,0.502
0.313,0.38,0.782,0.499,0.425,0.494
0.37,0.392,0.767,0.497,0.458,0.491
0.405,0.392,0.742,0.5,0.482,0.494

0.779,0.327,0.117,0.511,0.385,0.516
0.712,0.33,0.072,0.504,0.335,0.528
0.559,0.32,0.019,0.502,0.28,0.542
0.315,0.317,0,0.502,0.227,0.553
0.02,0.329,0.044,0.493,0.187,0.561
0,0.336,0.244,0.487,0.177,0.564
0,0.393,0.534,0.484,0.2,0.559
0.082,0.425,0.714,0.489,0.248,0.546
0.2,0.415,0.823,0.493,0.309,0.535
0.216,0.403,0.832,0.487,0.363,0.524
0.278,0.411,0.779,0.478,0.411,0.504
0.38,0.416,0.719,0.475,0.45,0.486
0.45,0.405,0.684,0.482,0.471,0.485
0.472,0.397,0.68,0.493,0.478,0.497
0.463,0.391,0.689,0.503,0.483,0.514

0.61,0.365,0.096,0.557,0.311,0.545
0.355,0.283,0.095,0.564,0.256,0.552
0.101,0.191,0.132,0.564,0.218,0.555
0,0.197,0.271,0.545,0.208,0.546
0.063,0.285,0.459,0.516,0.222,0.533
0.161,0.371,0.553,0.498,0.246,0.525
0.189,0.405,0.616,0.491,0.274,0.518
0.191,0.407,0.682,0.488,0.304,0.513
0.219,0.399,0.729,0.488,0.337,0.508
0.251,0.404,0.756,0.489,0.372,0.502
0.29,0.402,0.766,0.492,0.405,0.498
0.33,0.399,0.765,0.498,0.436,0.5
0.363,0.396,0.754,0.504,0.462,0.506
0.382,0.391,0.731,0.511,0.484,0.515
0.388,0.388,0.7,0.516,0.502,0.522

0.754,0.359,0.081,0.502,0.364,0.506
0.582,0.338,0.056,0.497,0.307,0.519
0.408,0.36,0.036,0.491,0.26,0.526
