aX,aY,aZ,gX,gY,gZ
0.722,0.371,0.075,0.127,0.412,0.389
0.659,0.488,0.087,0.087,0.394,0.383
0.524,0.661,0.239,0.083,0.387,0.394
0.322,0.859,0.503,0.13,0.397,0.428
0.141,0.997,0.72,0.235,0.435,0.481
0.135,0.996,0.776,0.374,0.496,0.54
0.291,0.836,0.733,0.497,0.554,0.571
0.451,0.591,0.665,0.56,0.585,0.563
0.584,0.406,0.618,0.549,0.586,0.531
0.607,0.365,0.587,0.492,0.558,0.493
0.549,0.415,0.572,0.437,0.522,0.468
0.468,0.517,0.58,0.412,0.503,0.466
0.444,0.618,0.586,0.424,0.509,0.484
0.484,0.641,0.565,0.461,0.525,0.503
0.544,0.582,0.537,0.5,0.534,0.511

0.641,0.166,0.247,0.352,0.458,0.461
0.667,0.155,0.171,0.295,0.441,0.456
0.679,0.172,0.067,0.23,0.423,0.452
0.663,0.253,0,0.161,0.403,0.447
0.648,0.382,0,0.097,0.384,0.44
0.63,0.492,0,0.054,0.372,0.437
0.579,0.587,0,0.039,0.368,0.444
0.5,0.714,0,0.052,0.368,0.464
0.392,0.879,0.205,0.102,0.374,0.495
0.254,1,0.476,0.194,0.388,0.536
0.15,1,0.698,0.317,0.418,0.575
0.198,0.988,0.808,0.441,0.464,0.588
0.316,0.752,0.797,0.526,0.509,0.567
0.414,0.52,0.75,0.549,0.535,0.532
0.469,0.418,0.693,0.521,0.539,0.503

0.585,0.225,0.345,0.427,0.479,0.482
0.603,0.157,0.305,0.388,0.471,0.477
0.623,0.098,0.236,0.334,0.459,0.473
0.648,0.051,0.127,0.267,0.445,0.468
0.656,0.08,0,0.188,0.427,0.463
0.633,0.205,0,0.11,0.407,0.464
0.593,0.359,0,0.054,0.393,0.472
0.524,0.508,0,0.032,0.388,0.489
0.463,0.652,0,0.047,0.393,0.511
0.405,0.803,0.122,0.101,0.402,0.539
0.313,0.918,0.357,0.189,0.414,0.574
0.243,0.96,0.553,0.295,0.434,0.603
0.266,0.947,0.664,0.392,0.461,0.605
0.363,0.873,0.712,0.459,0.488,0.573
0.407,0.739,0.716,0.494,0.503,0.529

