aX,aY,aZ,gX,gY,gZ
0.365,0.866,0.553,0.537,0.52,0.511
0.387,0.79,0.544,0.546,0.532,0.474
0.435,0.729,0.535,0.539,0.538,0.434
0.463,0.715,0.513,0.523,0.536,0.4
0.486,0.722,0.493,0.51,0.529,0.372
0.494,0.691,0.469,0.507,0.52,0.347
0.486,0.591,0.442,0.511,0.509,0.326
0.489,0.435,0.411,0.514,0.499,0.31
0.504,0.315,0.391,0.511,0.489,0.297
0.505,0.177,0.384,0.504,0.478,0.295
0.528,0,0.369,0.501,0.473,0.304
0.614,0,0.352,0.494,0.473,0.329
0.672,0,0.405,0.476,0.467,0.377
0.64,0.001,0.517,0.46,0.459,0.439
0.601,0.11,0.608,0.471,0.462,0.493

0.414,0.824,0.531,0.531,0.502,0.531
0.409,0.794,0.533,0.543,0.509,0.507
0.406,0.769,0.534,0.543,0.515,0.479
0.408,0.771,0.528,0.533,0.517,0.447
0.417,0.768,0.523,0.521,0.515,0.413
0.44,0.752,0.52,0.511,0.51,0.38
0.449,0.732,0.504,0.504,0.504,0.353
0.445,0.709,0.491,0.502,0.498,0.332
0.427,0.661,0.479,0.507,0.492,0.316
0.404,0.572,0.471,0.518,0.488,0.302
0.377,0.445,0.47,0.531,0.487,0.291
0.357,0.246,0.449,0.542,0.492,0.288
0.404,0.008,0.419,0.545,0.501,0.297
0.538,0,0.398,0.529,0.509,0.324
0.639,0,0.401,0.496,0.505,0.373

0.582,0.115,0.63,0.489,0.462,0.48
0.563,0.164,0.681,0.51,0.478,0.523
0.572,0.174,0.672,0.529,0.5,0.542
0.609,0.211,0.64,0.529,0.521,0.547
0.638,0.286,0.605,0.513,0.531,0.544
0.644,0.37,0.572,0.496,0.53,0.539
0.639,0.437,0.548,0.486,0.526,0.533
0.634,0.479,0.534,0.485,0.521,0.529
0.63,0.498,0.527,0.489,0.518,0.526
0.625,0.504,0.523,0.493,0.515,0.526
0.617,0.506,0.52,0.496,0.513,0.526
0.606,0.505,0.517,0.497,0.512,0.524
0.598,0.502,0.513,0.497,0.511,0.521
0.592,0.499,0.511,0.496,0.51,0.517
0.588,0.5,0.511,0.495,0.508,0.514

0.437,0.8,0.415,0.505,0.525,0.41
0.455,0.804,0.401,0.519,0.518,0.39
0.467,0.773,0.399,0.535,0.509,0.374
0.474,0.695,0.426,0.545,0.498,0.357
0.465,0.626,0.454,0.542,0.489,0.34
0.452,0.581,0.474,0.527,0.482,0.322
0.434,0.526,0.489,0.513,0.477,0.302
0.419,0.378,0.486,0.503,0.474,0.283
0.431,0.191,0.471,0.494,0.475,0.27
0.476,0.015,0.437,0.484,0.475,0.275
0.519,0,0.394,0.483,0.473,0.309
0.555,0,0.439,0.496,0.474,0.377
0.581,0,0.56,0.514,0.478,0.47
0.575,0,0.633,0.537,0.484,0.546
0.597,0.017,0.65,0.553,0.497,0.578

