aX,aY,aZ,gX,gY,gZ
0.456,0.232,0.415,0.479,0.438,0.586
0.403,0.281,0.457,0.479,0.419,0.62
0.37,0.319,0.496,0.488,0.409,0.653
0.33,0.386,0.527,0.497,0.411,0.687
0.263,0.445,0.564,0.508,0.42,0.721
0.169,0.505,0.625,0.519,0.435,0.753
0.066,0.576,0.673,0.523,0.459,0.78
0,0.638,0.682,0.518,0.488,0.797
0,0.772,0.664,0.499,0.522,0.795
0,1,0.631,0.462,0.555,0.77
0.395,1,0.605,0.438,0.577,0.714
0.573,1,0.501,0.474,0.568,0.616
0.492,0.982,0.458,0.533,0.538,0.532
0.427,0.698,0.461,0.556,0.51,0.503
0.435,0.63,0.504,0.54,0.495,0.511

0.491,0.225,0.543,0.457,0.504,0.599
0.466,0.301,0.516,0.48,0.498,0.652
0.381,0.382,0.494,0.504,0.489,0.7
0.312,0.462,0.503,0.522,0.486,0.741
0.218,0.493,0.532,0.536,0.492,0.773
0.058,0.557,0.547,0.532,0.505,0.789
0,0.812,0.522,0.5,0.534,0.787
0.003,1,0.443,0.462,0.574,0.763
0.421,1,0.396,0.458,0.602,0.721
0.608,1,0.369,0.523,0.579,0.654
0.534,1,0.396,0.603,0.534,0.585
0.452,0.845,0.424,0.649,0.507,0.543
0.45,0.559,0.477,0.653,0.492,0.533
0.461,0.482,0.516,0.611,0.491,0.538
0.48,0.573,0.535,0.549,0.503,0.538

0.453,0.385,0.535,0.41,0.465,0.609
0.398,0.487,0.543,0.447,0.465,0.655
0.378,0.514,0.524,0.483,0.467,0.694
0.314,0.58,0.51,0.496,0.47,0.719
0.26,0.758,0.483,0.484,0.482,0.727
0.297,0.984,0.459,0.466,0.501,0.718
0.395,1,0.469,0.47,0.513,0.694
0.429,1,0.509,0.498,0.512,0.658
0.441,1,0.54,0.527,0.507,0.623
0.45,0.909,0.558,0.543,0.506,0.6
0.449,0.826,0.567,0.545,0.507,0.583
0.463,0.763,0.562,0.539,0.512,0.569
0.48,0.735,0.554,0.527,0.519,0.556
0.488,0.742,0.541,0.513,0.522,0.541
0.489,0.754,0.529,0.505,0.523,0.527

0.497,0.159,0.439,0.473,0.536,0.57
0.504,0.227,0.424,0.471,0.518,0.615
0.441,0.298,0.43,0.479,0.493,0.655
0.392,0.35,0.465,0.496,0.477,0.693
0.324,0.384,0.497,0.513,0.47,0.728
0.224,0.445,0.53,0.525,0.47,0.762
0.11,0.562,0.564,0.532,0.478,0.792
0,0.78,0.567,0.535,0.496,0.812
0,0.999,0.536,0.535,0.521,0.813
0.076,1,0.511,0.535,0.545,0.792
0.265,1,0.552,0.524,0.56,0.742
0.483,1,0.569,0.497,0.562,0.664
0.553,1,0.497,0.48,0.551,0.573
0.493,0.925,0.467,0.487,0.528,0.503
0.458,0.797,0.511,0.493,0.504,0.48

0.056,0.728,0.558,0.55,0.528,0.798
0,0.916,0.566,0.559,0.548,0.8
0.068,1,0.588,0.572,0.568,0.786
0.309,1,0.59,0.592,0.583,0.753
0.522,1,0.571,0.623,0.591,0.692
0.527,1,0.478,0.66,0.588,0.61
0.517,0.749,0.404,0.681,0.574,0.551
0.51,0.47,0.407,0.671,0.54,0.539
0.518,0.366,0.477,0.62,0.508,0.542
0.536,0.434,0.534,0.542,0.501,0.534
0.525,0.535,0.541,0.474,0.504,0.513
0.492,0.611,0.537,0.435,0.5,0.491
0.445,0.667,0.553,0.42,0.489,0.482
0.41,0.688,0.572,0.422,0.483,0.48
0.401,0.683,0.584,0.433,0.484,0.481

0.436,0.292,0.576,0.432,0.541,0.598
0.39,0.382,0.57,0.447,0.541,0.634
0.336,0.416,0.552,0.478,0.542,0.673
0.276,0.454,0.542,0.504,0.545,0.713
0.206,0.521,0.534,0.521,0.554,0.75
0.107,0.597,0.516,0.532,0.566,0.776
0,0.686,0.485,0.535,0.581,0.788
0,0.865,0.45,0.526,0.602,0.785
0.031,1,0.4,0.506,0.627,0.764
0.324,1,0.32,0.491,0.647,0.719
0.605,1,0.249,0.498,0.648,0.64
0.647,1,0.235,0.526,0.614,0.557
0.542,1,0.291,0.556,0.559,0.515
0.473,0.879,0.36,0.581,0.511,0.503
0.44,0.733,0.439,0.593,0.487,0.5

0.15,0.632,0.578,0.549,0.534,0.771
0.063,0.753,0.579,0.552,0.555,0.781
0.043,0.898,0.569,0.554,0.578,0.773
0.102,1,0.543,0.553,0.598,0.748
0.294,1,0.501,0.548,0.614,0.705
0.532,1,0.446,0.545,0.628,0.645
0.644,1,0.394,0.56,0.623,0.575
0.627,0.97,0.378,0.59,0.589,0.52
0.567,0.817,0.392,0.619,0.543,0.497
0.505,0.635,0.435,0.637,0.503,0.5
0.476,0.481,0.488,0.63,0.486,0.508
0.482,0.425,0.517,0.592,0.49,0.511
0.488,0.437,0.519,0.542,0.497,0.506
0.478,0.484,0.516,0.498,0.5,0.496
0.472,0.534,0.512,0.464,0.498,0.488

0.537,0.294,0.445,0.464,0.547,0.62
0.494,0.365,0.457,0.473,0.53,0.656
0.403,0.412,0.475,0.49,0.516,0.692
0.299,0.46,0.498,0.505,0.509,0.728
0.183,0.561,0.529,0.514,0.512,0.76
0.068,0.741,0.552,0.523,0.525,0.786
