aX,aY,aZ,gX,gY,gZ
0.117,0.564,0.539,0.495,0.537,0.758
0.106,0.732,0.495,0.471,0.569,0.756
0.201,0.879,0.417,0.45,0.592,0.725
0.377,1,0.355,0.442,0.591,0.676
0.52,1,0.369,0.456,0.574,0.625
0.618,1,0.402,0.487,0.552,0.582
0.585,0.978,0.421,0.527,0.529,0.547
0.498,0.786,0.461,0.557,0.505,0.519
0.442,0.644,0.504,0.564,0.492,0.504
0.432,0.595,0.516,0.55,0.492,0.5
0.438,0.61,0.516,0.529,0.501,0.502
0.452,0.645,0.513,0.517,0.508,0.503
0.457,0.661,0.511,0.513,0.509,0.5
0.451,0.652,0.509,0.513,0.507,0.496
0.443,0.628,0.507,0.513,0.504,0.491

0.204,0.783,0.551,0.518,0.538,0.762
0.249,0.997,0.532,0.531,0.556,0.762
0.397,1,0.481,0.561,0.562,0.736
0.529,1,0.433,0.594,0.554,0.69
0.599,0.958,0.426,0.61,0.539,0.638
0.608,0.765,0.429,0.612,0.526,0.584
0.525,0.557,0.441,0.602,0.506,0.54
0.469,0.489,0.482,0.562,0.489,0.517
0.471,0.549,0.525,0.51,0.485,0.506
0.475,0.636,0.547,0.473,0.49,0.495
0.47,0.703,0.56,0.458,0.495,0.485
0.453,0.731,0.57,0.462,0.495,0.479
0.425,0.718,0.571,0.476,0.492,0.479
0.405,0.68,0.566,0.49,0.491,0.483
0.403,0.643,0.558,0.5,0.494,0.487

0.202,0.835,0.557,0.538,0.533,0.779
0.265,1,0.545,0.553,0.548,0.769
0.404,1,0.485,0.578,0.554,0.73
0.502,0.982,0.429,0.595,0.552,0.676
0.559,0.843,0.436,0.591,0.551,0.621
0.571,0.7,0.455,0.578,0.543,0.569
0.523,0.598,0.471,0.559,0.52,0.535
0.487,0.57,0.508,0.528,0.501,0.52
0.482,0.599,0.538,0.496,0.496,0.511
0.476,0.645,0.549,0.475,0.499,0.502
0.463,0.682,0.551,0.467,0.501,0.496
0.445,0.695,0.556,0.471,0.501,0.494
0.425,0.687,0.557,0.48,0.499,0.494
0.417,0.672,0.55,0.488,0.5,0.495
0.426,0.654,0.54,0.494,0.502,0.495

0.385,0.973,0.504,0.542,0.545,0.702
0.499,1,0.481,0.565,0.545,0.674
0.597,0.998,0.468,0.589,0.537,0.64
0.625,0.852,0.457,0.606,0.52,0.602
0.589,0.635,0.471,0.604,0.503,0.561
0.531,0.475,0.514,0.576,0.492,0.523
0.5,0.469,0.539,0.522,0.49,0.496
0.501,0.562,0.537,0.468,0.499,0.478
0.521,0.659,0.537,0.436,0.511,0.466
0.541,0.731,0.551,0.429,0.517,0.46
0.531,0.76,0.555,0.442,0.515,0.46
0.508,0.746,0.548,0.465,0.507,0.467
0.494,0.702,0.535,0.488,0.501,0.476
0.492,0.652,0.522,0.506,0.498,0.485
0.499,0.611,0.512,0.515,0.497,0.491

0.503,1,0.485,0.56,0.536,0.692
0.63,0.944,0.409,0.584,0.533,0.649
0.692,0.743,0.429,0.59,0.519,0.6
0.608,0.566,0.474,0.569,0.496,0.543
0.489,0.526,0.503,0.52,0.486,0.495
0.48,0.608,0.52,0.467,0.493,0.473
0.528,0.71,0.546,0.439,0.505,0.467
0.55,0.769,0.573,0.443,0.51,0.471
0.531,0.762,0.57,0.469,0.506,0.479
0.51,0.709,0.551,0.498,0.501,0.491
0.5,0.651,0.527,0.517,0.499,0.501
0.5,0.614,0.508,0.524,0.499,0.507
0.508,0.592,0.494,0.521,0.501,0.507
0.517,0.589,0.487,0.513,0.503,0.503
0.528,0.597,0.489,0.503,0.504,0.497

0.654,0.998,0.479,0.586,0.555,0.65
0.679,0.876,0.462,0.594,0.536,0.596
0.614,0.697,0.44,0.587,0.515,0.54
0.537,0.548,0.461,0.566,0.496,0.502
0.499,0.528,0.494,0.526,0.484,0.485
0.495,0.599,0.519,0.486,0.484,0.48
0.501,0.679,0.538,0.465,0.492,0.476
0.506,0.73,0.549,0.463,0.497,0.473
0.494,0.741,0.547,0.474,0.496,0.472
0.478,0.719,0.54,0.491,0.493,0.474
0.472,0.679,0.534,0.505,0.49,0.477
0.472,0.64,0.528,0.513,0.49,0.478
0.476,0.61,0.52,0.515,0.492,0.478
0.482,0.585,0.507,0.512,0.495,0.477
0.491,0.571,0.497,0.506,0.498,0.477

0.312,0.871,0.446,0.495,0.554,0.73
0.476,0.967,0.384,0.501,0.56,0.696
0.569,0.992,0.379,0.514,0.547,0.652
0.599,0.952,0.398,0.522,0.525,0.602
0.559,0.839,0.43,0.524,0.509,0.552
0.501,0.718,0.459,0.515,0.5,0.514
0.499,0.672,0.489,0.497,0.495,0.496
0.507,0.691,0.513,0.482,0.495,0.493
0.518,0.709,0.531,0.479,0.499,0.498
0.515,0.701,0.527,0.489,0.503,0.502
0.505,0.684,0.513,0.5,0.505,0.506
0.495,0.664,0.501,0.507,0.506,0.509
0.492,0.645,0.491,0.511,0.507,0.51
0.494,0.638,0.481,0.51,0.508,0.508
0.5,0.633,0.474,0.508,0.508,0.504

0.258,0.634,0.571,0.509,0.523,0.747
0.253,0.84,0.547,0.515,0.543,0.763
0.343,0.983,0.501,0.534,0.557,0.759
0.467,0.995,0.47,0.567,0.556,0.735
0.503,0.915,0.465,0.592,0.541,0.7
0.498,0.826,0.47,0.591,0.529,0.657
0.528,0.703,0.463,0.57,0.528,0.609
0.551,0.607,0.455,0.535,0.528,0.56
0.544,0.607,0.462,0.494,0.519,0.525
0.537,0.678,0.494,0.46,0.506,0.506
0.516,0.741,0.532,0.447,0.498,0.495
0.483,0.761,0.56,0.453,0.496,0.489
0.453,0.747,0.567,0.468,0.498,0.487
0.434,0.714,0.555,0.483,0.501,0.49
0.436,0.691,0.537,0.494,0.505,0.494

0.354,0.835,0.436,0.455,0.543,0.696
0.5,0.925,0.403,0.459,0.562,0.661
0.588,1,0.403,0.473,0.557,0.629
0.603,1,0.413,0.5,0.533,0.604
0.557,0.973,0.442,0.538,0.504,0.587
0.509,0.819,0.501,0.565,0.486,0.575
0.494,0.71,0.542,0.567,0.482,0.567
0.492,0.655,0.543,0.553,0.489,0.559
0.509,0.641,0.532,0.532,0.502,0.549
0.524,0.655,0.523,0.513,0.512,0.538
0.526,0.684,0.521,0.499,0.514,0.529
0.524,0.714,0.516,0.494,0.513,0.521
0.518,0.718,0.507,0.495,0.51,0.512
