aX,aY,aZ,gX,gY,gZ
0.669,0.678,0.267,0.517,0.389,0.452
0.61,0.657,0.214,0.525,0.351,0.448
0.503,0.631,0.178,0.527,0.312,0.445
0.382,0.604,0.19,0.526,0.284,0.441
0.297,0.589,0.251,0.52,0.273,0.436
0.259,0.576,0.343,0.508,0.279,0.431
0.253,0.599,0.459,0.494,0.296,0.43
0.255,0.627,0.613,0.481,0.319,0.434
0.256,0.622,0.763,0.476,0.349,0.448
0.259,0.608,0.815,0.485,0.386,0.468
0.307,0.572,0.766,0.504,0.43,0.489
0.387,0.561,0.699,0.515,0.466,0.505
0.44,0.593,0.642,0.513,0.483,0.512
0.449,0.602,0.619,0.509,0.489,0.509
0.444,0.589,0.628,0.506,0.493,0.505

0.535,0.626,0.258,0.495,0.36,0.46
0.484,0.61,0.267,0.498,0.332,0.463
0.427,0.588,0.292,0.496,0.312,0.461
0.386,0.595,0.359,0.491,0.303,0.455
0.381,0.624,0.458,0.485,0.307,0.448
0.351,0.622,0.545,0.484,0.316,0.444
0.308,0.607,0.62,0.484,0.331,0.448
0.283,0.594,0.685,0.482,0.355,0.464
0.3,0.628,0.716,0.484,0.388,0.486
0.359,0.643,0.698,0.497,0.427,0.502
0.418,0.64,0.664,0.511,0.456,0.508
0.448,0.643,0.627,0.515,0.471,0.507
0.444,0.639,0.604,0.513,0.48,0.505
0.45,0.626,0.607,0.511,0.49,0.501
0.469,0.606,0.617,0.508,0.5,0.499

0.71,0.695,0.278,0.493,0.44,0.463
0.681,0.693,0.216,0.496,0.405,0.462
0.64,0.637,0.156,0.503,0.368,0.467
0.558,0.6,0.137,0.51,0.325,0.473
0.39,0.6,0.15,0.515,0.281,0.466
0.25,0.614,0.213,0.511,0.261,0.453
0.237,0.608,0.356,0.506,0.272,0.444
0.265,0.582,0.508,0.507,0.293,0.44
0.278,0.577,0.636,0.502,0.315,0.446
0.278,0.574,0.723,0.492,0.342,0.466
0.291,0.583,0.764,0.491,0.379,0.488
0.318,0.611,0.749,0.496,0.421,0.503
0.371,0.642,0.706,0.502,0.458,0.508
0.43,0.659,0.664,0.504,0.484,0.507
0.463,0.646,0.635,0.504,0.499,0.501

0.639,0.673,0.191,0.521,0.363,0.456
0.52,0.634,0.163,0.528,0.322,0.455
0.374,0.635,0.165,0.529,0.29,0.451
0.257,0.648,0.226,0.527,0.278,0.443
0.244,0.642,0.35,0.526,0.289,0.436
0.289,0.598,0.501,0.526,0.305,0.428
0.314,0.559,0.621,0.518,0.318,0.425
0.301,0.548,0.69,0.5,0.337,0.433
0.284,0.575,0.728,0.487,0.368,0.449
0.283,0.619,0.73,0.489,0.405,0.464
0.33,0.644,0.706,0.5,0.443,0.475
0.383,0.636,0.669,0.51,0.469,0.482
0.412,0.611,0.627,0.515,0.484,0.489
0.431,0.592,0.604,0.513,0.495,0.491
0.446,0.58,0.598,0.509,0.504,0.491

0.662,0.609,0.114,0.504,0.365,0.455
0.584,0.568,0.105,0.504,0.321,0.454
0.364,0.587,0.087,0.497,0.271,0.443
0.173,0.668,0.152,0.479,0.245,0.43
0.155,0.742,0.324,0.47,0.256,0.421
0.218,0.706,0.491,0.48,0.282,0.417
0.252,0.647,0.616,0.492,0.303,0.424
0.217,0.584,0.716,0.494,0.327,0.448
0.229,0.56,0.795,0.494,0.365,0.479
0.291,0.558,0.789,0.502,0.415,0.501
0.366,0.585,0.731,0.507,0.46,0.51
0.435,0.638,0.676,0.505,0.487,0.51
0.47,0.646,0.635,0.506,0.499,0.506
0.477,0.623,0.615,0.507,0.502,0.501
0.476,0.604,0.602,0.507,0.506,0.5

0.732,0.702,0.15,0.505,0.369,0.431
0.587,0.69,0.084,0.507,0.32,0.423
0.341,0.675,0.048,0.508,0.272,0.42
0.106,0.674,0.106,0.508,0.242,0.417
0.047,0.635,0.281,0.507,0.243,0.414
0.151,0.569,0.497,0.502,0.264,0.415
0.232,0.532,0.621,0.489,0.289,0.423
0.265,0.557,0.702,0.477,0.322,0.441
