aX,aY,aZ,gX,gY,gZ
0.614,0.767,0.323,0.736,0.437,0.547
0.606,0.746,0.303,0.776,0.425,0.548
0.581,0.737,0.29,0.807,0.417,0.543
0.552,0.737,0.276,0.827,0.416,0.535
0.518,0.731,0.273,0.837,0.419,0.523
0.461,0.689,0.3,0.839,0.428,0.507
0.42,0.624,0.348,0.832,0.442,0.49
0.402,0.533,0.396,0.81,0.459,0.475
0.392,0.392,0.443,0.772,0.474,0.464
0.403,0.238,0.485,0.718,0.489,0.453
0.439,0.13,0.517,0.647,0.504,0.447
0.435,0.157,0.526,0.572,0.514,0.451
0.493,0.257,0.562,0.512,0.521,0.47
0.529,0.347,0.598,0.485,0.52,0.49
0.5,0.422,0.625,0.479,0.514,0.504

0.615,0.759,0.31,0.724,0.441,0.559
0.628,0.744,0.272,0.767,0.428,0.564
0.631,0.719,0.239,0.805,0.416,0.563
0.617,0.687,0.219,0.835,0.406,0.559
0.582,0.663,0.216,0.852,0.399,0.552
0.536,0.64,0.241,0.856,0.398,0.542
0.47,0.582,0.305,0.847,0.403,0.526
0.404,0.499,0.393,0.824,0.42,0.505
0.356,0.398,0.473,0.782,0.444,0.485
0.334,0.285,0.528,0.723,0.471,0.468
0.359,0.194,0.558,0.651,0.499,0.458
0.426,0.197,0.57,0.575,0.521,0.459
0.488,0.282,0.575,0.515,0.531,0.47
0.529,0.378,0.6,0.485,0.529,0.486
0.517,0.459,0.633,0.482,0.518,0.499

0.595,0.753,0.317,0.745,0.456,0.54
0.594,0.738,0.289,0.775,0.447,0.54
0.583,0.727,0.273,0.799,0.44,0.538
0.573,0.719,0.264,0.816,0.435,0.532
0.556,0.716,0.264,0.828,0.432,0.521
0.519,0.698,0.27,0.833,0.429,0.508
0.454,0.63,0.291,0.829,0.429,0.494
0.391,0.503,0.344,0.813,0.437,0.475
0.338,0.333,0.426,0.779,0.453,0.455
0.334,0.154,0.517,0.719,0.477,0.44
0.358,0.08,0.56,0.634,0.503,0.435
0.407,0.163,0.565,0.545,0.524,0.446
0.515,0.301,0.59,0.487,0.534,0.469
0.562,0.431,0.628,0.475,0.528,0.487
0.507,0.505,0.656,0.49,0.51,0.499

0.587,0.745,0.354,0.67,0.462,0.536
0.59,0.78,0.331,0.703,0.455,0.54
0.597,0.815,0.299,0.74,0.447,0.544
0.611,0.82,0.256,0.782,0.438,0.545
0.61,0.789,0.211,0.822,0.429,0.54
0.589,0.747,0.178,0.853,0.422,0.53
0.552,0.733,0.166,0.87,0.418,0.518
0.505,0.712,0.174,0.872,0.418,0.503
0.438,0.624,0.212,0.865,0.424,0.482
0.391,0.484,0.284,0.843,0.438,0.458
