aX,aY,aZ,gX,gY,gZ
0.539,0.762,0.41,0.637,0.484,0.542
0.563,0.731,0.385,0.68,0.475,0.555
0.583,0.703,0.37,0.719,0.468,0.564
0.583,0.7,0.371,0.749,0.465,0.567
0.56,0.719,0.372,0.772,0.466,0.567
0.529,0.746,0.367,0.788,0.468,0.564
0.507,0.735,0.374,0.798,0.473,0.557
0.467,0.672,0.402,0.798,0.48,0.544
0.422,0.603,0.434,0.783,0.492,0.525
0.402,0.534,0.459,0.755,0.507,0.504
0.413,0.46,0.475,0.718,0.52,0.485
0.43,0.389,0.484,0.678,0.529,0.47
0.474,0.341,0.497,0.636,0.533,0.463
0.519,0.317,0.509,0.598,0.531,0.465
0.547,0.312,0.527,0.567,0.523,0.47

0.574,0.919,0.366,0.74,0.479,0.535
0.592,0.899,0.284,0.802,0.468,0.543
0.582,0.846,0.2,0.856,0.457,0.55
0.549,0.784,0.154,0.89,0.452,0.557
0.499,0.697,0.169,0.899,0.456,0.558
0.435,0.557,0.236,0.878,0.471,0.547
0.388,0.408,0.324,0.826,0.498,0.521
0.357,0.275,0.379,0.751,0.526,0.487
0.401,0.187,0.409,0.662,0.549,0.462
0.496,0.205,0.44,0.575,0.561,0.449
0.61,0.303,0.484,0.511,0.559,0.452
0.657,0.407,0.538,0.481,0.537,0.464
0.595,0.485,0.59,0.48,0.504,0.477
0.497,0.509,0.633,0.494,0.479,0.485
0.435,0.486,0.665,0.507,0.474,0.488

0.563,0.894,0.385,0.665,0.476,0.519
0.592,0.902,0.332,0.721,0.465,0.526
0.618,0.88,0.268,0.774,0.453,0.531
0.625,0.844,0.207,0.819,0.441,0.533
0.603,0.791,0.157,0.853,0.432,0.53
0.55,0.71,0.137,0.873,0.427,0.523
0.489,0.612,0.163,0.874,0.431,0.513
0.445,0.502,0.228,0.852,0.444,0.499
0.404,0.372,0.301,0.808,0.463,0.477
0.362,0.233,0.372,0.742,0.485,0.454
0.38,0.145,0.439,0.661,0.508,0.438
0.457,0.174,0.496,0.575,0.525,0.433
0.529,0.272,0.539,0.509,0.529,0.442
0.559,0.391,0.589,0.477,0.519,0.457
0.533,0.48,0.635,0.475,0.502,0.471

0.6,0.819,0.313,0.764,0.463,0.549
0.601,0.793,0.276,0.803,0.457,0.552
0.591,0.76,0.248,0.83,0.454,0.551
0.567,0.73,0.242,0.845,0.454,0.547
0.529,0.679,0.256,0.848,0.456,0.537
0.479,0.582,0.291,0.835,0.464,0.52
0.429,0.467,0.344,0.803,0.479,0.497
0.395,0.35,0.398,0.752,0.497,0.474
0.403,0.261,0.439,0.687,0.514,0.459
0.462,0.221,0.471,0.619,0.527,0.452
0.536,0.255,0.509,0.559,0.531,0.455
0.571,0.329,0.546,0.516,0.524,0.463
0.558,0.408,0.587,0.496,0.509,0.474
0.515,0.459,0.628,0.493,0.496,0.482
0.473,0.486,0.66,0.497,0.491,0.487

0.599,0.828,0.316,0.701,0.461,0.524
0.626,0.849,0.261,0.746,0.45,0.532
0.643,0.841,0.189,0.795,0.437,0.538
0.648,0.803,0.116,0.837,0.423,0.542
0.638,0.747,0.06,0.87,0.41,0.543
0.605,0.682,0.038,0.888,0.401,0.539
0.547,0.599,0.068,0.89,0.399,0.528
0.464,0.492,0.141,0.872,0.409,0.508
0.386,0.357,0.243,0.831,0.428,0.482
0.338,0.21,0.355,0.766,0.453,0.456
0.339,0.098,0.448,0.679,0.478,0.436
0.404,0.102,0.52,0.583,0.5,0.428
0.463,0.217,0.57,0.502,0.511,0.435
0.501,0.377,0.625,0.456,0.51,0.451
0.489,0.497,0.669,0.451,0.501,0.469

0.545,0.798,0.371,0.687,0.49,0.523
0.561,0.822,0.341,0.722,0.487,0.527
0.58,0.83,0.305,0.757,0.484,0.528
0.591,0.83,0.262,0.789,0.477,0.527
0.586,0.808,0.213,0.817,0.468,0.525
0.567,0.759,0.186,0.837,0.46,0.523
0.543,0.686,0.187,0.846,0.456,0.515
0.505,0.6,0.211,0.843,0.457,0.501
0.463,0.496,0.261,0.823,0.462,0.483
0.419,0.373,0.323,0.783,0.47,0.463
0.387,0.232,0.397,0.725,0.482,0.445
0.393,0.147,0.48,0.651,0.497,0.431
0.441,0.194,0.541,0.57,0.512,0.427
0.498,0.331,0.588,0.508,0.518,0.431
0.531,0.462,0.627,0.482,0.514,0.438

0.577,1,0.349,0.715,0.486,0.525
0.627,0.996,0.197,0.806,0.471,0.536
0.641,0.966,0.04,0.888,0.452,0.547
0.619,0.893,0,0.949,0.437,0.557
0.548,0.779,0,0.98,0.434,0.557
0.43,0.579,0.009,0.971,0.446,0.541
0.36,0.342,0.158,0.916,0.477,0.507
0.33,0.15,0.299,0.816,0.524,0.465
0.376,0.052,0.375,0.699,0.553,0.43
0.475,0.084,0.413,0.587,0.564,0.419
0.61,0.205,0.453,0.506,0.56,0.433
0.664,0.343,0.516,0.469,0.536,0.456
0.602,0.437,0.582,0.466,0.501,0.477
0.489,0.469,0.65,0.48,0.475,0.489
0.408,0.473,0.693,0.493,0.471,0.491

0.571,0.921,0.34,0.708,0.47,0.517
0.597,0.92,0.268,0.768,0.461,0.526
0.624,0.879,0.175,0.827,0.451,0.534
0.633,0.842,0.084,0.877,0.442,0.539
0.621,0.808,0.014,0.911,0.433,0.54
0.561,0.752,0,0.93,0.429,0.535
0.484,0.66,0.045,0.928,0.435,0.52
0.407,0.506,0.133,0.897,0.454,0.492
0.329,0.275,0.229,0.84,0.48,0.455
0.348,0.048,0.318,0.755,0.507,0.426
0.499,0,0.392,0.648,0.523,0.413
0.502,0.08,0.435,0.549,0.516,0.419
0.531,0.241,0.525,0.483,0.501,0.446
0.511,0.388,0.621,0.463,0.489,0.468
0.434,0.475,0.686,0.471,0.479,0.482

0.59,0.866,0.327,0.752,0.458,0.518
0.606,0.85,0.263,0.797,0.447,0.523
0.602,0.82,0.188,0.836,0.436,0.526
0.578,0.767,0.133,0.864,0.426,0.527
0.536,0.688,0.12,0.877,0.423,0.522
0.485,0.59,0.154,0.872,0.428,0.511
0.417,0.435,0.217,0.842,0.441,0.491
0.346,0.239,0.303,0.786,0.462,0.465
0.32,0.069,0.399,0.702,0.491,0.44
0.398,0.056,0.475,0.6,0.52,0.427
0.504,0.211,0.534,0.508,0.535,0.428
0.557,0.407,0.603,0.461,0.529,0.44
0.548,0.534,0.658,0.465,0.51,0.455
0.486,0.536,0.678,0.499,0.492,0.468
0.42,0.456,0.669,0.534,0.484,0.483

0.573,0.877,0.427,0.705,0.478,0.524
0.558,0.866,0.368,0.754,0.47,0.528
0.55,0.844,0.314,0.795,0.465,0.53
