aX,aY,aZ,gX,gY,gZ
0.709,0.705,0.466,0.465,0.515,0.524
0.742,0.741,0.467,0.465,0.518,0.523
0.773,0.763,0.451,0.471,0.518,0.526
0.784,0.751,0.442,0.483,0.512,0.527
0.773,0.716,0.445,0.494,0.503,0.526
0.747,0.68,0.458,0.499,0.497,0.521
0.717,0.65,0.474,0.501,0.492,0.514
0.689,0.623,0.492,0.501,0.489,0.507
0.668,0.599,0.507,0.501,0.489,0.501
0.647,0.573,0.519,0.503,0.489,0.496
0.628,0.551,0.528,0.505,0.488,0.492
0.611,0.534,0.533,0.508,0.489,0.489
0.596,0.517,0.533,0.51,0.49,0.488
0.586,0.501,0.53,0.512,0.492,0.489
0.581,0.491,0.524,0.512,0.494,0.49

0.444,0.209,0.429,0.423,0.522,0.533
0.454,0.255,0.451,0.42,0.519,0.56
0.464,0.334,0.487,0.427,0.515,0.586
0.467,0.391,0.524,0.447,0.511,0.611
0.457,0.404,0.532,0.472,0.508,0.636
0.433,0.408,0.519,0.492,0.508,0.662
0.408,0.476,0.514,0.495,0.516,0.687
0.4,0.605,0.504,0.486,0.528,0.703
0.431,0.773,0.484,0.473,0.54,0.704
0.506,0.928,0.422,0.462,0.546,0.682
0.663,0.989,0.338,0.457,0.54,0.637
0.767,1,0.273,0.443,0.51,0.588
0.769,1,0.218,0.43,0.47,0.551
0.678,0.976,0.196,0.445,0.45,0.525
0.622,0.894,0.262,0.473,0.466,0.504

0.72,0.999,0.405,0.469,0.5,0.537
0.702,0.978,0.374,0.471,0.487,0.522
0.669,0.889,0.396,0.487,0.485,0.515
0.654,0.793,0.453,0.504,0.491,0.51
0.67,0.71,0.508,0.515,0.494,0.502
0.677,0.639,0.549,0.517,0.491,0.496
0.661,0.591,0.559,0.516,0.484,0.491
0.629,0.561,0.551,0.512,0.48,0.485
0.598,0.545,0.543,0.51,0.481,0.479
0.582,0.532,0.54,0.509,0.486,0.476
0.578,0.524,0.537,0.507,0.491,0.476
0.575,0.516,0.531,0.506,0.493,0.478
0.573,0.512,0.524,0.506,0.495,0.481
0.573,0.508,0.52,0.506,0.496,0.484
0.573,0.502,0.519,0.506,0.496,0.487

0.527,0.35,0.421,0.419,0.533,0.601
0.54,0.457,0.464,0.434,0.519,0.628
0.533,0.526,0.484,0.463,0.505,0.648
0.513,0.526,0.463,0.496,0.491,0.663
0.473,0.508,0.441,0.515,0.481,0.674
0.44,0.581,0.438,0.509,0.483,0.675
0.505,0.75,0.422,0.481,0.499,0.661
0.638,0.926,0.362,0.449,0.513,0.629
0.703,1,0.298,0.437,0.514,0.583
0.699,1,0.288,0.449,0.507,0.536
0.674,0.968,0.343,0.471,0.5,0.503
0.666,0.887,0.399,0.487,0.495,0.49
0.671,0.814,0.45,0.496,0.489,0.49
0.68,0.744,0.494,0.506,0.483,0.492
0.671,0.671,0.523,0.517,0.477,0.49

0.407,0.23,0.436,0.437,0.532,0.546
0.417,0.281,0.461,0.435,0.531,0.568
0.413,0.314,0.479,0.444,0.527,0.591
0.425,0.324,0.494,0.459,0.526,0.614
0.438,0.331,0.498,0.473,0.525,0.636
0.436,0.356,0.473,0.48,0.522,0.655
0.429,0.412,0.442,0.48,0.52,0.671
0.431,0.493,0.423,0.474,0.519,0.682
0.454,0.599,0.403,0.464,0.519,0.682
0.505,0.739,0.387,0.451,0.52,0.67
0.579,0.908,0.357,0.438,0.521,0.644
0.654,1,0.311,0.431,0.518,0.609
0.69,1,0.289,0.441,0.511,0.568
