aX,aY,aZ,gX,gY,gZ
0.412,0.205,0.538,0.439,0.537,0.453
0.396,0.204,0.542,0.454,0.534,0.482
0.389,0.219,0.525,0.472,0.531,0.518
0.419,0.232,0.49,0.489,0.529,0.557
0.462,0.245,0.456,0.499,0.526,0.592
0.498,0.27,0.421,0.501,0.519,0.619
0.507,0.335,0.389,0.497,0.508,0.64
0.537,0.477,0.373,0.49,0.495,0.66
0.627,0.641,0.368,0.49,0.481,0.672
0.705,0.769,0.363,0.502,0.461,0.668
0.735,0.829,0.358,0.52,0.437,0.646
0.717,0.83,0.395,0.525,0.428,0.612
0.701,0.799,0.475,0.513,0.442,0.57
0.704,0.769,0.544,0.495,0.463,0.529
0.719,0.763,0.584,0.479,0.481,0.502

0.324,0.142,0.404,0.388,0.532,0.463
0.329,0.219,0.45,0.375,0.535,0.493
0.363,0.296,0.499,0.382,0.535,0.529
0.407,0.34,0.532,0.411,0.529,0.565
0.435,0.358,0.515,0.449,0.518,0.597
0.466,0.375,0.467,0.48,0.506,0.627
0.492,0.471,0.419,0.491,0.495,0.651
0.558,0.647,0.383,0.481,0.489,0.662
0.646,0.842,0.346,0.462,0.489,0.648
0.744,0.959,0.355,0.451,0.497,0.608
0.803,0.939,0.415,0.458,0.506,0.557
0.814,0.863,0.456,0.471,0.512,0.52
0.833,0.814,0.48,0.477,0.514,0.506
0.85,0.78,0.49,0.485,0.51,0.507
0.846,0.735,0.493,0.497,0.502,0.511

0.326,0.21,0.474,0.444,0.564,0.53
0.388,0.267,0.471,0.447,0.562,0.565
0.448,0.333,0.461,0.46,0.55,0.596
0.482,0.38,0.435,0.479,0.531,0.623
0.493,0.392,0.402,0.496,0.511,0.645
0.49,0.414,0.397,0.502,0.493,0.664
0.492,0.518,0.418,0.494,0.483,0.677
0.524,0.686,0.431,0.48,0.486,0.68
0.613,0.851,0.414,0.468,0.501,0.666
0.719,0.973,0.376,0.462,0.515,0.632
0.775,1,0.338,0.463,0.52,0.59
0.799,0.986,0.345,0.469,0.52,0.553
0.809,0.916,0.39,0.479,0.517,0.528
0.798,0.835,0.439,0.49,0.506,0.513
0.764,0.739,0.486,0.501,0.494,0.503

0.277,0.187,0.512,0.436,0.546,0.468
0.235,0.164,0.533,0.433,0.552,0.485
0.229,0.172,0.552,0.435,0.557,0.517
0.27,0.208,0.546,0.449,0.558,0.562
0.316,0.256,0.514,0.473,0.551,0.608
0.344,0.289,0.472,0.496,0.536,0.648
0.367,0.334,0.434,0.509,0.524,0.682
0.395,0.456,0.415,0.507,0.513,0.71
0.421,0.627,0.397,0.497,0.504,0.726
0.457,0.78,0.364,0.48,0.504,0.72
0.519,0.901,0.319,0.457,0.515,0.693
0.611,1,0.322,0.439,0.533,0.65
0.71,1,0.329,0.442,0.547,0.605
0.778,1,0.328,0.465,0.545,0.566
0.79,1,0.329,0.491,0.528,0.542

0.41,0.34,0.335,0.333,0.508,0.48
0.455,0.435,0.416,0.332,0.508,0.493
0.467,0.47,0.491,0.358,0.501,0.507
0.454,0.444,0.535,0.398,0.492,0.525
0.429,0.38,0.546,0.435,0.486,0.548
0.416,0.335,0.542,0.455,0.487,0.573
0.439,0.388,0.531,0.455,0.5,0.594
0.511,0.553,0.513,0.445,0.52,0.607
0.645,0.776,0.466,0.444,0.54,0.607
0.798,0.942,0.389,0.461,0.546,0.596
0.879,0.97,0.314,0.485,0.538,0.582
0.914,0.9,0.293,0.503,0.519,0.561
0.902,0.825,0.338,0.507,0.499,0.539
0.862,0.752,0.412,0.507,0.487,0.52
0.824,0.687,0.481,0.505,0.48,0.506

0.351,0.205,0.525,0.459,0.52,0.494
0.367,0.232,0.525,0.459,0.528,0.525
0.395,0.264,0.516,0.466,0.532,0.56
0.437,0.286,0.497,0.477,0.532,0.593
0.483,0.315,0.474,0.488,0.526,0.622
0.502,0.372,0.449,0.496,0.515,0.647
0.51,0.46,0.429,0.501,0.502,0.667
0.531,0.563,0.417,0.504,0.491,0.678
0.568,0.665,0.4,0.503,0.482,0.676
0.615,0.767,0.384,0.496,0.478,0.663
0.657,0.85,0.378,0.491,0.478,0.635
0.696,0.916,0.388,0.492,0.481,0.597
0.725,0.948,0.424,0.488,0.491,0.566
0.747,0.93,0.462,0.49,0.5,0.544
0.757,0.894,0.484,0.496,0.5,0.528

0.355,0.182,0.452,0.464,0.562,0.529
0.392,0.21,0.44,0.459,0.561,0.559
0.431,0.271,0.439,0.457,0.553,0.588
0.453,0.347,0.442,0.464,0.539,0.612
0.473,0.411,0.438,0.479,0.525,0.632
0.502,0.455,0.422,0.495,0.512,0.648
0.54,0.509,0.406,0.507,0.502,0.657
0.557,0.558,0.388,0.51,0.49,0.659
0.565,0.622,0.375,0.502,0.484,0.649
0.607,0.723,0.376,0.483,0.491,0.631
0.662,0.825,0.384,0.463,0.503,0.605
0.705,0.899,0.402,0.453,0.514,0.576
0.754,0.951,0.415,0.455,0.521,0.552
0.789,0.974,0.41,0.464,0.519,0.537
0.795,0.93,0.405,0.478,0.51,0.526

0.675,0.779,0.355,0.501,0.526,0.655
0.74,0.85,0.294,0.509,0.512,0.64
0.767,0.87,0.249,0.518,0.499,0.614
0.764,0.842,0.26,0.522,0.491,0.581
0.754,0.802,0.325,0.516,0.489,0.549
0.739,0.77,0.383,0.506,0.49,0.526
0.729,0.745,0.43,0.499,0.488,0.512
0.723,0.706,0.475,0.499,0.487,0.504
0.713,0.651,0.511,0.504,0.484,0.498
0.689,0.594,0.529,0.51,0.48,0.494
0.658,0.55,0.534,0.513,0.476,0.492
0.635,0.523,0.535,0.513,0.475,0.491
0.621,0.508,0.536,0.513,0.478,0.492
0.61,0.496,0.535,0.513,0.48,0.493
0.602,0.488,0.532,0.513,0.483,0.493

0.222,0.151,0.57,0.459,0.526,0.476
0.215,0.167,0.565,0.457,0.535,0.51
0.252,0.211,0.555,0.459,0.543,0.551
0.304,0.264,0.536,0.468,0.545,0.589
0.352,0.32,0.519,0.48,0.541,0.622
0.391,0.373,0.504,0.493,0.534,0.649
0.419,0.44,0.486,0.504,0.525,0.673
0.453,0.536,0.465,0.512,0.519,0.694
0.508,0.671,0.438,0.518,0.515,0.712
0.589,0.772,0.384,0.522,0.509,0.714
0.674,0.881,0.339,0.515,0.498,0.696
0.722,0.983,0.334,0.503,0.486,0.66
0.739,1,0.356,0.501,0.48,0.612
0.728,1,0.396,0.507,0.48,0.574
0.718,0.945,0.459,0.514,0.485,0.55

0.258,0.197,0.547,0.473,0.507,0.467
0.226,0.157,0.556,0.466,0.516,0.487
0.229,0.182,0.575,0.457,0.529,0.518
0.266,0.242,0.575,0.456,0.541,0.555
0.315,0.297,0.553,0.465,0.548,0.59
0.374,0.327,0.53,0.478,0.549,0.621
0.428,0.369,0.508,0.489,0.545,0.647
0.464,0.452,0.489,0.496,0.537,0.671
0.505,0.58,0.47,0.501,0.529,0.692
0.551,0.743,0.437,0.509,0.52,0.708
0.621,0.884,0.377,0.517,0.511,0.707
0.712,0.955,0.318,0.521,0.5,0.685
0.749,0.946,0.309,0.52,0.488,0.641
0.743,0.906,0.363,0.513,0.488,0.591
0.738,0.865,0.43,0.504,0.498,0.549

0.369,0.247,0.453,0.401,0.534,0.455
0.348,0.241,0.482,0.398,0.535,0.471
0.341,0.247,0.54,0.401,0.537,0.496
0.331,0.246,0.595,0.415,0.537,0.527
0.306,0.26,0.591,0.438,0.535,0.562
0.316,0.299,0.552,0.46,0.537,0.602
0.371,0.373,0.516,0.476,0.543,0.639
0.436,0.488,0.483,0.489,0.543,0.668
0.509,0.63,0.441,0.499,0.536,0.687
0.568,0.725,0.37,0.506,0.522,0.687
0.617,0.763,0.284,0.502,0.506,0.666
0.668,0.834,0.279,0.485,0.502,0.627
0.726,0.902,0.331,0.47,0.513,0.583
0.764,0.934,0.382,0.468,0.522,0.547
0.792,0.928,0.407,0.474,0.524,0.525

0.353,0.233,0.5,0.446,0.55,0.476
0.346,0.236,0.501,0.45,0.551,0.501
0.345,0.231,0.488,0.456,0.548,0.532
0.347,0.232,0.466,0.462,0.543,0.567
0.369,0.269,0.454,0.464,0.539,0.602
0.401,0.337,0.466,0.468,0.533,0.636
0.428,0.424,0.481,0.477,0.524,0.663
0.454,0.492,0.477,0.491,0.517,0.684
0.463,0.54,0.465,0.502,0.509,0.697
0.478,0.589,0.446,0.502,0.506,0.698
0.496,0.659,0.42,0.49,0.511,0.683
0.529,0.756,0.402,0.471,0.523,0.658
0.582,0.872,0.397,0.453,0.537,0.625
0.671,0.995,0.389,0.449,0.547,0.59
