aX,aY,aZ,gX,gY,gZ
0.266,0.645,0.239,0.512,0.493,0.488
0.207,0.693,0.16,0.504,0.517,0.497
0.195,0.739,0.106,0.5,0.551,0.512
0.283,0.749,0.101,0.506,0.595,0.528
0.423,0.706,0.124,0.524,0.64,0.54
0.594,0.606,0.175,0.544,0.676,0.546
0.731,0.497,0.283,0.554,0.699,0.548
0.78,0.428,0.431,0.544,0.702,0.547
0.766,0.478,0.584,0.519,0.688,0.538
0.747,0.573,0.722,0.5,0.662,0.527
0.719,0.611,0.811,0.501,0.631,0.52
0.705,0.58,0.824,0.512,0.599,0.518
0.67,0.525,0.785,0.518,0.569,0.516
0.622,0.511,0.743,0.511,0.545,0.512
0.578,0.54,0.721,0.498,0.529,0.509
0.553,0.568,0.708,0.489,0.518,0.51
0.538,0.569,0.696,0.485,0.51,0.512
0.53,0.563,0.686,0.485,0.503,0.512
0.524,0.567,0.671,0.487,0.496,0.508
0.511,0.582,0.655,0.49,0.49,0.502
0.499,0.6,0.633,0.494,0.485,0.497
0.491,0.598,0.602,0.499,0.48,0.495
0.48,0.585,0.569,0.501,0.477,0.496
0.468,0.58,0.545,0.498,0.475,0.498
0.458,0.582,0.529,0.493,0.475,0.5
0.446,0.588,0.519,0.489,0.477,0.501
0.435,0.595,0.514,0.488,0.478,0.502
0.428,0.597,0.512,0.489,0.481,0.501
0.425,0.599,0.511,0.492,0.484,0.5
0.423,0.605,0.512,0.494,0.487,0.498

0.262,0.715,0.202,0.49,0.539,0.516
0.276,0.716,0.177,0.494,0.567,0.528
0.324,0.704,0.174,0.5,0.6,0.539
0.403,0.696,0.172,0.507,0.633,0.548
0.496,0.679,0.169,0.513,0.66,0.554
0.597,0.666,0.178,0.517,0.683,0.56
0.682,0.658,0.184,0.516,0.7,0.565
0.789,0.608,0.244,0.52,0.716,0.566
0.874,0.558,0.39,0.519,0.725,0.565
0.927,0.51,0.611,0.512,0.718,0.563
0.913,0.471,0.853,0.506,0.69,0.554
0.872,0.472,0.985,0.503,0.641,0.534
0.802,0.465,0.967,0.505,0.582,0.512
0.697,0.476,0.852,0.506,0.532,0.494
0.603,0.526,0.731,0.501,0.501,0.483
0.528,0.581,0.657,0.495,0.49,0.479
0.489,0.607,0.633,0.492,0.493,0.483
0.49,0.604,0.636,0.491,0.499,0.491
0.495,0.596,0.644,0.488,0.5,0.498
0.493,0.609,0.649,0.485,0.497,0.502
0.488,0.632,0.644,0.484,0.493,0.503
0.485,0.63,0.626,0.488,0.489,0.504
0.488,0.611,0.597,0.493,0.485,0.504
0.478,0.59,0.567,0.495,0.482,0.504
0.465,0.592,0.545,0.493,0.48,0.502
0.45,0.603,0.53,0.491,0.481,0.501
0.437,0.608,0.52,0.491,0.483,0.501
0.428,0.607,0.514,0.493,0.486,0.5
0.421,0.604,0.511,0.495,0.489,0.5
0.419,0.602,0.515,0.496,0.493,0.5

0.25,0.691,0.252,0.489,0.511,0.505
0.232,0.718,0.202,0.487,0.536,0.516
0.264,0.73,0.172,0.491,0.57,0.529
0.329,0.729,0.158,0.5,0.606,0.538
0.439,0.695,0.171,0.512,0.64,0.545
0.549,0.647,0.208,0.519,0.67,0.554
0.648,0.62,0.224,0.515,0.69,0.562
0.755,0.588,0.294,0.506,0.704,0.566
0.817,0.563,0.436,0.492,0.709,0.568
0.839,0.571,0.619,0.478,0.698,0.568
0.821,0.591,0.805,0.471,0.672,0.561
0.796,0.584,0.929,0.477,0.633,0.55
0.752,0.552,0.942,0.49,0.585,0.535
0.683,0.514,0.852,0.502,0.539,0.52
0.603,0.497,0.737,0.506,0.508,0.506
0.537,0.503,0.662,0.502,0.494,0.495
0.499,0.542,0.635,0.496,0.492,0.489
0.482,0.58,0.634,0.492,0.494,0.487
0.477,0.595,0.635,0.493,0.495,0.488
0.475,0.594,0.628,0.495,0.494,0.49
0.471,0.598,0.616,0.494,0.491,0.492
0.466,0.607,0.603,0.493,0.488,0.493
0.461,0.615,0.589,0.493,0.486,0.494
0.458,0.62,0.575,0.493,0.484,0.496
0.455,0.616,0.559,0.495,0.484,0.497
0.447,0.61,0.542,0.497,0.483,0.498
0.435,0.604,0.526,0.499,0.484,0.498
0.424,0.6,0.516,0.5,0.486,0.499
0.417,0.596,0.512,0.501,0.49,0.498
0.412,0.593,0.512,0.502,0.493,0.498

0.296,0.688,0.244,0.496,0.565,0.526
0.319,0.684,0.208,0.499,0.592,0.533
0.391,0.676,0.188,0.5,0.622,0.54
0.47,0.669,0.186,0.497,0.651,0.55
0.583,0.669,0.178,0.493,0.676,0.559
0.723,0.66,0.246,0.492,0.7,0.562
0.785,0.638,0.381,0.492,0.714,0.562
0.806,0.613,0.54,0.492,0.71,0.563
0.811,0.578,0.703,0.494,0.692,0.559
0.793,0.522,0.824,0.5,0.658,0.549
0.763,0.48,0.866,0.506,0.615,0.534
0.718,0.456,0.843,0.507,0.572,0.517
0.656,0.483,0.789,0.5,0.538,0.503
0.597,0.533,0.732,0.491,0.515,0.495
0.556,0.589,0.691,0.485,0.502,0.493
0.523,0.615,0.666,0.486,0.498,0.494
0.509,0.603,0.657,0.491,0.498,0.496
0.507,0.594,0.66,0.493,0.498,0.498
0.504,0.603,0.661,0.494,0.496,0.499
0.5,0.608,0.648,0.495,0.491,0.499
0.493,0.597,0.623,0.497,0.487,0.499
0.483,0.588,0.596,0.497,0.483,0.498
0.473,0.593,0.575,0.495,0.482,0.498
0.462,0.605,0.559,0.494,0.481,0.498
0.45,0.612,0.546,0.494,0.482,0.498
0.44,0.611,0.538,0.496,0.484,0.498
0.431,0.607,0.532,0.498,0.487,0.498
0.424,0.601,0.529,0.5,0.489,0.498
0.422,0.597,0.53,0.501,0.492,0.499
0.423,0.594,0.533,0.503,0.495,0.499

0.253,0.701,0.258,0.498,0.525,0.513
0.265,0.713,0.219,0.499,0.554,0.525
0.315,0.692,0.202,0.503,0.587,0.535
0.391,0.664,0.186,0.511,0.619,0.542
0.511,0.632,0.193,0.516,0.651,0.546
0.63,0.59,0.254,0.515,0.676,0.549
0.698,0.582,0.358,0.504,0.687,0.552
0.719,0.615,0.472,0.489,0.684,0.555
0.726,0.643,0.593,0.48,0.671,0.556
0.717,0.642,0.712,0.481,0.651,0.556
0.723,0.608,0.794,0.491,0.625,0.552
0.72,0.537,0.812,0.504,0.594,0.543
0.682,0.476,0.781,0.512,0.562,0.528
0.629,0.472,0.739,0.511,0.536,0.51
0.584,0.504,0.706,0.505,0.519,0.497
0.555,0.543,0.686,0.499,0.509,0.49
0.532,0.58,0.67,0.496,0.503,0.488
0.513,0.598,0.652,0.496,0.499,0.49
0.502,0.599,0.639,0.496,0.497,0.493
0.497,0.601,0.632,0.495,0.496,0.496
0.495,0.607,0.627,0.494,0.494,0.498
0.493,0.61,0.62,0.493,0.492,0.5
0.49,0.607,0.609,0.493,0.489,0.501
0.486,0.599,0.593,0.494,0.487,0.501
0.478,0.594,0.575,0.495,0.485,0.501
0.466,0.591,0.559,0.495,0.484,0.5
0.453,0.593,0.545,0.496,0.485,0.499
0.442,0.597,0.537,0.497,0.487,0.498
0.433,0.598,0.532,0.499,0.489,0.497
0.429,0.596,0.53,0.501,0.492,0.497

0.287,0.714,0.321,0.501,0.498,0.504
0.248,0.737,0.254,0.503,0.518,0.515
