aX,aY,aZ,gX,gY,gZ
0.651,0.572,0.688,0.515,0.394,0.437
0.667,0.587,0.645,0.517,0.375,0.423
0.681,0.596,0.589,0.52,0.36,0.412
0.673,0.633,0.532,0.52,0.35,0.405
0.613,0.696,0.467,0.517,0.345,0.402
0.506,0.733,0.398,0.511,0.347,0.409
0.4,0.738,0.325,0.502,0.356,0.428
0.312,0.716,0.279,0.491,0.374,0.453
0.278,0.691,0.264,0.482,0.399,0.476
0.275,0.685,0.265,0.48,0.428,0.489
0.297,0.679,0.296,0.487,0.458,0.493
0.337,0.667,0.349,0.496,0.484,0.495
0.379,0.65,0.403,0.5,0.501,0.502
0.41,0.629,0.444,0.499,0.509,0.51
0.432,0.621,0.477,0.498,0.513,0.515
0.447,0.613,0.5,0.498,0.516,0.517
0.455,0.604,0.517,0.501,0.517,0.516
0.457,0.6,0.528,0.502,0.517,0.516
0.456,0.592,0.533,0.502,0.515,0.516
0.451,0.583,0.535,0.503,0.513,0.515
0.444,0.579,0.536,0.503,0.512,0.514
0.438,0.576,0.537,0.502,0.512,0.512
0.434,0.576,0.54,0.501,0.511,0.511
0.434,0.58,0.544,0.499,0.511,0.51
0.435,0.584,0.549,0.497,0.511,0.509
0.437,0.591,0.554,0.496,0.511,0.509
0.438,0.595,0.558,0.497,0.51,0.508
0.44,0.597,0.559,0.498,0.509,0.507
0.442,0.596,0.558,0.499,0.508,0.507
0.442,0.591,0.554,0.5,0.507,0.506

0.653,0.598,0.765,0.49,0.42,0.481
0.647,0.618,0.711,0.489,0.392,0.475
0.635,0.639,0.658,0.495,0.373,0.469
0.629,0.643,0.614,0.505,0.36,0.464
0.633,0.639,0.571,0.515,0.354,0.46
0.651,0.65,0.531,0.523,0.35,0.457
0.654,0.689,0.479,0.528,0.348,0.454
0.597,0.739,0.402,0.535,0.348,0.45
0.48,0.766,0.296,0.541,0.353,0.448
0.338,0.761,0.192,0.54,0.369,0.457
0.256,0.728,0.154,0.537,0.4,0.473
0.266,0.693,0.183,0.531,0.443,0.49
0.331,0.665,0.243,0.523,0.482,0.504
0.379,0.634,0.306,0.518,0.507,0.513
0.414,0.611,0.365,0.515,0.522,0.517
0.438,0.601,0.414,0.511,0.531,0.517
0.463,0.6,0.461,0.509,0.535,0.517
0.481,0.601,0.499,0.508,0.535,0.516
0.486,0.595,0.529,0.508,0.533,0.515
0.487,0.585,0.548,0.509,0.529,0.514
0.489,0.579,0.56,0.509,0.525,0.514
0.48,0.572,0.565,0.508,0.521,0.512
0.471,0.561,0.564,0.508,0.517,0.51
0.469,0.557,0.564,0.507,0.514,0.508
0.467,0.56,0.566,0.504,0.513,0.506
0.467,0.568,0.57,0.5,0.512,0.504
0.471,0.575,0.577,0.497,0.512,0.503
0.474,0.581,0.585,0.495,0.511,0.501
0.477,0.59,0.59,0.493,0.509,0.5
0.476,0.601,0.592,0.491,0.506,0.5

0.631,0.567,0.788,0.497,0.459,0.489
0.675,0.56,0.806,0.497,0.429,0.479
0.716,0.558,0.791,0.496,0.396,0.466
0.744,0.572,0.744,0.495,0.363,0.452
0.752,0.624,0.664,0.496,0.334,0.437
0.721,0.675,0.584,0.506,0.313,0.429
0.707,0.704,0.534,0.522,0.306,0.426
0.703,0.754,0.471,0.531,0.307,0.426
0.63,0.818,0.372,0.534,0.31,0.43
0.465,0.815,0.246,0.537,0.317,0.443
0.308,0.749,0.163,0.534,0.338,0.465
0.273,0.694,0.141,0.526,0.378,0.488
0.298,0.676,0.157,0.517,0.423,0.503
0.336,0.652,0.198,0.52,0.459,0.505
0.373,0.613,0.263,0.525,0.486,0.504
0.412,0.586,0.338,0.52,0.505,0.507
0.448,0.586,0.406,0.506,0.514,0.512
0.465,0.602,0.454,0.493,0.517,0.515
0.471,0.622,0.486,0.489,0.517,0.515
0.471,0.634,0.507,0.492,0.517,0.514
0.466,0.63,0.516,0.498,0.516,0.514
0.46,0.618,0.518,0.503,0.514,0.516
0.453,0.596,0.518,0.507,0.513,0.518
0.452,0.57,0.521,0.51,0.513,0.518
0.453,0.548,0.528,0.51,0.513,0.517
0.45,0.532,0.532,0.507,0.512,0.514
0.446,0.529,0.534,0.502,0.51,0.51
0.442,0.537,0.536,0.496,0.508,0.506
0.441,0.555,0.54,0.491,0.507,0.502
0.443,0.575,0.547,0.487,0.507,0.5

0.695,0.553,0.803,0.486,0.401,0.478
0.72,0.577,0.767,0.49,0.371,0.463
0.739,0.622,0.727,0.501,0.347,0.446
0.751,0.649,0.659,0.52,0.328,0.431
0.753,0.668,0.559,0.536,0.315,0.42
0.695,0.725,0.449,0.542,0.309,0.415
0.569,0.794,0.324,0.537,0.312,0.418
0.401,0.799,0.214,0.525,0.326,0.436
0.307,0.749,0.15,0.508,0.353,0.467
0.284,0.744,0.129,0.493,0.39,0.493
0.31,0.737,0.148,0.498,0.43,0.503
0.348,0.705,0.2,0.516,0.467,0.503
0.387,0.66,0.262,0.525,0.493,0.507
0.425,0.627,0.319,0.519,0.508,0.515
0.443,0.614,0.366,0.507,0.517,0.521
0.453,0.618,0.41,0.499,0.524,0.524
0.462,0.622,0.452,0.496,0.53,0.523
0.47,0.618,0.489,0.497,0.533,0.523
0.472,0.604,0.518,0.499,0.533,0.524
0.474,0.585,0.54,0.501,0.531,0.525
0.474,0.565,0.554,0.501,0.528,0.525
0.47,0.548,0.564,0.502,0.524,0.522
0.466,0.536,0.57,0.502,0.519,0.518
0.458,0.53,0.573,0.5,0.514,0.513
0.452,0.531,0.571,0.498,0.51,0.508
0.447,0.539,0.567,0.494,0.506,0.504
0.445,0.553,0.563,0.49,0.503,0.501
0.444,0.569,0.56,0.488,0.501,0.499
0.444,0.58,0.558,0.488,0.5,0.497
0.445,0.589,0.555,0.489,0.499,0.495

0.664,0.554,0.785,0.494,0.416,0.474
0.689,0.589,0.75,0.496,0.387,0.461
0.709,0.629,0.709,0.505,0.363,0.445
0.722,0.662,0.652,0.519,0.344,0.431
0.72,0.688,0.578,0.533,0.33,0.42
0.692,0.73,0.492,0.54,0.321,0.416
0.609,0.785,0.387,0.539,0.319,0.418
0.469,0.799,0.273,0.532,0.325,0.431
0.349,0.752,0.192,0.52,0.343,0.454
0.299,0.706,0.16,0.506,0.375,0.479
0.3,0.698,0.166,0.494,0.413,0.496
0.336,0.687,0.206,0.498,0.449,0.502
0.375,0.664,0.263,0.51,0.479,0.5
0.405,0.635,0.323,0.516,0.499,0.501
0.428,0.623,0.375,0.511,0.509,0.506
0.44,0.627,0.412,0.501,0.513,0.511
0.445,0.639,0.439,0.495,0.516,0.515
0.45,0.645,0.464,0.496,0.52,0.517
0.453,0.634,0.488,0.501,0.523,0.518
0.46,0.609,0.511,0.507,0.525,0.519
0.467,0.578,0.529,0.51,0.525,0.52
0.47,0.548,0.542,0.511,0.522,0.519
0.468,0.529,0.548,0.509,0.518,0.516
0.462,0.522,0.55,0.505,0.514,0.511
0.455,0.528,0.55,0.5,0.51,0.505
0.45,0.544,0.552,0.495,0.507,0.5
0.449,0.565,0.554,0.49,0.506,0.497
0.448,0.588,0.555,0.487,0.504,0.495
0.447,0.609,0.555,0.486,0.503,0.494
0.445,0.625,0.552,0.487,0.502,0.494

0.648,0.571,0.782,0.504,0.434,0.474
0.667,0.588,0.752,0.505,0.404,0.465
0.691,0.598,0.718,0.508,0.379,0.452
0.715,0.615,0.684,0.513,0.358,0.439
0.728,0.638,0.634,0.518,0.341,0.428
0.722,0.676,0.57,0.523,0.327,0.421
0.69,0.725,0.499,0.524,0.32,0.419
0.617,0.784,0.407,0.52,0.319,0.424
0.497,0.797,0.312,0.513,0.323,0.44
0.4,0.76,0.228,0.505,0.338,0.465
0.319,0.752,0.149,0.501,0.363,0.486
0.285,0.749,0.128,0.511,0.4,0.492
0.307,0.725,0.17,0.53,0.445,0.491
0.356,0.665,0.234,0.54,0.48,0.497
0.401,0.609,0.29,0.532,0.498,0.508
0.429,0.594,0.339,0.514,0.507,0.517
0.444,0.606,0.384,0.499,0.515,0.521
0.46,0.618,0.434,0.494,0.522,0.52
0.473,0.616,0.48,0.495,0.526,0.519
0.477,0.61,0.512,0.496,0.526,0.519
0.473,0.603,0.526,0.496,0.522,0.52
0.463,0.592,0.531,0.498,0.519,0.519
0.454,0.58,0.535,0.501,0.517,0.518
0.449,0.568,0.541,0.503,0.516,0.515
0.449,0.554,0.545,0.503,0.515,0.513
0.448,0.543,0.549,0.501,0.513,0.511
0.448,0.54,0.554,0.497,0.511,0.508
0.448,0.549,0.559,0.493,0.51,0.504
0.449,0.56,0.563,0.489,0.508,0.501
0.448,0.577,0.565,0.486,0.506,0.498

0.656,0.562,0.823,0.49,0.45,0.49
0.685,0.574,0.809,0.485,0.416,0.482
0.712,0.592,0.771,0.484,0.383,0.471
0.723,0.626,0.708,0.487,0.353,0.457
0.717,0.661,0.636,0.499,0.331,0.446
0.719,0.659,0.562,0.516,0.318,0.44
0.718,0.667,0.487,0.527,0.312,0.437
0.677,0.713,0.391,0.527,0.311,0.435
0.567,0.776,0.271,0.521,0.315,0.439
0.426,0.777,0.185,0.516,0.33,0.454
0.351,0.745,0.139,0.509,0.36,0.476
0.316,0.748,0.116,0.501,0.395,0.497
0.324,0.741,0.12,0.507,0.431,0.507
0.352,0.708,0.162,0.523,0.467,0.509
0.391,0.661,0.225,0.533,0.497,0.513
0.431,0.615,0.291,0.531,0.515,0.521
0.46,0.586,0.352,0.52,0.526,0.527
0.483,0.576,0.405,0.508,0.531,0.53
0.495,0.578,0.452,0.5,0.532,0.529
0.5,0.578,0.492,0.498,0.533,0.526
0.502,0.571,0.522,0.499,0.531,0.521
0.499,0.561,0.543,0.5,0.527,0.518
0.487,0.556,0.551,0.499,0.522,0.514
0.47,0.557,0.549,0.496,0.516,0.511
0.455,0.564,0.544,0.493,0.511,0.507
0.445,0.576,0.541,0.49,0.51,0.504
0.441,0.589,0.541,0.489,0.509,0.502
0.439,0.602,0.542,0.488,0.509,0.501
0.441,0.611,0.546,0.489,0.509,0.5
0.446,0.614,0.552,0.491,0.508,0.5

0.61,0.574,0.773,0.502,0.453,0.486
0.644,0.578,0.763,0.5,0.426,0.48
0.678,0.583,0.746,0.5,0.397,0.471
0.704,0.593,0.72,0.502,0.371,0.46
0.731,0.635,0.678,0.505,0.348,0.449
0.745,0.681,0.622,0.509,0.327,0.442
0.735,0.742,0.545,0.512,0.312,0.441
0.678,0.779,0.43,0.514,0.303,0.446
0.567,0.771,0.294,0.513,0.301,0.46
0.431,0.737,0.169,0.508,0.312,0.479
0.331,0.684,0.098,0.506,0.343,0.495
0.312,0.671,0.085,0.511,0.389,0.499
0.328,0.651,0.124,0.521,0.435,0.496
0.361,0.616,0.187,0.525,0.47,0.498
0.401,0.591,0.253,0.514,0.493,0.506
0.437,0.592,0.312,0.499,0.506,0.513
0.458,0.608,0.365,0.49,0.516,0.515
0.472,0.616,0.412,0.488,0.522,0.513
0.476,0.614,0.446,0.491,0.525,0.511
0.47,0.605,0.469,0.492,0.526,0.511
0.464,0.594,0.484,0.493,0.525,0.512
0.461,0.584,0.497,0.493,0.525,0.512
0.459,0.578,0.511,0.494,0.524,0.512
0.456,0.578,0.526,0.494,0.523,0.51
0.455,0.581,0.538,0.494,0.521,0.508
0.453,0.583,0.546,0.495,0.518,0.506
0.451,0.586,0.551,0.495,0.515,0.504
0.451,0.592,0.552,0.495,0.512,0.501
0.45,0.599,0.55,0.495,0.509,0.499
0.449,0.606,0.544,0.495,0.507,0.498

0.65,0.575,0.83,0.513,0.407,0.473
0.725,0.638,0.754,0.516,0.37,0.459
0.726,0.692,0.673,0.525,0.338,0.446
0.716,0.725,0.586,0.538,0.315,0.44
0.702,0.736,0.498,0.546,0.303,0.441
0.665,0.755,0.386,0.539,0.299,0.45
0.555,0.746,0.267,0.526,0.301,0.467
0.437,0.714,0.176,0.512,0.316,0.488
