aX,aY,aZ,gX,gY,gZ
0.641,0.756,0.541,0.514,0.527,0.64
0.728,0.677,0.587,0.509,0.53,0.674
0.805,0.606,0.606,0.502,0.523,0.704
0.855,0.496,0.604,0.506,0.507,0.724
0.893,0.271,0.577,0.521,0.49,0.732
0.879,0,0.48,0.534,0.471,0.729
0.703,0,0.39,0.521,0.455,0.706
0.524,0,0.378,0.476,0.456,0.663
0.46,0,0.374,0.434,0.471,0.616
0.465,0.114,0.413,0.419,0.489,0.571
0.481,0.284,0.466,0.441,0.501,0.538
0.48,0.284,0.497,0.487,0.503,0.517
0.481,0.219,0.512,0.522,0.502,0.503
0.485,0.214,0.516,0.53,0.498,0.494
0.489,0.266,0.51,0.52,0.496,0.491
0.494,0.317,0.504,0.509,0.495,0.493
0.487,0.331,0.508,0.502,0.496,0.498
0.497,0.319,0.505,0.498,0.496,0.501
0.498,0.337,0.502,0.494,0.495,0.5
0.493,0.369,0.492,0.493,0.492,0.498
0.491,0.38,0.487,0.496,0.492,0.495
0.494,0.389,0.481,0.5,0.491,0.494
0.491,0.399,0.474,0.503,0.491,0.493
0.49,0.399,0.47,0.505,0.492,0.494
0.49,0.388,0.465,0.507,0.493,0.495
0.487,0.376,0.462,0.506,0.495,0.496
0.493,0.375,0.467,0.503,0.498,0.497
0.503,0.38,0.478,0.5,0.501,0.498
0.508,0.381,0.488,0.498,0.502,0.499
0.513,0.375,0.496,0.498,0.502,0.499

0.504,0.803,0.422,0.527,0.485,0.579
0.551,0.715,0.441,0.534,0.502,0.616
0.644,0.649,0.477,0.532,0.516,0.647
0.717,0.582,0.521,0.525,0.519,0.676
0.777,0.431,0.535,0.516,0.514,0.703
0.805,0.257,0.532,0.505,0.507,0.722
0.823,0.148,0.547,0.492,0.499,0.725
0.797,0,0.549,0.488,0.487,0.714
0.63,0,0.484,0.495,0.47,0.684
0.462,0,0.438,0.49,0.463,0.627
0.416,0,0.462,0.474,0.475,0.561
0.471,0.108,0.484,0.47,0.49,0.513
0.495,0.258,0.491,0.482,0.497,0.489
0.491,0.33,0.495,0.497,0.497,0.482
0.485,0.333,0.497,0.508,0.496,0.487
0.483,0.306,0.494,0.509,0.495,0.494
0.486,0.292,0.49,0.503,0.495,0.499
0.493,0.308,0.487,0.494,0.496,0.5
0.496,0.329,0.483,0.488,0.497,0.499
0.495,0.345,0.482,0.488,0.497,0.497
0.493,0.358,0.479,0.491,0.496,0.493
0.488,0.376,0.474,0.495,0.495,0.489
0.482,0.389,0.471,0.5,0.495,0.486
0.479,0.392,0.47,0.504,0.495,0.485
0.481,0.394,0.469,0.506,0.496,0.484
0.48,0.396,0.469,0.506,0.497,0.484
0.48,0.393,0.469,0.505,0.498,0.485
0.484,0.386,0.47,0.504,0.5,0.487
0.495,0.386,0.472,0.501,0.503,0.488
0.502,0.395,0.477,0.499,0.504,0.49

0.549,0.752,0.444,0.539,0.508,0.597
0.636,0.652,0.484,0.546,0.518,0.628
0.712,0.589,0.538,0.539,0.518,0.658
0.787,0.538,0.58,0.523,0.51,0.686
0.849,0.448,0.6,0.51,0.495,0.712
0.883,0.232,0.557,0.505,0.478,0.73
0.828,0,0.471,0.498,0.461,0.734
0.679,0,0.398,0.477,0.45,0.717
0.512,0,0.405,0.445,0.451,0.677
0.454,0,0.424,0.424,0.464,0.624
0.477,0.069,0.443,0.426,0.479,0.569
0.493,0.248,0.454,0.449,0.488,0.527
0.484,0.311,0.466,0.486,0.494,0.505
0.484,0.266,0.481,0.52,0.499,0.496
0.483,0.214,0.494,0.534,0.501,0.49
0.494,0.208,0.501,0.528,0.502,0.486
0.514,0.248,0.502,0.512,0.502,0.485
0.525,0.308,0.498,0.498,0.501,0.486
0.523,0.356,0.49,0.491,0.499,0.489
0.512,0.374,0.481,0.492,0.497,0.492
0.5,0.375,0.474,0.496,0.495,0.492
0.489,0.375,0.469,0.501,0.494,0.491
0.482,0.38,0.466,0.504,0.494,0.489
0.48,0.389,0.466,0.506,0.495,0.486
0.482,0.396,0.465,0.508,0.496,0.485
0.482,0.401,0.464,0.51,0.497,0.484
0.484,0.401,0.466,0.51,0.499,0.485
0.491,0.399,0.472,0.509,0.501,0.486
0.501,0.395,0.479,0.507,0.503,0.488
0.507,0.395,0.486,0.504,0.504,0.491

0.548,0.775,0.43,0.551,0.5,0.586
0.622,0.662,0.459,0.558,0.511,0.618
0.694,0.623,0.505,0.547,0.516,0.649
0.778,0.58,0.552,0.533,0.513,0.677
0.881,0.482,0.586,0.526,0.502,0.703
0.969,0.301,0.593,0.524,0.481,0.721
0.925,0.007,0.518,0.522,0.452,0.727
0.716,0,0.394,0.506,0.428,0.713
0.467,0,0.325,0.465,0.425,0.674
0.414,0,0.35,0.42,0.448,0.616
0.478,0.123,0.403,0.41,0.477,0.557
0.499,0.334,0.445,0.445,0.492,0.516
0.495,0.321,0.469,0.498,0.499,0.497
0.488,0.217,0.484,0.534,0.502,0.489
0.493,0.171,0.496,0.537,0.503,0.484
0.516,0.205,0.507,0.518,0.505,0.482
0.54,0.281,0.513,0.496,0.505,0.484
0.542,0.352,0.51,0.485,0.503,0.487
0.526,0.377,0.499,0.486,0.498,0.489
0.504,0.368,0.484,0.493,0.495,0.488
0.494,0.369,0.473,0.498,0.494,0.485
0.493,0.39,0.465,0.5,0.495,0.482
0.491,0.411,0.462,0.501,0.496,0.481
0.488,0.418,0.464,0.504,0.497,0.482
0.486,0.413,0.468,0.506,0.498,0.484
0.489,0.407,0.471,0.507,0.499,0.486
0.494,0.405,0.474,0.506,0.5,0.487
0.501,0.402,0.474,0.505,0.501,0.489
0.504,0.399,0.476,0.502,0.501,0.492
0.509,0.397,0.482,0.5,0.503,0.495

0.768,0.157,0.475,0.48,0.433,0.705
0.719,0.052,0.436,0.47,0.425,0.69
0.599,0,0.36,0.474,0.424,0.667
0.444,0,0.294,0.463,0.433,0.625
0.42,0,0.326,0.431,0.459,0.571
0.484,0.2,0.387,0.42,0.487,0.529
0.494,0.365,0.446,0.441,0.502,0.507
0.493,0.366,0.488,0.478,0.507,0.5
0.495,0.296,0.497,0.508,0.506,0.495
0.493,0.252,0.487,0.518,0.502,0.49
0.506,0.264,0.479,0.51,0.502,0.487
0.519,0.312,0.478,0.497,0.503,0.486
0.52,0.355,0.478,0.49,0.504,0.487
0.513,0.37,0.476,0.489,0.503,0.488
0.505,0.376,0.473,0.492,0.502,0.487
0.498,0.387,0.467,0.495,0.501,0.485
0.491,0.402,0.462,0.498,0.501,0.484
0.487,0.411,0.462,0.5,0.502,0.484
0.488,0.412,0.467,0.502,0.504,0.485
0.49,0.408,0.474,0.504,0.505,0.486
0.492,0.403,0.478,0.506,0.505,0.487
