aX,aY,aZ,gX,gY,gZ
0.576,0.201,0.462,0.493,0.502,0.574
0.584,0.107,0.469,0.479,0.499,0.565
0.596,0.027,0.488,0.463,0.497,0.55
0.645,0,0.507,0.452,0.495,0.526
0.72,0,0.511,0.451,0.495,0.488
0.735,0,0.485,0.461,0.491,0.436
0.732,0,0.44,0.472,0.49,0.383
0.715,0.049,0.394,0.474,0.495,0.339
0.749,0.183,0.366,0.463,0.505,0.309
0.821,0.373,0.371,0.45,0.514,0.288
0.856,0.638,0.4,0.442,0.519,0.269
0.804,0.999,0.439,0.447,0.52,0.255
0.601,1,0.482,0.476,0.521,0.252
0.345,1,0.476,0.543,0.533,0.282
0.277,1,0.498,0.603,0.557,0.358
0.43,0.841,0.662,0.588,0.573,0.443
0.515,0.837,0.839,0.513,0.553,0.502
0.494,0.908,0.894,0.456,0.509,0.535
0.449,0.831,0.803,0.447,0.469,0.555
0.408,0.688,0.67,0.461,0.45,0.566
0.383,0.575,0.568,0.476,0.45,0.564
0.377,0.503,0.53,0.49,0.464,0.552
0.384,0.471,0.537,0.502,0.48,0.534
0.392,0.459,0.551,0.51,0.49,0.52
0.398,0.452,0.553,0.512,0.493,0.512
0.406,0.46,0.546,0.509,0.49,0.509
0.41,0.486,0.535,0.503,0.487,0.509
0.408,0.504,0.521,0.5,0.484,0.51
0.4,0.499,0.512,0.5,0.485,0.512
0.376,0.484,0.513,0.501,0.487,0.512

0.566,0.096,0.455,0.489,0.495,0.551
0.618,0,0.505,0.464,0.495,0.527
0.675,0,0.507,0.46,0.492,0.487
0.68,0,0.487,0.464,0.487,0.432
0.651,0.023,0.444,0.471,0.485,0.376
0.665,0.169,0.41,0.475,0.491,0.332
0.703,0.319,0.382,0.477,0.504,0.303
0.725,0.525,0.378,0.476,0.516,0.283
0.686,0.797,0.408,0.48,0.526,0.272
0.579,1,0.459,0.496,0.536,0.277
0.455,1,0.529,0.521,0.547,0.304
0.403,1,0.625,0.539,0.555,0.355
0.421,0.999,0.717,0.534,0.55,0.416
0.439,0.946,0.761,0.507,0.528,0.469
0.406,0.915,0.766,0.478,0.501,0.508
0.377,0.843,0.724,0.465,0.48,0.534
0.36,0.711,0.658,0.47,0.471,0.548
0.342,0.589,0.596,0.479,0.47,0.55
0.331,0.524,0.558,0.488,0.476,0.542
0.327,0.496,0.54,0.498,0.485,0.529
0.337,0.484,0.533,0.508,0.494,0.518
0.354,0.481,0.532,0.515,0.5,0.51
0.369,0.486,0.533,0.517,0.502,0.506
0.386,0.498,0.532,0.515,0.502,0.506
0.398,0.504,0.525,0.512,0.5,0.508
0.4,0.504,0.517,0.51,0.498,0.511
0.393,0.484,0.51,0.509,0.498,0.513
0.388,0.446,0.505,0.508,0.498,0.515
0.386,0.425,0.508,0.505,0.499,0.516
0.383,0.421,0.511,0.502,0.499,0.514

0.573,0.075,0.404,0.508,0.495,0.561
0.588,0,0.412,0.48,0.494,0.548
0.629,0,0.445,0.452,0.495,0.524
0.669,0,0.48,0.439,0.495,0.485
0.678,0,0.485,0.448,0.494,0.432
0.66,0.035,0.452,0.468,0.496,0.378
0.678,0.148,0.426,0.477,0.504,0.336
0.72,0.294,0.417,0.474,0.513,0.307
0.762,0.484,0.413,0.469,0.521,0.287
0.746,0.761,0.438,0.466,0.525,0.274
0.627,1,0.491,0.473,0.527,0.274
0.496,1,0.565,0.497,0.533,0.295
0.367,1,0.63,0.528,0.539,0.338
0.327,1,0.654,0.55,0.542,0.399
0.392,0.858,0.691,0.539,0.536,0.463
0.426,0.782,0.735,0.504,0.518,0.508
0.415,0.759,0.748,0.477,0.497,0.529
0.386,0.703,0.708,0.471,0.478,0.539
0.36,0.619,0.638,0.477,0.468,0.542
0.336,0.555,0.57,0.485,0.467,0.54
0.321,0.52,0.535,0.492,0.473,0.534
0.32,0.498,0.522,0.5,0.483,0.527
0.338,0.487,0.525,0.507,0.494,0.52
0.356,0.479,0.528,0.513,0.5,0.513
0.372,0.479,0.531,0.515,0.504,0.509
0.384,0.485,0.532,0.514,0.504,0.507
0.391,0.482,0.531,0.511,0.502,0.508
0.395,0.469,0.528,0.509,0.501,0.51
0.392,0.454,0.526,0.506,0.5,0.512
0.387,0.44,0.525,0.504,0.499,0.512

