aX,aY,aZ,gX,gY,gZ
0.606,0.891,0.551,0.541,0.501,0.444
0.633,0.958,0.55,0.546,0.498,0.467
0.639,0.995,0.557,0.551,0.495,0.496
0.635,0.977,0.552,0.558,0.492,0.529
0.636,0.925,0.545,0.563,0.49,0.563
0.632,0.869,0.546,0.562,0.489,0.594
0.64,0.796,0.556,0.559,0.488,0.622
0.652,0.693,0.551,0.555,0.485,0.646
0.66,0.586,0.528,0.55,0.479,0.663
0.652,0.512,0.504,0.545,0.471,0.673
0.632,0.418,0.486,0.545,0.463,0.676
0.617,0.28,0.481,0.553,0.458,0.67
0.591,0.157,0.493,0.557,0.453,0.655
0.527,0.001,0.447,0.554,0.445,0.631
0.395,0,0.374,0.54,0.439,0.6
0.296,0,0.374,0.508,0.445,0.565
0.287,0.087,0.402,0.482,0.464,0.535
0.302,0.186,0.436,0.472,0.484,0.513
0.316,0.266,0.477,0.471,0.498,0.497
0.353,0.358,0.52,0.471,0.508,0.485
0.375,0.435,0.558,0.476,0.509,0.476
0.381,0.476,0.574,0.485,0.505,0.469
0.381,0.491,0.569,0.493,0.5,0.466
0.385,0.513,0.554,0.494,0.496,0.466
0.384,0.538,0.535,0.491,0.494,0.469
0.387,0.549,0.523,0.488,0.494,0.473
0.389,0.558,0.519,0.485,0.496,0.478
0.394,0.576,0.522,0.483,0.497,0.481
0.397,0.593,0.526,0.484,0.498,0.484
0.393,0.609,0.53,0.487,0.497,0.487

0.667,0.718,0.523,0.516,0.53,0.433
0.726,0.897,0.565,0.515,0.529,0.436
0.758,1,0.635,0.527,0.524,0.449
0.82,1,0.702,0.556,0.513,0.476
0.876,1,0.73,0.581,0.491,0.516
0.878,1,0.734,0.591,0.461,0.566
0.865,0.975,0.667,0.582,0.433,0.62
0.861,0.832,0.565,0.567,0.412,0.667
0.884,0.676,0.454,0.553,0.403,0.707
0.9,0.516,0.365,0.543,0.401,0.736
0.92,0.376,0.34,0.534,0.404,0.755
0.959,0.201,0.351,0.526,0.407,0.765
0.916,0,0.329,0.519,0.403,0.765
0.651,0,0.274,0.492,0.394,0.748
0.407,0,0.235,0.441,0.398,0.712
0.338,0,0.291,0.4,0.425,0.656
0.303,0.038,0.391,0.401,0.459,0.583
0.345,0.223,0.446,0.452,0.484,0.523
0.341,0.249,0.457,0.518,0.497,0.48
0.323,0.207,0.46,0.559,0.503,0.457
0.333,0.186,0.477,0.562,0.507,0.452
0.36,0.245,0.494,0.535,0.511,0.459
0.388,0.34,0.505,0.502,0.511,0.472
0.401,0.435,0.51,0.479,0.509,0.484
0.405,0.494,0.506,0.473,0.505,0.49
0.394,0.513,0.491,0.48,0.501,0.489
0.373,0.521,0.481,0.492,0.499,0.483
0.361,0.52,0.478,0.502,0.5,0.478
0.354,0.524,0.486,0.507,0.503,0.476
0.355,0.526,0.497,0.507,0.506,0.477

0.6,0.75,0.544,0.532,0.521,0.446
0.642,0.908,0.624,0.545,0.514,0.463
0.667,0.946,0.661,0.554,0.504,0.488
