aX,aY,aZ,gX,gY,gZ
0.603,0.29,0.45,0.498,0.551,0.313
0.832,0.408,0.471,0.494,0.562,0.274
0.963,0.552,0.51,0.487,0.565,0.247
1,0.725,0.561,0.483,0.56,0.231
0.994,1,0.655,0.48,0.544,0.227
0.735,1,0.724,0.503,0.522,0.245
0.441,1,0.653,0.566,0.506,0.309
0.469,1,0.56,0.614,0.511,0.401
0.587,0.705,0.499,0.598,0.521,0.482
0.598,0.539,0.544,0.526,0.518,0.526
0.585,0.699,0.649,0.443,0.507,0.543
0.558,0.841,0.702,0.413,0.493,0.548
0.547,0.814,0.656,0.444,0.485,0.541
0.542,0.694,0.584,0.495,0.491,0.523
0.537,0.616,0.554,0.529,0.5,0.501
0.535,0.605,0.555,0.535,0.504,0.489
0.526,0.633,0.553,0.525,0.5,0.489
0.516,0.656,0.533,0.512,0.493,0.498
0.51,0.65,0.514,0.502,0.489,0.508
0.511,0.63,0.507,0.496,0.49,0.516
0.511,0.614,0.509,0.493,0.492,0.519
0.512,0.597,0.508,0.495,0.494,0.518
0.512,0.58,0.505,0.498,0.497,0.515
0.509,0.573,0.504,0.501,0.498,0.511
0.507,0.569,0.508,0.503,0.5,0.507
0.506,0.569,0.516,0.503,0.501,0.504
0.509,0.58,0.524,0.501,0.501,0.503
0.508,0.6,0.53,0.499,0.5,0.501
0.511,0.616,0.534,0.498,0.5,0.501
0.518,0.626,0.536,0.498,0.5,0.502

0.773,0.476,0.529,0.476,0.534,0.298
0.833,0.659,0.557,0.479,0.531,0.271
0.837,0.968,0.595,0.491,0.526,0.255
0.699,1,0.639,0.524,0.52,0.258
0.479,1,0.602,0.579,0.515,0.293
0.415,1,0.535,0.621,0.517,0.365
0.495,0.807,0.526,0.607,0.524,0.45
0.573,0.615,0.567,0.54,0.521,0.518
0.573,0.665,0.636,0.458,0.506,0.555
0.541,0.778,0.694,0.414,0.488,0.57
0.53,0.779,0.68,0.427,0.477,0.568
0.521,0.674,0.602,0.475,0.477,0.552
0.503,0.582,0.533,0.518,0.485,0.526
