aX,aY,aZ,gX,gY,gZ
0.729,0.217,0.548,0.505,0.503,0.708
0.689,0.044,0.544,0.48,0.495,0.719
0.605,0,0.516,0.445,0.489,0.714
0.517,0,0.479,0.404,0.488,0.689
0.465,0.074,0.485,0.371,0.493,0.651
0.497,0.296,0.51,0.367,0.503,0.607
0.539,0.437,0.529,0.396,0.508,0.57
0.538,0.448,0.546,0.445,0.506,0.544
0.517,0.372,0.554,0.491,0.502,0.526
0.516,0.309,0.56,0.518,0.5,0.508
0.534,0.303,0.563,0.526,0.5,0.493
0.549,0.326,0.564,0.525,0.5,0.484
0.553,0.334,0.565,0.522,0.5,0.482
0.56,0.333,0.561,0.518,0.499,0.483
0.561,0.35,0.552,0.511,0.497,0.485
0.551,0.374,0.545,0.506,0.495,0.486
0.537,0.385,0.539,0.505,0.492,0.488
0.524,0.386,0.534,0.506,0.491,0.488
0.514,0.387,0.53,0.508,0.49,0.487
0.511,0.391,0.522,0.509,0.49,0.485
0.513,0.404,0.513,0.51,0.49,0.484
0.506,0.411,0.508,0.512,0.49,0.484
0.504,0.406,0.506,0.516,0.491,0.486
0.503,0.391,0.507,0.518,0.493,0.488
0.504,0.379,0.511,0.517,0.495,0.491
0.508,0.373,0.514,0.513,0.497,0.493
0.514,0.374,0.517,0.508,0.498,0.495
0.519,0.376,0.521,0.504,0.499,0.497
0.521,0.376,0.525,0.501,0.499,0.499
0.522,0.375,0.527,0.5,0.498,0.499

0.509,0,0.424,0.511,0.487,0.676
0.436,0,0.442,0.47,0.495,0.654
0.448,0.003,0.476,0.437,0.513,0.623
0.487,0.126,0.522,0.427,0.526,0.594
0.502,0.233,0.565,0.436,0.527,0.568
0.512,0.286,0.593,0.459,0.52,0.544
0.522,0.289,0.597,0.486,0.509,0.521
0.515,0.283,0.584,0.507,0.498,0.503
0.505,0.286,0.563,0.516,0.49,0.492
0.501,0.295,0.546,0.515,0.487,0.488
0.501,0.31,0.535,0.508,0.487,0.489
0.504,0.333,0.525,0.499,0.488,0.492
0.5,0.352,0.512,0.491,0.488,0.495
0.486,0.362,0.502,0.486,0.488,0.497
0.481,0.37,0.497,0.483,0.488,0.497
0.486,0.385,0.496,0.481,0.489,0.496
0.487,0.4,0.496,0.482,0.489,0.495
0.488,0.413,0.494,0.486,0.488,0.493
0.487,0.42,0.491,0.49,0.487,0.492
0.484,0.424,0.487,0.496,0.486,0.492
0.477,0.418,0.483,0.501,0.486,0.492
0.474,0.41,0.481,0.505,0.487,0.492
0.474,0.399,0.482,0.506,0.489,0.493
0.474,0.389,0.484,0.505,0.492,0.495
0.475,0.383,0.486,0.503,0.496,0.497
0.479,0.378,0.491,0.499,0.5,0.499
0.487,0.377,0.498,0.496,0.503,0.5
0.494,0.381,0.507,0.493,0.505,0.501
0.499,0.385,0.515,0.493,0.505,0.501
0.501,0.385,0.521,0.494,0.504,0.5

0.486,0.831,0.39,0.53,0.487,0.593
0.543,0.74,0.395,0.543,0.504,0.628
0.622,0.601,0.428,0.548,0.518,0.661
0.683,0.428,0.453,0.541,0.523,0.691
0.695,0.226,0.467,0.522,0.522,0.713
0.639,0.011,0.462,0.497,0.517,0.719
0.534,0,0.46,0.469,0.516,0.705
0.479,0,0.511,0.446,0.521,0.667
0.506,0.053,0.573,0.444,0.528,0.616
0.529,0.149,0.608,0.461,0.523,0.569
0.515,0.197,0.612,0.486,0.51,0.536
0.491,0.219,0.598,0.503,0.498,0.517
0.484,0.252,0.577,0.506,0.491,0.508
0.485,0.291,0.561,0.502,0.488,0.506
0.487,0.317,0.545,0.499,0.487,0.508
0.489,0.324,0.534,0.497,0.487,0.511
0.489,0.323,0.527,0.495,0.487,0.512
0.487,0.328,0.521,0.494,0.487,0.511
0.483,0.339,0.516,0.492,0.487,0.508
0.48,0.351,0.511,0.492,0.486,0.504
0.479,0.361,0.506,0.493,0.486,0.501
0.475,0.371,0.502,0.493,0.485,0.498
0.47,0.377,0.499,0.495,0.485,0.496
0.469,0.38,0.496,0.495,0.485,0.494
0.471,0.389,0.494,0.495,0.486,0.493
0.469,0.397,0.49,0.495,0.487,0.493
0.469,0.4,0.486,0.495,0.489,0.494
0.471,0.402,0.486,0.494,0.492,0.497
0.476,0.405,0.489,0.493,0.494,0.499
0.477,0.408,0.494,0.494,0.497,0.501

0.535,0.705,0.419,0.539,0.512,0.632
0.613,0.615,0.446,0.54,0.524,0.662
0.676,0.508,0.463,0.531,0.528,0.691
0.738,0.441,0.478,0.514,0.528,0.715
0.796,0.363,0.511,0.495,0.526,0.734
0.824,0.157,0.526,0.484,0.518,0.746
0.748,0,0.522,0.469,0.507,0.745
0.586,0,0.495,0.438,0.499,0.718
0.476,0,0.524,0.402,0.502,0.663
0.503,0.107,0.571,0.395,0.515,0.595
0.571,0.287,0.599,0.423,0.522,0.537
0.569,0.356,0.615,0.469,0.516,0.5
0.542,0.315,0.616,0.511,0.505,0.482
0.536,0.262,0.607,0.529,0.498,0.474
0.541,0.262,0.594,0.524,0.494,0.474
0.553,0.305,0.572,0.508,0.492,0.477
0.554,0.357,0.554,0.495,0.49,0.483
0.543,0.381,0.543,0.49,0.489,0.489
0.531,0.378,0.536,0.491,0.488,0.493
0.522,0.375,0.533,0.493,0.487,0.494
0.514,0.381,0.527,0.495,0.486,0.492
0.511,0.404,0.515,0.497,0.484,0.489
0.5,0.426,0.504,0.501,0.482,0.488
0.486,0.431,0.497,0.508,0.481,0.488
0.481,0.421,0.491,0.514,0.482,0.489
0.475,0.405,0.488,0.517,0.484,0.491
0.473,0.386,0.485,0.517,0.487,0.492
0.476,0.378,0.486,0.512,0.491,0.494
0.483,0.38,0.491,0.507,0.496,0.496
0.492,0.382,0.498,0.501,0.5,0.498

0.516,0.719,0.43,0.538,0.512,0.656
0.68,0.58,0.478,0.532,0.531,0.685
0.744,0.422,0.481,0.526,0.529,0.713
0.784,0.308,0.488,0.513,0.526,0.731
0.809,0.218,0.512,0.497,0.521,0.738
0.812,0.068,0.537,0.487,0.516,0.735
0.756,0,0.56,0.477,0.508,0.719
0.632,0,0.576,0.46,0.498,0.684
0.543,0,0.58,0.44,0.492,0.636
0.514,0.002,0.565,0.425,0.493,0.585
0.537,0.171,0.546,0.421,0.497,0.543
0.546,0.327,0.539,0.432,0.5,0.516
0.542,0.406,0.538,0.455,0.5,0.503
0.537,0.408,0.538,0.483,0.5,0.499
0.527,0.364,0.547,0.505,0.502,0.497
0.534,0.315,0.558,0.516,0.504,0.495
0.551,0.304,0.566,0.516,0.505,0.492
0.559,0.321,0.568,0.511,0.504,0.488
0.554,0.341,0.564,0.507,0.5,0.486
0.546,0.355,0.557,0.506,0.496,0.485
0.536,0.368,0.547,0.505,0.492,0.484
0.524,0.376,0.54,0.505,0.489,0.484
0.514,0.379,0.534,0.506,0.487,0.483
0.508,0.38,0.529,0.507,0.486,0.482
0.506,0.382,0.525,0.507,0.486,0.48
0.51,0.383,0.521,0.507,0.486,0.479
0.512,0.389,0.52,0.506,0.487,0.479
0.513,0.394,0.519,0.504,0.487,0.479
0.513,0.398,0.517,0.503,0.488,0.481
0.52,0.409,0.513,0.501,0.49,0.483

0.627,0,0.515,0.452,0.511,0.711
0.508,0,0.489,0.406,0.512,0.685
0.485,0.063,0.526,0.37,0.522,0.643
0.539,0.275,0.59,0.376,0.532,0.593
0.58,0.394,0.63,0.42,0.528,0.547
0.575,0.388,0.639,0.478,0.513,0.512
0.544,0.312,0.619,0.527,0.497,0.487
0.52,0.255,0.596,0.549,0.487,0.472
0.522,0.246,0.581,0.545,0.485,0.466
0.538,0.279,0.571,0.528,0.487,0.468
0.548,0.329,0.559,0.507,0.488,0.477
0.541,0.369,0.549,0.493,0.488,0.487
0.53,0.381,0.541,0.486,0.487,0.496
0.52,0.382,0.535,0.484,0.485,0.501
0.512,0.386,0.532,0.484,0.484,0.501
0.508,0.391,0.531,0.487,0.482,0.499
0.506,0.393,0.53,0.491,0.48,0.496
0.504,0.394,0.529,0.495,0.478,0.493
0.502,0.392,0.524,0.498,0.476,0.49
0.498,0.392,0.518,0.5,0.475,0.489
0.495,0.393,0.512,0.501,0.475,0.489
0.491,0.395,0.507,0.501,0.477,0.49
0.485,0.394,0.503,0.501,0.479,0.491
0.481,0.394,0.5,0.5,0.482,0.492
0.483,0.398,0.5,0.499,0.487,0.493
0.489,0.404,0.502,0.499,0.491,0.494
0.494,0.407,0.506,0.499,0.494,0.496
0.497,0.408,0.511,0.501,0.497,0.497
0.499,0.406,0.517,0.504,0.499,0.498
0.503,0.401,0.522,0.507,0.499,0.498

0.506,0.893,0.458,0.536,0.474,0.516
0.463,0.833,0.422,0.556,0.475,0.555
0.489,0.734,0.408,0.567,0.488,0.593
0.574,0.632,0.431,0.565,0.505,0.629
0.66,0.56,0.458,0.553,0.515,0.662
0.734,0.492,0.485,0.54,0.514,0.688
0.779,0.324,0.484,0.533,0.505,0.707
0.759,0.172,0.485,0.526,0.494,0.714
0.753,0.126,0.503,0.515,0.486,0.704
0.745,0.082,0.519,0.512,0.477,0.68
0.682,0,0.499,0.521,0.465,0.647
0.56,0,0.469,0.521,0.453,0.608
0.465,0,0.438,0.506,0.452,0.569
0.442,0.01,0.419,0.484,0.465,0.531
0.48,0.171,0.428,0.469,0.484,0.504
0.515,0.303,0.454,0.467,0.498,0.49
0.53,0.36,0.476,0.479,0.503,0.486
0.53,0.358,0.491,0.492,0.503,0.486
0.525,0.334,0.499,0.499,0.501,0.489
0.524,0.318,0.501,0.499,0.501,0.491
0.526,0.321,0.5,0.494,0.5,0.493
0.526,0.339,0.501,0.487,0.5,0.493
0.523,0.358,0.502,0.484,0.499,0.493
0.517,0.367,0.504,0.483,0.498,0.493
0.512,0.37,0.506,0.485,0.497,0.491
0.513,0.376,0.505,0.486,0.495,0.489
0.515,0.391,0.502,0.487,0.493,0.487
0.516,0.413,0.497,0.49,0.492,0.485
0.513,0.429,0.493,0.494,0.49,0.485
0.507,0.432,0.491,0.499,0.489,0.486

0.499,0.726,0.375,0.556,0.497,0.607
0.59,0.617,0.398,0.569,0.513,0.638
0.677,0.494,0.447,0.566,0.522,0.666
0.742,0.346,0.481,0.549,0.523,0.689
0.757,0.177,0.495,0.525,0.516,0.706
0.719,0.009,0.509,0.496,0.508,0.712
0.655,0,0.501,0.465,0.501,0.702
0.553,0,0.499,0.432,0.497,0.672
0.511,0.01,0.518,0.409,0.502,0.628
0.533,0.18,0.55,0.411,0.51,0.583
0.553,0.3,0.566,0.441,0.51,0.542
0.543,0.334,0.567,0.489,0.504,0.509
0.525,0.299,0.553,0.531,0.497,0.485
0.513,0.255,0.538,0.554,0.493,0.469
0.513,0.231,0.532,0.554,0.492,0.462
0.528,0.238,0.529,0.537,0.495,0.465
0.543,0.28,0.526,0.512,0.498,0.473
0.544,0.336,0.522,0.491,0.498,0.484
0.536,0.374,0.519,0.48,0.496,0.493
0.525,0.385,0.515,0.479,0.494,0.497
0.517,0.388,0.512,0.484,0.492,0.496
0.512,0.392,0.508,0.49,0.489,0.493
0.506,0.397,0.502,0.496,0.487,0.488
0.5,0.399,0.498,0.501,0.486,0.485
0.496,0.397,0.494,0.506,0.486,0.484
0.493,0.395,0.492,0.508,0.487,0.483
0.493,0.393,0.49,0.508,0.488,0.484
0.496,0.39,0.487,0.507,0.49,0.485
0.499,0.391,0.484,0.504,0.493,0.487
0.5,0.395,0.484,0.502,0.495,0.49

0.428,0.801,0.384,0.555,0.498,0.587
0.548,0.575,0.398,0.566,0.516,0.615
0.611,0.477,0.441,0.558,0.527,0.64
0.66,0.408,0.485,0.538,0.53,0.66
0.692,0.325,0.512,0.52,0.526,0.673
0.704,0.242,0.541,0.504,0.518,0.68
0.7,0.11,0.56,0.492,0.508,0.678
0.648,0,0.542,0.479,0.494,0.664
0.567,0,0.515,0.463,0.485,0.635
0.53,0.066,0.513,0.451,0.486,0.597
0.536,0.181,0.521,0.458,0.493,0.559
0.538,0.259,0.53,0.481,0.497,0.527
0.525,0.283,0.53,0.51,0.497,0.502
0.511,0.271,0.524,0.532,0.495,0.487
0.512,0.254,0.521,0.54,0.495,0.479
0.521,0.253,0.521,0.534,0.497,0.477
0.528,0.271,0.52,0.52,0.498,0.481
0.529,0.304,0.518,0.502,0.498,0.487
0.53,0.338,0.516,0.489,0.497,0.492
0.528,0.369,0.508,0.483,0.495,0.494
0.517,0.388,0.502,0.483,0.493,0.493
0.507,0.391,0.497,0.488,0.49,0.491
0.501,0.385,0.494,0.494,0.489,0.487
0.496,0.38,0.494,0.498,0.489,0.484
0.497,0.378,0.493,0.499,0.489,0.481
0.502,0.384,0.488,0.499,0.489,0.479
0.507,0.404,0.481,0.498,0.49,0.48
0.504,0.424,0.477,0.498,0.49,0.482
0.497,0.424,0.474,0.501,0.491,0.486
0.494,0.413,0.474,0.503,0.493,0.491

0.542,0.001,0.449,0.51,0.51,0.664
0.519,0.092,0.496,0.483,0.514,0.638
0.545,0.158,0.538,0.476,0.52,0.615
0.558,0.166,0.567,0.482,0.518,0.597
0.54,0.121,0.572,0.487,0.508,0.58
0.502,0.112,0.552,0.486,0.498,0.561
0.489,0.158,0.538,0.48,0.494,0.541
0.492,0.22,0.527,0.479,0.493,0.523
0.494,0.273,0.519,0.485,0.493,0.508
0.495,0.3,0.517,0.495,0.493,0.498
0.496,0.306,0.519,0.503,0.493,0.49
0.499,0.309,0.519,0.507,0.492,0.485
0.5,0.321,0.514,0.505,0.491,0.483
0.499,0.341,0.51,0.499,0.491,0.484
0.499,0.354,0.508,0.493,0.49,0.486
0.498,0.364,0.506,0.487,0.49,0.489
0.498,0.374,0.504,0.483,0.489,0.491
0.499,0.381,0.5,0.481,0.488,0.492
0.499,0.39,0.495,0.481,0.486,0.492
0.496,0.403,0.488,0.483,0.485,0.491
0.489,0.413,0.482,0.486,0.483,0.491
0.482,0.417,0.476,0.491,0.483,0.492
0.477,0.414,0.472,0.495,0.485,0.492
0.473,0.408,0.47,0.498,0.487,0.494
0.471,0.401,0.47,0.5,0.49,0.496
0.473,0.396,0.473,0.499,0.494,0.497
0.477,0.394,0.477,0.498,0.498,0.499
0.482,0.39,0.482,0.498,0.5,0.5
0.486,0.387,0.489,0.497,0.503,0.501
0.49,0.385,0.496,0.498,0.504,0.501

0.539,0.955,0.44,0.518,0.468,0.521
0.512,0.907,0.416,0.528,0.474,0.568
0.502,0.779,0.405,0.536,0.486,0.614
0.537,0.702,0.402,0.532,0.503,0.652
0.635,0.644,0.423,0.523,0.522,0.684
0.731,0.523,0.448,0.52,0.53,0.709
0.791,0.335,0.457,0.517,0.528,0.729
0.793,0.2,0.472,0.505,0.52,0.737
0.783,0.143,0.503,0.491,0.513,0.731
0.785,0.093,0.545,0.486,0.506,0.716
0.775,0.013,0.572,0.492,0.498,0.691
0.698,0,0.587,0.499,0.484,0.656
0.585,0,0.574,0.502,0.47,0.612
0.474,0,0.541,0.498,0.465,0.564
0.447,0,0.507,0.485,0.472,0.521
0.475,0.106,0.5,0.469,0.486,0.49
0.521,0.257,0.503,0.458,0.497,0.474
0.549,0.373,0.504,0.46,0.5,0.469
0.539,0.416,0.506,0.471,0.498,0.474
0.528,0.4,0.506,0.485,0.496,0.481
0.525,0.374,0.506,0.494,0.495,0.486
0.52,0.364,0.506,0.496,0.495,0.488
0.514,0.367,0.505,0.495,0.494,0.488
0.509,0.376,0.504,0.493,0.494,0.489
0.504,0.386,0.503,0.492,0.494,0.489
0.498,0.393,0.504,0.492,0.493,0.489
0.496,0.396,0.505,0.493,0.493,0.49
0.497,0.402,0.502,0.494,0.493,0.49
0.496,0.415,0.497,0.496,0.492,0.49
0.494,0.425,0.492,0.499,0.492,0.49

0.508,0.849,0.404,0.508,0.49,0.522
0.495,0.841,0.394,0.529,0.496,0.551
0.509,0.759,0.401,0.549,0.508,0.581
0.535,0.665,0.417,0.558,0.521,0.608
0.579,0.646,0.425,0.549,0.531,0.636
0.655,0.609,0.443,0.535,0.538,0.666
0.726,0.501,0.459,0.525,0.54,0.697
0.78,0.36,0.468,0.514,0.539,0.722
0.804,0.186,0.471,0.501,0.536,0.736
0.765,0,0.491,0.488,0.531,0.735
0.671,0,0.518,0.474,0.527,0.713
0.572,0,0.566,0.458,0.523,0.662
0.559,0.004,0.627,0.454,0.521,0.602
0.573,0.096,0.634,0.469,0.516,0.553
0.556,0.184,0.61,0.487,0.504,0.519
0.533,0.247,0.58,0.499,0.494,0.5
0.527,0.282,0.558,0.505,0.489,0.495
0.524,0.302,0.543,0.506,0.488,0.496
0.525,0.313,0.531,0.504,0.489,0.5
0.528,0.327,0.525,0.499,0.49,0.503
0.528,0.341,0.521,0.495,0.49,0.504
0.524,0.346,0.515,0.494,0.49,0.504
0.514,0.35,0.509,0.493,0.489,0.502
0.506,0.361,0.504,0.493,0.488,0.499
0.502,0.373,0.501,0.493,0.488,0.496
0.5,0.382,0.497,0.494,0.487,0.494
0.499,0.39,0.491,0.496,0.487,0.492
0.498,0.401,0.484,0.499,0.487,0.49
0.493,0.409,0.48,0.502,0.488,0.49
0.489,0.405,0.478,0.505,0.489,0.491

0.586,0.73,0.413,0.547,0.535,0.614
0.66,0.674,0.439,0.552,0.542,0.644
0.757,0.579,0.458,0.556,0.545,0.675
0.85,0.478,0.468,0.554,0.54,0.703
0.907,0.247,0.468,0.549,0.531,0.729
0.858,0,0.484,0.535,0.522,0.745
0.762,0,0.523,0.499,0.517,0.741
0.683,0,0.573,0.447,0.516,0.716
0.646,0,0.633,0.41,0.516,0.676
0.631,0.067,0.662,0.408,0.509,0.628
0.609,0.187,0.643,0.435,0.497,0.579
0.588,0.249,0.601,0.474,0.486,0.536
0.567,0.259,0.564,0.51,0.481,0.505
0.553,0.247,0.548,0.532,0.481,0.485
0.55,0.235,0.546,0.538,0.484,0.476
0.562,0.247,0.55,0.529,0.489,0.475
0.57,0.286,0.55,0.513,0.49,0.478
0.568,0.33,0.542,0.499,0.489,0.483
0.564,0.367,0.529,0.491,0.486,0.489
0.552,0.39,0.517,0.489,0.483,0.494
0.536,0.399,0.508,0.491,0.481,0.496
0.526,0.397,0.502,0.496,0.48,0.496
0.517,0.392,0.496,0.501,0.479,0.495
0.507,0.387,0.491,0.505,0.479,0.493
0.501,0.385,0.488,0.508,0.48,0.49
0.5,0.383,0.488,0.509,0.482,0.488
0.5,0.384,0.49,0.508,0.485,0.487
0.503,0.386,0.493,0.507,0.487,0.486
0.504,0.389,0.496,0.505,0.489,0.485
0.517,0.391,0.497,0.504,0.492,0.486

0.703,0.465,0.506,0.503,0.54,0.697
0.766,0.373,0.544,0.491,0.532,0.716
0.803,0.288,0.578,0.475,0.521,0.728
0.824,0.151,0.601,0.46,0.507,0.733
0.754,0,0.595,0.443,0.491,0.727
0.584,0,0.568,0.408,0.478,0.702
0.485,0,0.536,0.365,0.474,0.66
0.49,0.109,0.509,0.342,0.481,0.605
0.521,0.395,0.501,0.357,0.491,0.552
0.522,0.562,0.521,0.404,0.498,0.516
0.517,0.546,0.543,0.469,0.502,0.497
0.526,0.434,0.557,0.525,0.504,0.484
0.54,0.335,0.578,0.552,0.506,0.475
0.568,0.29,0.596,0.554,0.507,0.47
0.599,0.299,0.608,0.54,0.506,0.47
0.615,0.337,0.609,0.52,0.502,0.475
0.606,0.369,0.601,0.504,0.496,0.484
0.59,0.383,0.591,0.494,0.49,0.491
0.573,0.39,0.579,0.489,0.485,0.496
0.559,0.4,0.563,0.487,0.48,0.497
0.543,0.412,0.545,0.489,0.476,0.496
0.529,0.423,0.53,0.493,0.473,0.495
0.522,0.433,0.521,0.498,0.473,0.494
0.512,0.433,0.515,0.505,0.473,0.494
0.503,0.42,0.509,0.511,0.474,0.495
0.498,0.405,0.507,0.515,0.477,0.495
0.499,0.394,0.508,0.517,0.481,0.495
0.503,0.385,0.509,0.516,0.485,0.494
0.509,0.384,0.515,0.514,0.489,0.494
0.513,0.378,0.519,0.511,0.492,0.495

0.75,0.224,0.536,0.494,0.52,0.708
0.717,0.038,0.533,0.49,0.515,0.7
0.62,0,0.549,0.476,0.509,0.672
0.541,0,0.573,0.458,0.503,0.63
0.52,0.011,0.572,0.444,0.501,0.587
0.542,0.144,0.567,0.435,0.503,0.55
0.556,0.295,0.56,0.432,0.503,0.528
0.547,0.392,0.561,0.441,0.501,0.52
0.542,0.403,0.572,0.46,0.5,0.518
0.548,0.365,0.58,0.48,0.497,0.513
0.554,0.337,0.581,0.493,0.494,0.506
0.555,0.333,0.574,0.498,0.491,0.499
0.552,0.348,0.563,0.5,0.488,0.493
0.545,0.363,0.555,0.501,0.487,0.489
0.536,0.37,0.55,0.503,0.486,0.486
0.528,0.369,0.546,0.504,0.485,0.483
0.52,0.368,0.542,0.504,0.484,0.481
0.519,0.376,0.536,0.503,0.483,0.478
0.519,0.391,0.529,0.502,0.483,0.477
0.51,0.403,0.523,0.502,0.482,0.477
0.504,0.406,0.52,0.502,0.482,0.477
0.503,0.409,0.518,0.503,0.483,0.479
0.503,0.414,0.519,0.504,0.484,0.48
0.503,0.414,0.514,0.506,0.484,0.481
0.502,0.41,0.512,0.507,0.486,0.483
0.501,0.401,0.512,0.507,0.489,0.486
0.505,0.393,0.516,0.506,0.492,0.49
0.509,0.387,0.522,0.504,0.496,0.493
0.512,0.385,0.528,0.502,0.498,0.495
0.513,0.387,0.532,0.5,0.498,0.497

0.703,0.412,0.476,0.544,0.527,0.67
0.74,0.272,0.473,0.547,0.521,0.679
0.711,0.073,0.474,0.541,0.512,0.681
0.607,0,0.462,0.524,0.504,0.67
0.533,0,0.472,0.498,0.506,0.645
0.525,0,0.504,0.477,0.517,0.62
0.522,0.009,0.533,0.459,0.523,0.594
0.517,0.122,0.554,0.445,0.522,0.566
0.522,0.234,0.564,0.443,0.518,0.541
0.534,0.307,0.567,0.455,0.514,0.522
0.544,0.341,0.572,0.473,0.509,0.509
0.546,0.339,0.571,0.492,0.503,0.5
0.54,0.32,0.562,0.506,0.497,0.493
