aX,aY,aZ,gX,gY,gZ
0.309,0.707,0.139,0.447,0.596,0.529
0.424,0.784,0.14,0.441,0.637,0.541
0.586,0.841,0.182,0.446,0.681,0.556
0.768,0.875,0.246,0.459,0.714,0.571
0.881,0.811,0.282,0.477,0.73,0.584
0.917,0.666,0.348,0.498,0.736,0.591
0.934,0.524,0.474,0.509,0.738,0.583
0.904,0.478,0.641,0.504,0.725,0.565
0.836,0.505,0.803,0.493,0.695,0.545
0.792,0.537,0.933,0.491,0.656,0.529
0.748,0.539,0.995,0.5,0.613,0.514
0.701,0.508,0.964,0.511,0.569,0.5
0.649,0.521,0.882,0.509,0.528,0.489
0.605,0.587,0.808,0.498,0.498,0.483
0.566,0.665,0.747,0.49,0.478,0.482
0.539,0.693,0.691,0.492,0.467,0.487
0.53,0.669,0.642,0.498,0.462,0.494
0.522,0.63,0.604,0.502,0.461,0.5
0.506,0.618,0.582,0.501,0.461,0.502
0.498,0.613,0.567,0.501,0.462,0.502
0.489,0.599,0.55,0.503,0.464,0.5
0.474,0.59,0.534,0.505,0.466,0.498
0.462,0.592,0.52,0.505,0.467,0.495
0.455,0.595,0.509,0.505,0.47,0.494
0.449,0.595,0.499,0.504,0.472,0.493
0.441,0.602,0.491,0.503,0.475,0.493
0.434,0.611,0.49,0.502,0.479,0.494
0.428,0.623,0.491,0.502,0.484,0.495
0.428,0.623,0.496,0.503,0.489,0.496
0.433,0.616,0.505,0.506,0.494,0.498

0.333,0.573,0.161,0.475,0.563,0.51
0.372,0.602,0.125,0.461,0.595,0.514
0.452,0.666,0.126,0.451,0.633,0.516
0.576,0.751,0.164,0.447,0.671,0.522
0.724,0.833,0.23,0.45,0.7,0.53
0.818,0.841,0.291,0.467,0.716,0.539
0.852,0.738,0.358,0.495,0.722,0.547
0.863,0.592,0.441,0.521,0.726,0.546
0.847,0.489,0.564,0.53,0.72,0.537
0.818,0.466,0.692,0.522,0.701,0.527
0.783,0.485,0.811,0.51,0.67,0.516
0.752,0.53,0.894,0.502,0.633,0.505
0.718,0.562,0.925,0.499,0.594,0.496
0.685,0.579,0.902,0.497,0.555,0.492
0.655,0.613,0.849,0.492,0.521,0.491
0.618,0.654,0.782,0.485,0.493,0.493
0.584,0.693,0.721,0.482,0.475,0.497
0.564,0.703,0.666,0.485,0.465,0.503
0.555,0.666,0.616,0.491,0.461,0.508
0.542,0.616,0.575,0.496,0.46,0.511
0.52,0.592,0.548,0.495,0.461,0.51
0.499,0.595,0.534,0.492,0.464,0.507
0.482,0.603,0.526,0.493,0.468,0.503
0.474,0.604,0.519,0.496,0.472,0.5
