aX,aY,aZ,gX,gY,gZ
0.502,0.171,0.416,0.49,0.522,0.388
0.52,0.288,0.437,0.486,0.532,0.368
0.543,0.388,0.454,0.479,0.54,0.354
0.562,0.535,0.469,0.473,0.544,0.345
0.546,0.76,0.484,0.472,0.542,0.339
0.462,0.986,0.49,0.483,0.538,0.338
0.363,1,0.5,0.507,0.54,0.351
0.335,1,0.571,0.524,0.547,0.387
0.369,0.954,0.661,0.516,0.544,0.443
0.412,0.881,0.746,0.494,0.527,0.497
0.417,0.824,0.757,0.476,0.5,0.533
0.384,0.769,0.71,0.469,0.476,0.551
0.366,0.698,0.653,0.478,0.462,0.554
0.35,0.609,0.588,0.495,0.46,0.547
0.346,0.542,0.541,0.508,0.466,0.537
0.353,0.507,0.515,0.513,0.475,0.528
0.362,0.495,0.507,0.513,0.482,0.521
0.372,0.495,0.509,0.511,0.488,0.518
0.382,0.497,0.512,0.51,0.491,0.516
0.391,0.495,0.512,0.51,0.493,0.516
0.4,0.489,0.509,0.511,0.493,0.516
0.407,0.481,0.504,0.511,0.494,0.515
0.412,0.478,0.5,0.511,0.495,0.514
0.415,0.475,0.499,0.511,0.496,0.513
0.415,0.465,0.499,0.512,0.497,0.512
0.414,0.45,0.499,0.512,0.498,0.512
0.412,0.434,0.499,0.511,0.498,0.512
0.411,0.424,0.499,0.51,0.498,0.512
0.408,0.418,0.499,0.508,0.497,0.511
0.401,0.416,0.499,0.506,0.497,0.51

0.471,0.22,0.397,0.496,0.503,0.431
0.497,0.248,0.406,0.5,0.518,0.405
0.519,0.267,0.418,0.502,0.53,0.383
0.542,0.31,0.428,0.497,0.539,0.365
0.568,0.43,0.45,0.483,0.544,0.353
0.583,0.622,0.474,0.466,0.544,0.346
0.554,0.849,0.498,0.459,0.538,0.345
0.458,1,0.512,0.47,0.529,0.354
0.36,1,0.527,0.496,0.527,0.376
0.337,0.987,0.565,0.52,0.533,0.409
0.366,0.935,0.615,0.524,0.537,0.445
0.398,0.889,0.661,0.514,0.531,0.479
0.404,0.835,0.69,0.5,0.515,0.506
0.392,0.795,0.688,0.49,0.498,0.524
0.378,0.744,0.661,0.489,0.484,0.535
0.375,0.673,0.615,0.496,0.476,0.539
0.372,0.597,0.566,0.505,0.473,0.54
0.372,0.536,0.526,0.511,0.475,0.537
0.376,0.497,0.499,0.513,0.478,0.533
0.383,0.477,0.485,0.512,0.483,0.529
0.391,0.468,0.48,0.511,0.488,0.524
0.401,0.465,0.481,0.51,0.493,0.52
0.411,0.464,0.483,0.51,0.496,0.517
0.415,0.465,0.485,0.51,0.498,0.514
0.417,0.468,0.486,0.51,0.499,0.511
0.417,0.47,0.487,0.51,0.5,0.508
0.416,0.465,0.49,0.51,0.501,0.506
0.408,0.457,0.493,0.51,0.501,0.504
0.399,0.455,0.496,0.507,0.499,0.503
0.392,0.457,0.497,0.504,0.498,0.503

0.534,0.09,0.448,0.486,0.522,0.509
0.56,0.099,0.478,0.471,0.523,0.488
0.588,0.142,0.505,0.466,0.523,0.46
0.595,0.189,0.516,0.472,0.52,0.428
0.58,0.226,0.502,0.482,0.515,0.398
0.56,0.265,0.472,0.486,0.513,0.374
0.55,0.356,0.441,0.481,0.515,0.358
0.534,0.539,0.413,0.47,0.518,0.346
0.495,0.733,0.401,0.468,0.524,0.339
0.438,0.855,0.419,0.479,0.533,0.341
0.388,0.909,0.463,0.493,0.543,0.355
0.373,0.93,0.547,0.498,0.551,0.381
0.375,0.947,0.64,0.493,0.548,0.419
0.38,0.935,0.703,0.485,0.532,0.461
0.377,0.875,0.709,0.48,0.51,0.497
0.359,0.796,0.68,0.479,0.491,0.521
0.342,0.723,0.639,0.483,0.479,0.532
0.336,0.652,0.598,0.49,0.476,0.534
0.337,0.587,0.565,0.498,0.478,0.531
0.339,0.545,0.542,0.503,0.483,0.525
0.343,0.527,0.53,0.505,0.489,0.519
0.351,0.524,0.526,0.507,0.494,0.514
