aX,aY,aZ,gX,gY,gZ
0.569,0.845,0.463,0.544,0.486,0.449
0.606,0.91,0.45,0.545,0.488,0.462
0.621,0.934,0.453,0.553,0.488,0.483
0.606,0.886,0.461,0.565,0.487,0.512
0.58,0.794,0.464,0.57,0.489,0.543
0.561,0.708,0.466,0.563,0.493,0.572
0.541,0.629,0.47,0.549,0.499,0.599
0.509,0.549,0.471,0.534,0.506,0.623
0.473,0.421,0.465,0.524,0.513,0.643
0.42,0.247,0.461,0.52,0.519,0.654
0.365,0.121,0.474,0.519,0.522,0.647
0.325,0.081,0.509,0.513,0.522,0.616
0.315,0.092,0.554,0.505,0.521,0.577
0.309,0.077,0.577,0.505,0.516,0.551
0.279,0.057,0.574,0.506,0.509,0.535
0.274,0.079,0.592,0.501,0.507,0.52
0.293,0.149,0.613,0.492,0.504,0.503
0.323,0.246,0.622,0.485,0.5,0.486
0.353,0.348,0.619,0.482,0.493,0.47
0.375,0.435,0.6,0.483,0.485,0.461
0.384,0.492,0.568,0.487,0.478,0.457
0.387,0.522,0.534,0.49,0.475,0.46
0.393,0.535,0.505,0.491,0.476,0.466
0.397,0.543,0.484,0.489,0.481,0.474
0.403,0.551,0.473,0.486,0.488,0.482
0.411,0.557,0.472,0.484,0.495,0.489
0.419,0.56,0.478,0.484,0.5,0.494
0.423,0.561,0.488,0.484,0.504,0.497
0.423,0.562,0.499,0.486,0.506,0.499
0.422,0.559,0.508,0.487,0.506,0.501

0.582,0.9,0.413,0.524,0.484,0.45
0.621,0.986,0.391,0.538,0.481,0.458
0.62,0.994,0.396,0.564,0.476,0.477
0.609,0.91,0.396,0.59,0.472,0.505
0.59,0.788,0.416,0.603,0.474,0.534
0.572,0.68,0.451,0.595,0.48,0.563
0.564,0.592,0.477,0.571,0.49,0.594
0.545,0.532,0.478,0.54,0.499,0.623
0.524,0.482,0.473,0.513,0.509,0.646
0.509,0.385,0.462,0.502,0.517,0.662
0.494,0.277,0.46,0.507,0.518,0.667
0.454,0.169,0.474,0.526,0.516,0.652
0.408,0.09,0.508,0.544,0.509,0.62
0.406,0.009,0.515,0.557,0.5,0.589
0.383,0,0.519,0.56,0.492,0.561
0.331,0,0.512,0.547,0.48,0.532
0.248,0,0.477,0.522,0.472,0.501
0.26,0.092,0.507,0.498,0.481,0.476
0.301,0.228,0.54,0.484,0.49,0.464
0.335,0.33,0.55,0.481,0.494,0.459
0.357,0.398,0.547,0.482,0.493,0.46
0.367,0.442,0.532,0.483,0.49,0.464
0.371,0.468,0.51,0.484,0.488,0.469
0.373,0.483,0.491,0.483,0.489,0.474
0.379,0.498,0.479,0.482,0.493,0.478
0.388,0.519,0.473,0.479,0.498,0.481
0.399,0.539,0.474,0.478,0.502,0.485
0.408,0.548,0.478,0.478,0.505,0.489
0.413,0.548,0.483,0.48,0.507,0.493
0.414,0.547,0.489,0.482,0.509,0.497

0.588,1,0.31,0.544,0.487,0.465
0.557,0.933,0.333,0.585,0.49,0.488
0.556,0.806,0.351,0.606,0.496,0.511
0.557,0.723,0.377,0.602,0.502,0.534
0.547,0.677,0.405,0.583,0.51,0.56
0.541,0.645,0.429,0.563,0.52,0.587
0.544,0.606,0.438,0.548,0.529,0.61
0.552,0.503,0.456,0.546,0.535,0.627
0.535,0.337,0.475,0.559,0.536,0.631
0.467,0.172,0.499,0.577,0.526,0.618
0.389,0.026,0.518,0.58,0.511,0.594
0.333,0,0.534,0.566,0.501,0.568
0.284,0,0.545,0.547,0.498,0.543
0.263,0,0.571,0.523,0.496,0.52
0.236,0.02,0.562,0.499,0.495,0.502
0.262,0.151,0.578,0.484,0.497,0.488
0.298,0.271,0.59,0.479,0.499,0.476
0.326,0.371,0.585,0.481,0.496,0.467
0.348,0.432,0.571,0.486,0.491,0.461
0.362,0.462,0.547,0.491,0.487,0.459
0.372,0.48,0.522,0.492,0.487,0.461
0.385,0.502,0.501,0.489,0.489,0.465
0.398,0.53,0.486,0.485,0.494,0.469
0.412,0.556,0.481,0.482,0.499,0.474
0.424,0.569,0.48,0.482,0.503,0.479
0.431,0.569,0.482,0.485,0.507,0.484
0.435,0.564,0.487,0.486,0.509,0.488
0.435,0.571,0.491,0.487,0.51,0.491
0.435,0.589,0.497,0.486,0.511,0.491
0.437,0.608,0.503,0.487,0.511,0.492

0.521,0.788,0.409,0.48,0.479,0.456
0.547,0.895,0.361,0.484,0.475,0.459
0.58,0.987,0.317,0.497,0.473,0.467
0.603,1,0.299,0.524,0.472,0.481
0.575,0.964,0.305,0.557,0.473,0.502
0.563,0.849,0.315,0.579,0.479,0.522
0.555,0.74,0.341,0.579,0.49,0.544
0.54,0.653,0.37,0.562,0.505,0.569
0.525,0.569,0.393,0.537,0.522,0.595
0.488,0.463,0.399,0.513,0.538,0.618
0.456,0.361,0.415,0.497,0.553,0.635
0.447,0.266,0.496,0.498,0.561,0.639
0.444,0.145,0.601,0.519,0.56,0.622
0.435,0.006,0.646,0.544,0.544,0.591
0.397,0,0.643,0.56,0.52,0.552
0.318,0,0.636,0.559,0.497,0.514
0.276,0.011,0.633,0.546,0.483,0.487
0.259,0.123,0.62,0.531,0.478,0.474
0.262,0.23,0.599,0.514,0.479,0.47
0.289,0.32,0.577,0.499,0.484,0.471
0.326,0.392,0.552,0.489,0.489,0.475
0.353,0.443,0.53,0.484,0.493,0.479
0.375,0.476,0.513,0.483,0.495,0.481
0.394,0.5,0.501,0.485,0.496,0.482
0.41,0.52,0.494,0.488,0.496,0.48
0.422,0.535,0.49,0.492,0.496,0.479
0.428,0.54,0.487,0.496,0.497,0.48
0.429,0.538,0.485,0.498,0.497,0.483
0.425,0.54,0.483,0.498,0.499,0.487
0.417,0.548,0.484,0.496,0.501,0.491

0.56,0.852,0.425,0.554,0.491,0.49
0.558,0.793,0.437,0.565,0.493,0.507
0.567,0.755,0.445,0.564,0.496,0.527
0.575,0.739,0.45,0.553,0.5,0.55
0.573,0.724,0.46,0.541,0.503,0.577
0.569,0.687,0.465,0.532,0.507,0.604
0.573,0.613,0.458,0.529,0.512,0.629
0.567,0.466,0.442,0.53,0.516,0.647
0.522,0.29,0.428,0.534,0.517,0.654
0.444,0.13,0.435,0.534,0.516,0.645
0.368,0.018,0.463,0.53,0.515,0.619
0.333,0,0.512,0.524,0.517,0.585
0.324,0,0.553,0.519,0.519,0.554
0.318,0,0.582,0.513,0.516,0.53
0.311,0.061,0.602,0.504,0.511,0.512
0.308,0.166,0.606,0.496,0.505,0.498
0.312,0.267,0.598,0.49,0.5,0.489
0.324,0.349,0.582,0.487,0.497,0.483
0.345,0.404,0.567,0.487,0.495,0.48
0.359,0.432,0.551,0.491,0.493,0.479
0.367,0.443,0.534,0.494,0.491,0.478
0.375,0.452,0.52,0.495,0.49,0.478
0.382,0.462,0.507,0.494,0.491,0.48
0.389,0.477,0.5,0.492,0.493,0.482
0.4,0.496,0.498,0.49,0.495,0.483
0.409,0.514,0.5,0.49,0.497,0.484
0.413,0.527,0.502,0.49,0.498,0.486
0.41,0.533,0.502,0.492,0.497,0.488
0.403,0.54,0.502,0.494,0.497,0.489
0.4,0.553,0.502,0.495,0.497,0.489

0.314,0.018,0.542,0.54,0.504,0.571
0.291,0.028,0.555,0.52,0.501,0.546
0.284,0.038,0.571,0.507,0.503,0.532
0.282,0.069,0.588,0.497,0.504,0.524
0.295,0.138,0.601,0.488,0.502,0.513
0.318,0.243,0.607,0.483,0.497,0.498
0.337,0.353,0.598,0.484,0.49,0.483
0.347,0.436,0.572,0.49,0.482,0.471
0.352,0.478,0.535,0.498,0.477,0.467
0.354,0.493,0.502,0.502,0.476,0.469
