aX,aY,aZ,gX,gY,gZ
0.391,0.721,0.374,0.66,0.548,0.458
0.388,0.746,0.367,0.696,0.561,0.452
0.391,0.754,0.343,0.734,0.574,0.449
0.397,0.727,0.315,0.773,0.586,0.449
0.415,0.673,0.291,0.806,0.596,0.454
0.448,0.61,0.293,0.826,0.602,0.461
0.48,0.569,0.321,0.832,0.602,0.469
0.509,0.534,0.362,0.83,0.597,0.475
0.553,0.482,0.42,0.821,0.588,0.48
0.593,0.391,0.469,0.805,0.574,0.484
0.615,0.298,0.521,0.771,0.554,0.487
0.641,0.231,0.57,0.715,0.531,0.491
0.659,0.188,0.594,0.643,0.505,0.497
0.615,0.199,0.588,0.565,0.479,0.504
0.546,0.302,0.571,0.498,0.461,0.507
0.493,0.431,0.57,0.465,0.457,0.503
0.471,0.52,0.58,0.47,0.466,0.496
0.469,0.544,0.589,0.497,0.481,0.49
0.488,0.518,0.593,0.526,0.495,0.488
0.512,0.46,0.597,0.542,0.502,0.491
0.528,0.408,0.596,0.54,0.503,0.497
0.53,0.384,0.589,0.524,0.498,0.502
0.516,0.39,0.58,0.506,0.494,0.505
0.506,0.409,0.578,0.492,0.493,0.506
0.504,0.426,0.581,0.487,0.495,0.504
0.506,0.439,0.59,0.487,0.498,0.502
0.512,0.452,0.603,0.491,0.501,0.5
0.517,0.457,0.61,0.495,0.502,0.499
0.515,0.457,0.609,0.498,0.501,0.5
0.51,0.452,0.603,0.501,0.5,0.501

0.406,0.68,0.376,0.62,0.524,0.473
0.403,0.694,0.36,0.655,0.533,0.464
0.395,0.719,0.34,0.69,0.542,0.455
0.384,0.756,0.315,0.724,0.551,0.446
0.365,0.812,0.289,0.76,0.562,0.441
0.353,0.874,0.23,0.802,0.575,0.441
0.366,0.863,0.147,0.853,0.591,0.446
0.403,0.764,0.082,0.9,0.605,0.458
0.458,0.624,0.073,0.925,0.61,0.474
0.507,0.5,0.112,0.92,0.606,0.49
0.544,0.389,0.185,0.89,0.594,0.501
0.58,0.296,0.29,0.84,0.579,0.511
0.627,0.21,0.411,0.773,0.563,0.519
0.655,0.114,0.502,0.694,0.542,0.526
0.634,0.074,0.551,0.602,0.517,0.532
0.58,0.165,0.582,0.514,0.496,0.532
0.546,0.318,0.622,0.459,0.486,0.523
0.526,0.457,0.653,0.449,0.485,0.507
0.506,0.519,0.653,0.472,0.488,0.493
0.505,0.517,0.635,0.501,0.493,0.487
0.514,0.479,0.617,0.518,0.497,0.488
0.515,0.439,0.604,0.518,0.497,0.493
0.509,0.425,0.596,0.505,0.494,0.499
0.498,0.44,0.595,0.491,0.493,0.503
0.495,0.462,0.604,0.483,0.495,0.505
0.499,0.471,0.614,0.485,0.498,0.505
0.507,0.469,0.624,0.491,0.501,0.504
0.513,0.465,0.631,0.497,0.503,0.503
0.517,0.468,0.634,0.501,0.502,0.503
0.513,0.468,0.627,0.504,0.501,0.504

0.445,0.687,0.359,0.629,0.531,0.473
0.417,0.732,0.336,0.666,0.54,0.466
0.414,0.77,0.306,0.706,0.55,0.46
0.411,0.824,0.277,0.749,0.562,0.457
0.4,0.866,0.219,0.799,0.572,0.457
0.405,0.86,0.125,0.852,0.58,0.462
0.419,0.819,0.054,0.898,0.587,0.471
0.466,0.781,0.03,0.923,0.591,0.486
0.526,0.736,0.054,0.927,0.587,0.506
0.594,0.647,0.125,0.913,0.575,0.529
0.652,0.493,0.225,0.883,0.557,0.551
0.694,0.313,0.336,0.833,0.535,0.566
0.728,0.124,0.428,0.762,0.512,0.572
0.701,0,0.481,0.671,0.488,0.567
0.619,0,0.495,0.567,0.465,0.554
0.53,0.12,0.501,0.476,0.453,0.535
0.485,0.315,0.534,0.436,0.457,0.51
0.475,0.447,0.579,0.443,0.471,0.489
0.481,0.535,0.614,0.468,0.484,0.48
0.498,0.547,0.632,0.493,0.494,0.483
0.506,0.504,0.635,0.51,0.497,0.494
0.504,0.452,0.622,0.513,0.495,0.505
0.496,0.417,0.608,0.511,0.494,0.509
0.49,0.4,0.6,0.507,0.496,0.509
0.496,0.398,0.601,0.503,0.498,0.507
0.503,0.404,0.608,0.499,0.5,0.504
0.505,0.425,0.617,0.494,0.499,0.502
0.502,0.451,0.623,0.491,0.498,0.501
0.494,0.47,0.622,0.492,0.496,0.502
0.485,0.477,0.616,0.495,0.496,0.503

0.412,0.747,0.322,0.746,0.553,0.446
0.384,0.774,0.262,0.785,0.562,0.442
0.378,0.816,0.216,0.82,0.571,0.441
0.39,0.82,0.155,0.858,0.58,0.446
0.42,0.769,0.123,0.892,0.588,0.456
0.462,0.698,0.129,0.91,0.589,0.469
0.501,0.627,0.167,0.908,0.583,0.483
0.543,0.53,0.22,0.89,0.572,0.498
0.585,0.363,0.289,0.853,0.558,0.512
0.624,0.17,0.389,0.788,0.542,0.526
0.672,0.015,0.485,0.692,0.523,0.538
0.657,0,0.55,0.579,0.5,0.542
0.601,0.084,0.584,0.474,0.478,0.533
0.542,0.306,0.617,0.412,0.465,0.514
0.5,0.493,0.653,0.409,0.464,0.492
0.482,0.609,0.672,0.442,0.474,0.477
0.487,0.632,0.658,0.487,0.484,0.474
0.49,0.566,0.63,0.523,0.492,0.481
0.498,0.476,0.608,0.534,0.495,0.492
0.504,0.42,0.594,0.523,0.493,0.502
0.493,0.412,0.587,0.505,0.492,0.505
0.489,0.429,0.591,0.491,0.492,0.504
0.492,0.45,0.6,0.486,0.495,0.501
0.493,0.461,0.606,0.485,0.497,0.498
0.495,0.48,0.617,0.487,0.498,0.496
0.492,0.506,0.622,0.488,0.498,0.495
0.485,0.519,0.618,0.493,0.498,0.497
0.48,0.515,0.611,0.499,0.499,0.5
0.48,0.502,0.606,0.504,0.501,0.503
0.485,0.487,0.607,0.508,0.503,0.505

0.42,0.794,0.334,0.666,0.539,0.47
0.412,0.828,0.293,0.709,0.548,0.468
0.408,0.857,0.251,0.753,0.557,0.467
0.411,0.878,0.199,0.797,0.567,0.469
0.419,0.864,0.126,0.843,0.576,0.475
0.437,0.8,0.072,0.885,0.583,0.485
0.474,0.713,0.061,0.911,0.585,0.496
0.515,0.646,0.102,0.916,0.582,0.506
0.557,0.586,0.166,0.904,0.572,0.516
0.596,0.477,0.241,0.879,0.555,0.525
0.622,0.322,0.329,0.837,0.536,0.533
0.643,0.168,0.407,0.771,0.516,0.539
0.641,0.043,0.458,0.682,0.496,0.544
0.592,0.012,0.488,0.581,0.478,0.543
0.535,0.115,0.504,0.488,0.466,0.534
