aX,aY,aZ,gX,gY,gZ
0.415,0.291,0.314,0.367,0.532,0.524
0.408,0.31,0.29,0.328,0.543,0.529
0.402,0.326,0.268,0.292,0.555,0.532
0.408,0.327,0.249,0.259,0.566,0.534
0.423,0.302,0.232,0.228,0.575,0.537
0.446,0.265,0.206,0.195,0.581,0.539
0.459,0.208,0.19,0.16,0.584,0.537
0.508,0.187,0.178,0.127,0.582,0.532
0.571,0.241,0.212,0.104,0.573,0.517
0.656,0.364,0.268,0.107,0.553,0.493
0.693,0.538,0.316,0.139,0.525,0.467
0.656,0.715,0.346,0.193,0.495,0.451
0.532,0.855,0.359,0.265,0.472,0.446
0.428,0.913,0.359,0.346,0.466,0.45
0.385,0.87,0.391,0.421,0.479,0.462
0.437,0.781,0.486,0.475,0.499,0.478
0.495,0.692,0.596,0.514,0.511,0.488
0.522,0.587,0.659,0.538,0.511,0.493
0.514,0.518,0.671,0.541,0.503,0.497
0.492,0.506,0.657,0.528,0.498,0.501
0.477,0.532,0.638,0.512,0.497,0.504
0.473,0.562,0.625,0.505,0.499,0.506
0.476,0.577,0.617,0.505,0.5,0.506
0.473,0.578,0.613,0.51,0.5,0.507
0.469,0.565,0.612,0.516,0.499,0.509
0.463,0.542,0.613,0.521,0.499,0.51
0.46,0.518,0.614,0.524,0.499,0.511
0.458,0.501,0.616,0.524,0.5,0.51
0.458,0.49,0.619,0.523,0.501,0.509
0.458,0.483,0.621,0.521,0.502,0.507

0.452,0.303,0.368,0.419,0.521,0.501
0.434,0.254,0.345,0.385,0.525,0.507
0.398,0.184,0.29,0.339,0.532,0.518
0.354,0.137,0.193,0.275,0.545,0.531
0.328,0.149,0.064,0.197,0.564,0.544
0.364,0.215,0,0.116,0.585,0.553
0.42,0.26,0,0.056,0.597,0.555
0.502,0.257,0,0.027,0.594,0.547
0.609,0.257,0.059,0.033,0.577,0.526
0.744,0.389,0.196,0.07,0.545,0.488
0.767,0.629,0.28,0.135,0.501,0.448
0.634,0.851,0.307,0.225,0.464,0.423
0.444,0.959,0.284,0.32,0.454,0.422
0.344,0.986,0.324,0.396,0.471,0.442
0.401,0.869,0.438,0.46,0.503,0.469
0.501,0.731,0.594,0.509,0.526,0.487
0.568,0.606,0.712,0.539,0.528,0.495
0.578,0.511,0.748,0.548,0.513,0.5
0.544,0.482,0.726,0.537,0.495,0.504
0.503,0.495,0.684,0.517,0.485,0.508
0.478,0.522,0.647,0.503,0.482,0.512
0.47,0.544,0.62,0.497,0.484,0.513
0.466,0.557,0.601,0.499,0.487,0.513
0.462,0.557,0.589,0.504,0.49,0.514
0.458,0.542,0.586,0.51,0.492,0.514
0.451,0.515,0.586,0.515,0.494,0.515
