aX,aY,aZ,gX,gY,gZ
-0.03,0.93,0.08,-0.10,-0.02,-0.00
-0.27,1.00,-0.12,-0.13,-0.05,-0.10
-0.82,0.03,0.34,0.29,-0.00,-0.22
-0.67,-0.60,0.07,0.30,0.03,-0.23
-0.17,-1.00,-0.43,0.16,0.05,-0.19
0.20,-1.00,-0.09,-0.01,-0.02,-0.02
0.02,-1.00,0.13,-0.08,-0.04,0.06
-0.16,0.08,0.30,-0.14,-0.03,0.12
-0.12,0.52,0.40,-0.08,-0.01,0.09
-0.04,0.40,0.36,0.00,0.01,0.05
-0.01,0.35,0.27,0.01,0.01,0.03
0.02,0.13,0.17,0.01,0.00,-0.00
0.03,-0.04,0.24,0.02,0.00,-0.01
0.03,-0.09,0.21,0.02,0.00,-0.00
0.02,-0.03,0.21,0.00,0.00,0.01
0.02,-0.03,0.21,0.01,0.00,0.00
0.02,0.02,0.26,-0.01,-0.00,0.00
0.02,0.02,0.22,0.01,0.00,0.01
0.02,0.03,0.27,-0.00,-0.00,0.01
0.03,-0.02,0.24,-0.01,0.00,0.01
0.03,0.04,0.22,-0.02,0.00,0.01
0.03,0.02,0.20,0.00,0.00,0.01
0.02,0.07,0.26,-0.01,-0.01,0.01
0.03,0.08,0.29,-0.00,-0.01,0.00
0.02,0.04,0.26,-0.00,-0.00,-0.00
0.02,0.04,0.26,-0.00,-0.00,-0.01
0.02,0.02,0.26,0.00,-0.00,-0.01
0.02,-0.01,0.26,0.02,0.00,-0.01
0.03,-0.02,0.25,-0.00,0.00,-0.01
0.03,-0.02,0.26,0.01,0.00,0.00
0.03,-0.02,0.26,0.00,0.00,0.01
0.02,-0.00,0.26,-0.00,0.00,0.01
0.02,0.01,0.26,-0.00,0.00,0.01
0.02,0.01,0.27,-0.00,0.00,0.01
0.02,0.01,0.27,0.00,0.01,0.01
0.01,0.01,0.25,0.01,0.01,0.01
0.02,0.00,0.24,-0.00,0.01,0.01
0.02,0.01,0.23,-0.00,0.01,0.01
0.03,0.04,0.20,-0.00,0.01,0.01
0.03,0.04,0.20,-0.00,0.00,0.01
0.04,0.04,0.20,-0.00,0.00,0.01
0.04,0.02,0.22,0.00,-0.00,0.01
0.03,0.00,0.23,0.00,-0.00,0.01
0.03,0.01,0.28,-0.01,-0.01,0.01
0.02,0.03,0.28,-0.01,-0.00,0.01
0.02,0.05,0.27,0.00,-0.00,0.00
0.02,0.05,0.26,0.00,0.00,0.00
0.03,0.04,0.24,0.00,0.00,0.00
0.03,0.03,0.23,0.00,0.00,-0.00
0.03,0.02,0.25,0.01,-0.00,-0.00

-0.11,1.00,0.07,-0.11,-0.02,-0.04
-0.51,1.00,0.14,-0.00,-0.04,-0.15
-0.71,-0.54,0.25,0.31,0.04,-0.22
-0.48,-1.00,-0.06,0.30,0.07,-0.21
0.26,-1.00,-0.40,0.01,0.02,-0.07
0.18,-1.00,-0.15,-0.05,-0.02,0.01
-0.07,-0.63,0.16,-0.11,-0.03,0.09
-0.16,-0.03,0.35,-0.12,-0.01,0.11
-0.14,0.39,0.39,-0.10,0.00,0.10
-0.06,0.43,0.26,-0.04,0.02,0.06
-0.01,0.38,0.18,0.00,0.02,0.04
0.02,0.18,0.19,0.03,0.01,0.01
0.02,0.12,0.22,0.02,0.01,0.00
0.03,0.03,0.25,0.01,0.01,-0.00
0.04,-0.00,0.22,0.02,0.01,0.00
0.05,0.03,0.14,0.01,0.01,0.00
0.06,0.04,0.08,0.01,0.01,0.01
0.03,0.04,0.21,-0.00,-0.00,0.00
0.03,0.07,0.23,-0.01,-0.00,0.00
0.03,0.07,0.27,-0.01,-0.00,-0.00
0.05,0.03,0.24,-0.00,-0.00,0.00
0.04,0.03,0.25,-0.01,0.00,0.00
0.04,0.03,0.23,0.00,0.00,0.00
0.04,0.00,0.22,0.01,0.00,0.00
0.05,0.00,0.21,-0.00,-0.00,0.00
0.05,0.01,0.22,0.00,-0.00,0.00
0.05,0.01,0.24,0.00,-0.00,0.01
0.05,0.02,0.23,0.00,-0.00,0.00
